from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
26-Mar-2019 - 00:00,0.84,34.56,3.72,43.23,26.02,8.13,50.06,30.48,25.85,2.15,9.41,0.24,44.53,0.88,182.8,147.3,715.31,0.78,27-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Mar-2019 - 00:00,0.78,39.12,2.41,35.18,20.66,8.88,48.38,30.41,26.23,1.25,7.69,0.13,43.98,1.01,157.68,158.51,717.42,0.78,28-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Mar-2019 - 00:00,0.82,41.87,3.33,45.33,26.8,10.77,59.71,30.61,25.84,0.85,6.1,0.14,42.07,0.84,158.71,162.96,715.98,0.79,29-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Mar-2019 - 00:00,0.93,37.16,6.32,51.11,32.31,13.54,67.11,30.82,26.07,0.83,9.9,0.44,39.9,0.86,140.48,165.69,712.95,0.79,30-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Mar-2019 - 00:00,1.04,38.41,2.19,49.33,28.02,10.88,61.2,31.16,26.6,0.71,5.4,0.21,41.14,0.92,203.76,150.84,711.9,0.77,31-Mar-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
31-Mar-2019 - 00:00,0.87,43.82,2.5,42.09,24.41,9.1,50.07,31.94,26.01,0.02,0.13,0.01,37.66,1.29,230.76,158.73,712.01,0.82,01-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Apr-2019 - 00:00,0.79,39.47,5.6,44.77,28.36,12.51,42.39,31.76,26.01,0.29,2.57,0.14,36.83,1.23,166.23,173.23,711.83,0.81,02-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Apr-2019 - 00:00,0.76,35.11,2.77,38.31,22.64,9.16,51.75,31.41,25.76,1.04,4.24,0.04,41.57,0.94,150.47,170.17,711.34,0.8,03-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Apr-2019 - 00:00,0.8,28.25,2.91,32.13,19.46,7.64,49.76,29.79,25.06,0.44,4.51,0.06,50.5,1.01,142.02,152.12,712.0,0.83,04-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Apr-2019 - 00:00,0.75,29.09,2.77,32.42,19.49,6.72,40.17,29.62,25.87,0.45,2.77,0.04,47.85,1.27,160.42,147.69,714.22,0.8,05-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Apr-2019 - 00:00,0.58,49.57,1.32,28.39,16.16,10.21,33.88,29.46,26.55,0.22,1.58,0.01,41.44,1.57,204.53,142.92,715.17,0.79,06-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Apr-2019 - 00:00,0.89,30.99,8.32,48.22,32.41,15.39,45.01,28.39,27.37,0.5,3.6,0.19,45.62,1.05,211.36,149.14,712.88,0.74,07-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Apr-2019 - 00:00,0.6,39.22,1.29,22.94,13.21,5.91,35.84,29.72,26.56,0.32,2.06,0.04,47.64,1.25,192.14,176.47,711.68,0.77,08-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Apr-2019 - 00:00,0.84,30.19,3.06,41.25,24.44,6.34,34.81,29.81,25.88,0.83,2.87,0.12,42.99,1.17,214.64,154.0,709.83,0.79,09-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Apr-2019 - 00:00,1.03,25.19,4.75,52.59,31.83,6.66,47.66,29.42,25.69,0.67,4.03,0.26,49.25,0.99,211.62,123.36,710.79,0.78,10-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Apr-2019 - 00:00,0.95,29.69,4.93,52.77,32.07,6.44,48.25,30.15,25.62,0.99,5.71,0.34,46.22,0.89,196.08,140.14,712.49,0.79,11-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Apr-2019 - 00:00,0.65,33.61,2.99,34.04,20.53,6.38,36.81,31.22,25.33,0.4,3.39,0.13,44.33,1.08,204.86,169.85,711.86,0.8,12-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Apr-2019 - 00:00,0.65,41.34,1.7,29.27,16.95,6.9,37.82,30.89,26.13,0.32,3.11,0.04,41.97,1.52,190.39,163.36,711.59,0.8,13-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Apr-2019 - 00:00,0.77,40.22,3.09,42.83,24.53,9.72,39.1,30.86,28.05,0.24,4.68,0.04,42.33,0.95,145.01,152.11,711.67,0.74,14-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Apr-2019 - 00:00,0.82,33.19,3.09,40.95,24.29,8.96,41.25,31.57,25.71,0.66,4.87,0.26,40.94,0.95,171.11,164.48,712.02,0.8,15-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Apr-2019 - 00:00,0.62,33.79,2.16,39.53,22.77,8.08,41.04,31.9,25.8,0.51,3.44,0.13,37.85,0.95,166.68,166.65,711.53,0.8,16-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Apr-2019 - 00:00,0.68,39.78,1.56,33.19,18.92,10.43,38.29,30.93,25.41,0.34,2.78,0.02,37.06,1.16,125.86,171.11,711.54,0.82,17-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Apr-2019 - 00:00,0.53,36.73,1.28,23.63,13.61,7.7,34.57,30.75,26.14,0.1,1.24,0.01,40.06,1.29,176.55,134.92,711.55,0.8,18-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Apr-2019 - 00:00,0.61,41.39,1.4,28.73,16.4,11.61,44.92,30.16,27.01,0.21,1.68,0.03,47.03,1.13,130.92,150.4,711.52,0.77,19-Apr-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
