from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
29-Mar-2019 - 00:00,28.59,984.11,,88.68,51.08,190.09,0.52,249.97,4.9,37.12,53.71,41.2,69.58,71.53,1.69,63.67,21.98,30-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Mar-2019 - 00:00,30.05,983.23,,85.48,45.1,179.64,0.63,207.86,4.58,32.7,52.06,61.94,87.84,74.0,1.65,54.81,27.92,31-Mar-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Mar-2019 - 00:00,28.6,983.78,,50.31,35.0,207.11,1.13,273.54,2.54,17.63,41.65,11.77,32.43,46.76,0.95,60.18,24.71,01-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Apr-2019 - 00:00,27.3,984.05,140.24,57.92,31.79,207.25,1.23,261.48,2.5,13.41,36.5,5.84,26.4,44.42,0.81,73.95,28.22,02-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Apr-2019 - 00:00,27.15,984.86,183.97,76.52,34.69,204.43,0.59,248.96,3.09,20.17,40.06,35.55,69.88,80.65,1.22,60.77,28.6,03-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Apr-2019 - 00:00,28.27,983.83,179.84,70.41,33.73,210.26,0.7,240.77,2.2,9.8,42.25,32.32,62.87,72.34,1.38,61.84,17.52,04-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Apr-2019 - 00:00,29.38,984.42,272.16,121.16,38.3,193.36,0.67,214.69,,,50.17,52.54,86.33,85.29,1.95,112.7,33.2,05-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Apr-2019 - 00:00,30.58,983.43,272.79,108.47,38.49,178.88,0.79,191.79,,,53.25,24.02,51.82,64.34,2.45,40.57,24.12,06-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Apr-2019 - 00:00,31.39,982.27,309.67,103.22,33.97,181.91,0.61,202.12,,,44.92,41.14,66.06,64.9,1.53,54.19,31.05,07-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Apr-2019 - 00:00,29.19,981.86,291.99,117.79,53.32,163.41,1.32,124.2,,,57.32,25.93,50.31,58.63,1.22,40.62,22.61,08-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Apr-2019 - 00:00,27.88,982.62,285.07,62.98,47.34,194.82,0.95,154.26,,,44.26,22.61,49.91,62.91,1.06,46.78,19.19,09-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Apr-2019 - 00:00,28.94,982.19,205.49,73.42,41.8,203.46,0.72,171.31,,,42.32,43.32,71.79,72.32,1.52,49.05,30.83,10-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Apr-2019 - 00:00,30.91,983.2,234.39,97.8,39.26,203.95,0.63,239.92,,,45.49,33.12,62.28,70.0,1.8,68.09,26.54,11-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Apr-2019 - 00:00,31.66,982.87,198.43,56.03,33.04,199.78,0.7,278.84,,,40.95,21.75,50.33,65.03,1.1,56.69,22.14,12-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Apr-2019 - 00:00,30.17,983.39,211.69,48.79,35.76,195.16,1.05,290.48,,,41.39,11.65,36.06,53.44,0.98,65.34,17.76,13-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Apr-2019 - 00:00,31.12,983.75,148.74,40.18,32.25,209.41,1.31,294.05,,,36.32,7.17,31.38,51.77,0.78,53.02,25.14,14-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Apr-2019 - 00:00,31.6,983.56,154.12,39.1,30.39,206.19,1.02,284.1,,,34.27,7.92,32.72,53.17,0.85,51.62,20.79,15-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Apr-2019 - 00:00,33.09,981.66,172.39,46.06,28.03,212.35,0.82,260.52,,,33.17,13.83,37.75,53.53,1.28,50.01,18.08,16-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Apr-2019 - 00:00,25.47,985.46,175.16,42.57,52.03,124.9,1.96,174.67,,,35.73,9.38,29.9,45.58,0.79,49.44,18.16,17-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Apr-2019 - 00:00,22.79,986.6,49.05,16.9,58.29,171.15,1.88,129.71,,,31.2,7.65,27.65,43.98,0.74,53.24,11.21,18-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Apr-2019 - 00:00,24.71,986.89,84.75,31.27,51.35,230.82,0.64,214.44,,,29.55,10.49,36.08,55.5,0.9,68.03,19.51,19-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Apr-2019 - 00:00,27.03,984.36,131.18,59.73,40.17,208.15,0.63,249.3,,,33.5,30.44,59.8,69.56,1.14,68.95,23.89,20-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Apr-2019 - 00:00,28.57,981.84,163.84,79.57,36.06,194.76,0.52,236.25,,,32.47,16.67,47.64,67.77,1.43,84.75,22.75,21-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Apr-2019 - 00:00,30.72,980.08,176.03,75.33,32.12,212.92,0.56,222.78,,,34.55,38.39,72.66,81.56,1.47,74.53,20.1,22-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Apr-2019 - 00:00,31.37,980.01,241.7,101.9,37.01,187.65,0.41,209.64,6.54,47.57,44.23,29.3,68.71,87.96,2.16,84.73,37.52,23-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Apr-2019 - 00:00,33.31,981.24,237.48,86.15,35.14,209.59,0.47,183.06,5.51,43.2,48.77,16.15,56.28,84.76,2.05,76.16,23.7,24-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Apr-2019 - 00:00,34.21,982.38,260.1,72.28,33.84,201.01,1.14,126.79,3.04,19.4,43.09,14.32,55.49,86.15,1.32,67.39,22.59,25-Apr-2019 - 00:00,"Nehru Nagar, Delhi - DPCC"
