from date,SR,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,BP,station
01-Apr-2019 - 00:00,165.05,88.86,30.62,-1.78,66.39,53.68,0.0,8.18,10.55,10.77,6.31,,6.61,02-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Apr-2019 - 00:00,338.74,115.86,31.22,-1.99,50.22,54.41,,17.96,9.55,9.13,6.29,,13.68,03-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Apr-2019 - 00:00,309.59,167.25,31.47,-1.97,41.65,79.44,,18.17,9.74,8.96,6.32,,11.74,04-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Apr-2019 - 00:00,298.8,125.08,32.7,-1.9,64.89,59.89,,11.28,9.78,9.06,6.25,,8.91,05-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Apr-2019 - 00:00,233.96,111.64,31.39,-1.87,84.82,57.56,,4.41,9.53,8.89,6.32,,4.29,06-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Apr-2019 - 00:00,243.51,102.32,29.3,-1.95,76.13,56.37,,7.83,9.49,9.04,6.3,,4.59,07-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Apr-2019 - 00:00,273.61,75.3,28.72,-2.04,69.35,39.6,,15.38,9.58,9.02,6.25,,8.32,08-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Apr-2019 - 00:00,287.72,70.71,29.19,-1.95,72.96,41.18,,14.89,9.37,8.78,6.28,,7.4,09-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Apr-2019 - 00:00,279.51,100.89,27.94,-1.93,74.32,53.59,,15.02,9.51,9.06,6.28,,9.76,10-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Apr-2019 - 00:00,263.45,93.33,28.15,-1.91,84.87,50.11,,9.02,9.52,8.97,6.33,,7.65,11-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Apr-2019 - 00:00,256.15,131.83,31.79,-1.87,73.25,71.05,,11.26,9.69,8.83,6.29,,6.84,12-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Apr-2019 - 00:00,273.49,113.93,33.29,-1.9,68.44,60.41,,16.8,9.59,9.1,6.25,,4.27,13-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Apr-2019 - 00:00,375.44,116.83,35.7,-1.94,43.52,56.34,,27.28,9.47,9.15,6.25,,9.07,14-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Apr-2019 - 00:00,331.17,104.24,34.56,-2.04,61.85,49.87,,38.66,9.46,8.9,6.27,,5.4,15-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Apr-2019 - 00:00,305.0,127.44,35.92,-2.0,60.84,61.75,,53.15,9.38,9.03,6.3,,4.58,16-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Apr-2019 - 00:00,238.56,145.55,35.0,-2.01,54.84,70.99,,56.93,9.29,9.14,6.3,,4.94,17-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Apr-2019 - 00:00,273.41,251.41,31.07,-1.89,42.11,78.78,,126.94,9.38,8.9,6.27,,7.41,18-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Apr-2019 - 00:00,312.5,96.01,31.15,-1.94,49.95,44.65,,60.67,9.36,9.15,6.3,,8.33,19-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Apr-2019 - 00:00,262.76,67.28,30.3,-1.96,46.22,32.83,,59.66,9.19,8.91,6.39,,5.72,20-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Apr-2019 - 00:00,325.32,75.45,31.01,-2.02,43.96,34.58,,63.96,9.14,9.0,6.28,,6.83,21-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Apr-2019 - 00:00,249.78,111.95,30.19,-2.38,58.46,47.7,,30.26,9.29,8.87,6.32,,10.35,22-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Apr-2019 - 00:00,314.11,83.16,35.73,-2.76,71.16,47.59,,24.41,9.49,8.91,6.3,,9.63,23-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Apr-2019 - 00:00,286.03,75.67,35.39,-2.76,73.76,41.96,,14.19,9.51,8.96,6.35,,9.77,24-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Apr-2019 - 00:00,390.53,92.4,38.86,-2.38,58.19,0.0,1.84,19.32,9.78,9.18,6.29,,10.1,25-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Apr-2019 - 00:00,321.68,70.33,37.1,-2.8,64.69,,1.71,20.83,9.53,9.18,6.26,,5.89,26-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Apr-2019 - 00:00,341.04,91.98,33.59,-2.72,61.7,,1.91,45.32,9.73,9.11,6.21,,6.01,27-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Apr-2019 - 00:00,257.88,115.11,33.29,-2.77,67.64,,1.67,100.07,9.57,8.97,6.3,,3.94,28-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Apr-2019 - 00:00,348.54,169.35,34.39,-2.84,42.53,,2.09,62.36,8.42,8.32,6.51,,6.8,29-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Apr-2019 - 00:00,315.66,229.86,34.58,-2.74,28.48,,2.44,55.23,7.76,7.95,6.57,,14.16,30-Apr-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Apr-2019 - 00:00,265.33,100.4,31.18,-2.56,69.75,,1.72,44.5,7.59,7.83,6.61,,4.99,01-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-May-2019 - 00:00,337.18,58.89,30.74,-2.51,65.46,,1.39,43.91,7.43,7.86,6.63,,5.44,02-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-May-2019 - 00:00,255.28,40.47,29.2,-2.43,80.19,,1.48,33.04,7.71,7.81,6.52,,5.61,03-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-May-2019 - 00:00,69.52,43.84,26.22,-2.59,99.46,,1.56,29.3,7.68,7.88,6.58,,4.18,04-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-May-2019 - 00:00,189.6,36.14,25.27,-2.53,93.21,,1.53,10.47,7.38,7.92,6.59,,4.41,05-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-May-2019 - 00:00,335.3,62.49,30.8,-2.5,68.79,,1.44,19.5,7.64,7.63,6.54,,5.03,06-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-May-2019 - 00:00,365.26,121.35,32.04,-2.65,41.77,,1.73,35.56,7.69,8.0,6.49,,9.85,07-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-May-2019 - 00:00,351.62,155.61,32.0,-2.68,41.58,,2.43,103.83,7.76,8.06,6.58,,14.16,08-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-May-2019 - 00:00,342.37,180.63,33.33,-2.69,35.49,,1.92,70.74,7.6,7.98,6.61,,12.08,09-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-May-2019 - 00:00,329.2,192.93,34.07,-2.71,31.62,,1.58,65.68,7.45,7.85,6.59,,12.97,10-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-May-2019 - 00:00,345.86,195.61,34.61,-2.7,28.32,,1.94,41.61,7.59,8.01,6.57,,,11-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-May-2019 - 00:00,345.07,191.53,34.65,-2.69,33.69,,2.02,34.16,7.52,8.06,6.6,,,12-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-May-2019 - 00:00,355.66,145.9,34.28,-2.55,45.44,,1.96,47.99,7.35,8.02,6.7,,,13-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-May-2019 - 00:00,383.96,160.13,32.08,-2.59,57.9,,1.92,85.02,7.53,7.95,6.61,,8.92,14-May-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
