from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,Toluene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
15-Feb-2019 - 00:00,86.39,153.28,24.82,4.14,16.2,23.23,7.55,0.78,26.22,7.03,7.98,0.29,4.57,10.04,78.68,1.77,261.53,245.51,0.0,16-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
16-Feb-2019 - 00:00,62.81,129.26,20.06,4.43,13.93,19.04,4.24,0.59,23.7,4.71,10.21,0.39,6.57,10.45,81.63,1.6,302.16,232.26,0.0,17-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-Feb-2019 - 00:00,57.7,114.1,20.74,2.66,13.68,14.91,11.06,0.6,22.67,4.53,12.81,0.7,8.21,12.08,81.63,2.26,292.94,232.26,0.0,18-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-Feb-2019 - 00:00,51.44,107.93,21.1,3.69,13.71,16.67,11.75,0.44,37.67,3.8,9.23,0.44,4.45,8.38,74.67,2.22,105.02,184.15,0.0,19-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-Feb-2019 - 00:00,74.14,147.24,23.34,6.72,18.31,13.33,10.87,0.66,35.46,5.52,11.64,0.51,5.32,10.48,83.88,1.75,136.55,174.28,0.0,20-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-Feb-2019 - 00:00,56.07,130.91,21.45,5.59,15.37,12.89,11.69,0.49,24.45,4.08,10.59,0.44,4.81,9.82,85.55,2.2,128.3,89.42,0.0,21-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-Feb-2019 - 00:00,42.65,111.99,21.13,4.31,15.21,14.16,13.19,0.51,56.63,3.77,11.81,0.61,5.37,11.16,73.18,2.83,158.07,199.32,0.0,22-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-Feb-2019 - 00:00,47.18,89.36,15.75,2.94,11.31,8.7,8.09,0.42,32.09,3.66,14.88,0.95,6.1,12.28,83.74,2.66,307.96,164.36,0.0,23-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-Feb-2019 - 00:00,40.12,77.4,15.53,1.72,9.68,7.95,10.36,0.33,54.65,3.23,9.63,0.6,4.39,8.69,69.68,2.85,301.08,254.87,0.0,24-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-Feb-2019 - 00:00,50.86,78.54,21.05,1.74,13.74,22.13,15.54,0.36,62.35,3.7,14.51,0.88,5.99,12.41,63.55,1.82,295.27,260.77,0.0,25-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-Feb-2019 - 00:00,76.93,146.48,48.17,7.95,31.98,29.36,14.09,0.73,48.87,8.01,13.19,0.85,6.14,12.76,69.19,0.96,132.19,228.96,0.0,26-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Feb-2019 - 00:00,37.57,99.26,19.65,2.6,13.68,17.08,9.67,0.23,65.89,3.12,10.64,0.67,4.35,8.99,67.28,2.57,135.27,190.38,0.0,27-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Feb-2019 - 00:00,41.49,42.64,12.26,1.96,9.22,29.34,9.51,0.22,69.93,2.13,11.77,0.78,4.51,9.46,74.15,1.81,172.65,214.61,0.0,28-Feb-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Feb-2019 - 00:00,62.13,108.9,19.69,3.49,14.44,32.93,10.99,0.42,47.13,3.76,12.0,0.82,5.25,10.88,72.54,1.57,287.17,226.84,0.0,01-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-Mar-2019 - 00:00,60.91,107.87,15.46,1.87,10.93,33.04,10.97,0.39,57.08,3.74,11.04,0.76,4.8,9.9,67.18,1.66,311.07,248.06,0.0,02-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-Mar-2019 - 00:00,68.0,93.59,24.05,3.93,17.06,46.74,20.27,0.61,35.25,5.75,21.4,1.48,8.34,16.86,83.56,1.18,169.5,51.44,0.0,03-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Mar-2019 - 00:00,40.24,53.04,20.56,2.23,13.88,40.38,20.09,0.4,41.72,3.85,21.85,1.42,8.06,16.23,85.2,1.21,171.11,190.93,0.0,04-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-Mar-2019 - 00:00,47.36,65.68,17.52,3.88,12.3,35.21,12.71,0.37,40.16,3.41,16.99,1.07,7.05,14.0,81.67,1.81,307.77,211.8,0.0,05-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Mar-2019 - 00:00,46.67,63.86,14.95,3.72,9.64,33.44,11.03,0.4,50.43,3.65,13.73,0.86,6.27,13.25,76.45,1.79,293.17,223.44,0.0,06-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Mar-2019 - 00:00,48.84,67.49,10.22,2.34,5.61,38.26,11.21,0.4,60.75,4.13,14.9,0.98,6.45,13.06,67.76,1.98,296.37,266.45,0.0,07-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Mar-2019 - 00:00,56.91,85.17,11.66,2.53,6.57,51.9,9.82,0.48,64.67,4.55,14.09,0.93,6.68,13.17,63.06,1.41,306.06,142.08,0.0,08-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Mar-2019 - 00:00,58.92,91.15,10.25,2.18,5.5,53.66,9.69,0.42,59.86,4.05,13.52,0.88,6.24,11.72,53.28,1.58,260.9,199.13,0.0,09-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Mar-2019 - 00:00,51.55,98.39,10.73,2.59,6.08,49.52,9.38,0.36,52.08,4.11,12.83,0.73,5.72,11.51,64.95,2.14,312.82,275.95,0.0,10-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Mar-2019 - 00:00,51.51,131.46,11.34,3.03,6.76,44.9,9.85,0.35,63.84,3.95,13.15,0.88,5.46,10.89,56.05,1.54,251.57,278.62,0.0,11-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Mar-2019 - 00:00,52.11,97.36,12.27,2.55,6.86,50.33,8.65,0.37,49.38,4.07,12.26,0.81,4.91,9.69,74.8,2.47,79.57,101.12,0.0,12-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Mar-2019 - 00:00,44.34,97.25,10.41,2.44,5.79,52.26,8.23,0.31,56.75,3.16,12.1,0.76,5.16,10.11,65.63,2.18,220.52,266.27,0.0,13-Mar-2019 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
