from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
25-Apr-2019 - 00:00,24.18,20.56,3.61,39.0,100.63,3.43,26-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Apr-2019 - 00:00,18.74,15.32,3.43,30.02,103.77,3.0,27-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Apr-2019 - 00:00,28.68,22.15,6.53,34.24,114.26,3.27,28-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Apr-2019 - 00:00,28.05,21.34,6.71,43.55,157.58,3.79,29-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Apr-2019 - 00:00,21.39,17.21,4.51,34.24,126.31,3.59,30-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Apr-2019 - 00:00,23.01,16.9,6.1,42.23,144.16,3.75,01-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-May-2019 - 00:00,18.0,14.68,3.32,60.36,244.16,3.69,02-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-May-2019 - 00:00,17.16,12.62,4.54,61.22,235.9,3.69,03-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-May-2019 - 00:00,15.93,12.83,3.1,43.16,172.35,3.47,04-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-May-2019 - 00:00,21.3,18.09,3.2,46.52,183.49,3.35,05-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-May-2019 - 00:00,14.62,11.62,2.99,35.02,135.78,3.32,06-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-May-2019 - 00:00,14.78,11.77,3.01,38.46,132.19,3.19,07-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-May-2019 - 00:00,16.09,13.17,2.92,46.13,156.18,3.38,08-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-May-2019 - 00:00,14.59,11.64,2.96,44.77,133.58,3.28,09-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-May-2019 - 00:00,13.63,10.53,3.09,25.25,104.2,3.11,10-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-May-2019 - 00:00,18.45,11.16,7.29,61.05,126.43,3.6,11-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-May-2019 - 00:00,22.58,10.16,12.45,52.56,137.06,3.78,12-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-May-2019 - 00:00,24.95,10.11,15.18,65.72,212.69,3.61,13-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-May-2019 - 00:00,26.63,9.55,17.07,62.21,139.7,3.55,14-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-May-2019 - 00:00,23.56,7.92,16.57,63.74,181.15,3.94,15-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-May-2019 - 00:00,23.92,8.52,16.57,58.48,130.43,3.49,16-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
