from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
12-Apr-2019 - 00:00,31.23,983.85,290.46,59.79,35.7,174.05,168.6,1.87,2.94,30.17,38.04,20.04,46.68,56.93,0.79,41.04,17.6,13-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
13-Apr-2019 - 00:00,31.87,984.33,204.88,51.81,32.38,199.91,194.27,2.22,2.19,22.44,36.21,11.13,35.39,49.49,1.05,42.13,16.56,14-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
14-Apr-2019 - 00:00,32.15,984.04,200.79,55.06,32.65,196.93,316.59,2.05,2.64,26.07,30.51,14.13,38.86,51.36,1.86,34.94,16.12,15-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
15-Apr-2019 - 00:00,33.84,982.06,274.19,72.19,28.8,212.7,290.13,1.74,6.3,78.92,31.41,43.4,70.11,65.23,1.97,31.3,21.0,16-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
16-Apr-2019 - 00:00,26.13,985.55,262.3,70.71,53.08,98.84,180.99,2.98,3.17,40.41,33.45,22.53,47.82,55.53,0.98,37.1,15.43,17-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
17-Apr-2019 - 00:00,23.73,986.64,139.54,36.23,57.86,123.88,146.45,2.27,2.72,33.09,29.3,23.36,49.2,56.81,0.55,41.09,14.14,18-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
18-Apr-2019 - 00:00,25.22,987.25,140.23,61.48,55.07,207.19,205.08,1.3,5.1,24.65,30.08,15.94,42.97,56.37,0.93,49.43,14.03,19-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
19-Apr-2019 - 00:00,27.84,984.64,197.27,89.92,40.71,207.68,293.86,1.41,5.03,74.98,31.63,31.01,64.18,73.16,1.2,44.75,28.14,20-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
20-Apr-2019 - 00:00,30.1,982.14,257.58,128.79,34.05,201.44,272.14,1.04,6.34,79.56,28.88,70.46,113.68,105.52,1.55,60.69,34.28,21-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
21-Apr-2019 - 00:00,32.21,980.4,302.26,145.79,30.56,201.28,259.58,1.38,7.65,70.16,29.56,84.52,126.08,111.98,1.72,45.14,32.49,22-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
22-Apr-2019 - 00:00,33.01,980.48,320.12,137.98,33.32,184.53,173.78,1.14,9.07,39.01,35.2,58.24,95.22,90.06,2.04,54.44,28.6,23-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
23-Apr-2019 - 00:00,34.8,981.42,379.88,134.15,30.58,188.99,208.72,1.24,7.75,78.86,40.13,75.31,115.34,106.07,1.98,50.71,27.65,24-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
24-Apr-2019 - 00:00,35.86,982.33,365.46,103.35,33.88,153.47,136.08,1.66,7.27,31.09,50.16,17.83,60.72,86.18,1.56,62.6,17.47,25-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
25-Apr-2019 - 00:00,34.4,982.51,363.35,106.52,38.44,159.22,109.18,1.66,5.72,28.3,51.68,44.43,85.32,92.26,1.39,64.46,18.73,26-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
26-Apr-2019 - 00:00,34.37,982.06,312.06,105.21,28.0,185.05,265.06,1.63,7.34,68.44,38.8,39.67,73.65,77.62,1.45,39.89,22.2,27-Apr-2019 - 00:00,"Wazirpur, Delhi - DPCC"
