from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
06-Apr-2019 - 00:00,4.0,36.92,22.9,50.3,29.44,1.64,56.45,129.45,346.88,1.6,1.37,35.0,32.05,70.62,1.85,740.36,89.52,0.0,07-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Apr-2019 - 00:00,2.81,24.97,15.57,56.88,27.57,1.69,48.56,187.23,362.68,2.97,1.01,31.67,31.66,64.76,3.9,740.18,78.12,0.0,08-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Apr-2019 - 00:00,2.71,30.48,18.42,47.32,29.48,1.11,70.83,83.65,356.13,0.96,0.65,33.64,31.33,82.95,2.82,740.34,130.81,0.0,09-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Apr-2019 - 00:00,13.53,48.63,36.86,53.41,31.71,1.4,47.62,116.71,294.97,1.72,0.86,31.88,31.73,74.55,1.52,740.26,96.76,0.0,10-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Apr-2019 - 00:00,5.3,37.87,24.45,46.6,17.4,0.96,71.54,104.16,245.18,1.28,1.01,35.12,29.73,69.83,1.72,740.64,100.64,0.0,11-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Apr-2019 - 00:00,3.12,25.66,16.19,38.66,25.2,0.58,79.54,74.17,205.03,0.96,0.64,35.34,25.76,53.07,1.84,740.38,95.88,0.0,12-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Apr-2019 - 00:00,2.09,25.94,15.5,42.07,30.65,0.69,87.77,70.47,224.14,0.75,0.49,34.26,28.03,62.27,2.62,740.59,97.96,0.0,13-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Apr-2019 - 00:00,2.66,27.23,16.64,40.16,24.74,0.61,69.96,70.06,227.79,0.68,0.54,33.95,30.08,70.41,3.16,740.71,104.69,0.0,14-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Apr-2019 - 00:00,2.39,26.3,15.92,36.99,27.76,0.5,68.24,55.9,191.84,0.48,0.51,34.91,32.15,78.28,3.23,740.61,105.43,0.0,15-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Apr-2019 - 00:00,5.58,28.48,19.69,34.6,23.31,0.5,77.31,55.65,211.9,0.56,1.06,37.13,32.18,80.28,2.91,740.28,108.08,0.0,16-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Apr-2019 - 00:00,7.13,26.74,20.03,32.77,21.44,0.37,83.04,50.9,250.99,0.62,0.75,28.75,32.01,60.25,6.53,740.86,59.17,0.0,17-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Apr-2019 - 00:00,2.28,22.25,13.7,28.85,22.47,0.45,75.1,44.36,96.86,0.5,0.72,24.88,32.11,67.04,4.55,740.99,72.07,0.0,18-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Apr-2019 - 00:00,2.33,27.35,16.45,28.02,25.74,0.57,83.15,64.3,118.65,0.71,0.56,26.91,32.09,75.58,1.62,741.0,92.08,0.0,19-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Apr-2019 - 00:00,4.93,35.47,22.86,33.94,24.29,0.57,106.24,67.98,150.84,0.67,1.27,29.78,31.84,80.68,1.92,740.57,103.93,0.0,20-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Apr-2019 - 00:00,2.44,37.48,21.91,33.21,29.17,0.72,74.23,90.49,186.8,0.79,1.14,32.37,32.24,74.89,0.97,740.27,90.05,0.0,21-Apr-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
