from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,RH,SR,WS,WD,to date,station
16-Apr-2019 - 00:00,116.81,238.3,31.83,29.81,37.61,186.58,5.27,0.55,19.19,4.37,0.93,3.85,6.47,5.9,50.36,163.94,3.23,191.77,17-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Apr-2019 - 00:00,29.92,68.54,28.84,23.96,32.73,130.9,6.14,0.41,24.82,2.15,0.55,1.79,2.69,2.17,65.97,428.85,2.62,142.65,18-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Apr-2019 - 00:00,51.25,125.56,35.33,28.17,38.19,156.26,5.06,0.95,25.05,4.98,1.05,3.47,6.69,5.97,54.67,493.53,2.69,168.82,19-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Apr-2019 - 00:00,107.41,287.72,47.87,57.39,61.79,269.94,6.03,1.12,15.78,8.62,1.33,7.27,15.67,17.86,40.1,457.16,2.53,275.31,20-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Apr-2019 - 00:00,106.71,283.29,50.31,62.07,65.79,246.89,7.11,1.25,18.14,8.43,1.95,11.35,22.64,27.49,36.99,403.94,2.24,181.82,21-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Apr-2019 - 00:00,102.94,274.41,49.58,70.45,69.91,250.97,6.64,1.33,14.22,8.69,1.43,8.9,18.69,19.53,30.92,475.3,2.41,242.65,22-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Apr-2019 - 00:00,150.24,371.55,53.1,106.27,91.44,202.22,7.61,1.75,16.59,14.28,1.86,12.52,26.19,28.38,31.85,460.36,2.58,177.64,23-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Apr-2019 - 00:00,176.54,385.8,55.34,108.73,94.09,186.84,8.99,1.53,16.93,15.03,2.25,14.19,31.15,38.79,32.8,577.97,2.35,199.52,24-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Apr-2019 - 00:00,99.41,320.87,50.13,45.19,57.65,101.37,8.22,0.96,19.96,8.75,0.89,7.84,14.64,17.97,22.18,251.49,3.28,195.84,25-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Apr-2019 - 00:00,108.47,305.31,32.09,17.2,30.7,61.88,5.21,0.83,29.39,4.95,0.58,2.41,5.01,4.97,36.75,402.86,3.05,107.18,26-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
