from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
12-May-2019 - 00:00,429.28,170.11,9.39,14.01,23.4,1.42,,18.41,13-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-May-2019 - 00:00,337.2,139.52,11.35,14.63,25.98,1.76,,30.98,14-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-May-2019 - 00:00,115.71,134.0,10.22,14.42,24.65,1.2,,9.28,15-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-May-2019 - 00:00,195.17,42.23,13.66,13.17,26.55,1.78,0.0,12.95,16-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-May-2019 - 00:00,243.63,35.11,6.42,8.1,14.52,1.68,,8.6,17-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-May-2019 - 00:00,247.58,31.86,5.88,8.05,13.93,1.48,,7.82,18-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-May-2019 - 00:00,100.48,28.71,6.14,8.08,14.22,1.15,,8.27,19-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-May-2019 - 00:00,148.73,45.82,6.34,8.1,14.44,1.37,,10.06,20-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-May-2019 - 00:00,255.22,57.37,6.78,8.13,14.91,1.67,,8.27,21-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-May-2019 - 00:00,215.41,41.66,6.93,8.16,15.1,1.3,,11.66,22-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-May-2019 - 00:00,207.82,35.74,7.11,8.18,15.29,1.53,,14.07,23-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-May-2019 - 00:00,178.67,52.31,18.97,11.32,26.27,1.56,,23.99,24-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-May-2019 - 00:00,112.41,26.1,27.79,13.93,41.72,1.41,,13.71,25-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-May-2019 - 00:00,91.69,26.21,25.18,14.38,39.56,1.17,,14.49,26-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-May-2019 - 00:00,118.65,36.44,25.47,14.86,40.33,1.32,,14.93,27-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-May-2019 - 00:00,137.74,38.68,27.06,15.3,42.36,1.5,,13.92,28-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-May-2019 - 00:00,148.88,37.06,70.69,19.67,90.37,1.65,,31.11,29-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-May-2019 - 00:00,182.58,48.94,33.71,15.93,49.65,2.0,,44.0,30-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-May-2019 - 00:00,279.17,72.61,43.66,17.45,61.11,2.85,,31.38,31-May-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
31-May-2019 - 00:00,,,,,,,,,01-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Jun-2019 - 00:00,,,,,,,,,02-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Jun-2019 - 00:00,,,,,,,,,03-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Jun-2019 - 00:00,,,,,,,,,04-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Jun-2019 - 00:00,,,,,,,,,05-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Jun-2019 - 00:00,,,,,,,,,06-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Jun-2019 - 00:00,,,,,,,,,07-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Jun-2019 - 00:00,,,,,,,,,08-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Jun-2019 - 00:00,,,,,,,,,09-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Jun-2019 - 00:00,,,,,,,,,10-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Jun-2019 - 00:00,,,,,,,,,11-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Jun-2019 - 00:00,,,,,,,,,12-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Jun-2019 - 00:00,,,,,,,,,13-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Jun-2019 - 00:00,163.0,37.87,7.76,29.09,36.85,1.61,,43.35,14-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Jun-2019 - 00:00,160.33,52.36,7.45,29.13,36.58,1.73,,41.08,15-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Jun-2019 - 00:00,244.43,62.75,7.14,29.16,36.3,1.9,,39.61,16-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Jun-2019 - 00:00,130.93,29.45,8.53,29.21,37.75,1.49,,39.66,17-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Jun-2019 - 00:00,105.34,17.68,8.82,29.31,38.14,1.57,,39.08,18-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Jun-2019 - 00:00,73.4,17.72,9.26,29.44,38.7,1.59,,45.16,19-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Jun-2019 - 00:00,189.65,38.92,11.81,30.15,41.51,1.8,0.0,48.45,20-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Jun-2019 - 00:00,63.95,10.17,10.32,29.64,39.97,1.54,,17.58,21-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Jun-2019 - 00:00,,,,,,,,,22-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Jun-2019 - 00:00,,,,,,,,,23-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Jun-2019 - 00:00,117.08,43.64,7.71,28.94,36.64,1.7,,46.35,24-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Jun-2019 - 00:00,77.22,21.29,8.59,29.15,37.75,1.65,,33.94,25-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Jun-2019 - 00:00,110.73,43.26,8.25,29.14,37.39,1.87,,52.33,26-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Jun-2019 - 00:00,121.78,52.06,7.89,29.06,36.95,1.92,,37.93,27-Jun-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
