from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
19-May-2019 - 00:00,117.65,13.33,16.84,11.1,27.94,15.18,0.34,20.94,5.3,4.32,294.25,42.11,0.0,292.29,0.91,37.65,20-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-May-2019 - 00:00,246.5,28.24,16.79,11.23,27.43,15.12,0.36,31.51,5.19,4.23,247.18,32.47,0.0,302.47,1.24,77.71,21-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-May-2019 - 00:00,185.16,30.7,16.8,11.14,27.95,15.09,0.43,19.17,5.3,4.31,293.89,26.92,0.0,280.15,0.93,59.42,22-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-May-2019 - 00:00,214.36,24.27,16.6,11.2,27.19,15.08,0.38,32.99,5.19,4.22,351.91,25.45,0.14,226.51,0.59,63.51,23-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-May-2019 - 00:00,189.32,10.46,16.8,11.15,27.58,15.15,0.28,20.87,5.23,4.26,668.28,37.18,0.0,241.34,1.12,60.28,24-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-May-2019 - 00:00,125.88,7.83,16.57,11.21,27.77,15.04,0.36,13.63,5.3,4.32,442.29,64.87,0.06,194.94,0.82,40.3,25-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-May-2019 - 00:00,160.37,21.32,17.11,11.02,26.93,15.16,0.24,24.03,5.07,4.13,277.07,46.28,0.0,292.57,1.48,50.07,26-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-May-2019 - 00:00,136.06,13.95,17.13,11.06,25.42,15.18,0.24,20.9,4.8,3.91,194.92,36.99,0.0,302.89,1.05,39.8,27-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
27-May-2019 - 00:00,205.45,39.3,16.49,11.1,19.26,15.01,0.18,20.33,3.7,3.01,174.77,27.99,0.0,280.37,1.28,46.05,28-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-May-2019 - 00:00,180.76,49.0,16.59,11.11,27.63,15.1,0.29,40.45,5.32,4.32,674.0,9.62,0.0,268.15,1.4,57.86,29-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-May-2019 - 00:00,225.16,24.43,16.97,10.79,23.42,15.13,0.36,25.27,4.47,3.64,742.46,19.16,0.0,276.85,0.75,61.59,30-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
