from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
18-Mar-2019 - 00:00,19.21,29.6,3.17,53.32,18.31,0.63,61.93,56.74,123.27,4.43,1.15,3.46,5.46,7.04,,342.21,,0.0,0.88,267.65,19-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Mar-2019 - 00:00,25.9,31.04,10.64,63.09,16.26,0.69,57.93,64.57,171.09,4.69,1.42,3.55,5.58,7.82,,390.03,,0.0,0.77,260.9,20-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Mar-2019 - 00:00,31.19,42.96,8.85,77.39,18.28,0.79,47.28,84.87,202.71,6.92,1.32,3.34,5.29,7.45,26.86,211.1,43.18,0.0,0.49,120.0,21-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Mar-2019 - 00:00,17.12,25.27,3.46,52.43,3.08,0.44,46.68,45.56,108.41,4.04,2.05,3.49,6.84,7.92,23.14,232.07,46.73,0.0,0.37,156.96,22-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Mar-2019 - 00:00,10.5,14.64,2.1,34.46,4.46,0.38,66.34,36.16,115.02,3.1,2.05,3.4,6.75,7.69,21.21,292.84,48.39,0.0,0.8,289.65,23-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Mar-2019 - 00:00,9.31,13.42,1.42,31.78,10.18,0.41,72.49,42.61,117.72,3.28,1.8,3.08,6.2,6.93,20.93,273.03,53.44,0.0,0.95,280.97,24-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Mar-2019 - 00:00,10.51,15.34,1.67,32.94,14.39,0.4,52.53,44.62,109.16,3.25,1.98,3.15,6.62,7.11,21.47,273.86,55.95,0.0,0.75,281.54,25-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Mar-2019 - 00:00,19.35,25.79,5.89,50.8,17.92,0.7,36.67,54.52,124.75,5.27,1.56,4.1,6.36,9.19,19.0,166.8,73.86,0.0,0.46,228.38,26-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Mar-2019 - 00:00,14.1,20.39,2.88,42.86,20.99,0.57,54.78,56.82,120.17,4.74,1.51,3.47,5.41,7.53,21.11,293.25,63.6,0.0,0.91,273.22,27-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Mar-2019 - 00:00,13.81,20.53,2.4,44.58,28.42,0.57,61.53,53.03,121.18,4.08,0.09,2.28,3.3,5.38,22.73,272.51,59.84,0.0,1.04,268.25,28-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Mar-2019 - 00:00,16.27,25.87,2.01,51.09,29.92,0.59,58.08,51.21,124.3,3.83,0.39,2.13,2.79,4.81,23.58,366.8,58.34,0.0,0.74,263.52,29-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Mar-2019 - 00:00,20.25,31.82,3.1,63.43,32.41,0.72,56.73,68.51,161.77,4.8,4.29,2.78,3.82,6.6,25.27,295.62,59.12,0.0,0.66,264.93,30-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Mar-2019 - 00:00,26.46,37.62,7.05,75.84,35.92,0.68,55.74,73.6,170.17,4.89,3.13,2.26,3.09,5.41,26.8,294.0,58.35,0.16,0.73,242.78,31-Mar-2019 - 00:00,"Sector-12, Karnal - HSPCB"
31-Mar-2019 - 00:00,12.01,18.0,1.82,44.59,32.47,0.44,65.96,60.38,175.44,2.86,3.65,1.64,2.66,3.96,25.2,334.62,48.11,0.0,1.34,286.02,01-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Apr-2019 - 00:00,13.22,19.63,2.24,43.49,39.03,0.49,70.85,46.09,137.47,3.37,2.77,2.06,2.88,4.77,24.1,346.59,47.09,0.0,1.37,263.41,02-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Apr-2019 - 00:00,16.91,26.28,2.53,52.34,42.29,0.65,71.66,73.0,162.51,5.48,5.22,5.72,6.24,5.37,24.99,333.6,50.6,0.0,0.8,185.41,03-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
