from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
01-Apr-2019 - 00:00,41.93,14.3,6.56,1.37,51.04,43.88,102.21,0.43,26.75,0.59,92.17,46.4,02-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Apr-2019 - 00:00,49.64,14.69,8.97,1.06,49.39,45.18,114.04,0.48,25.96,0.53,89.56,47.71,03-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Apr-2019 - 00:00,54.55,13.8,5.0,1.12,52.83,45.94,108.45,0.5,26.15,0.77,93.67,43.73,04-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Apr-2019 - 00:00,44.79,12.22,11.39,0.95,47.71,32.62,93.01,0.4,26.43,1.09,,44.34,05-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Apr-2019 - 00:00,41.96,11.81,4.57,1.89,50.12,35.84,86.57,0.39,26.18,0.77,97.4,44.61,06-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Apr-2019 - 00:00,40.43,11.76,3.87,0.51,72.97,42.27,93.12,0.47,27.02,0.56,93.9,42.91,07-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Apr-2019 - 00:00,38.14,11.66,6.11,1.38,79.87,39.6,88.85,0.38,26.23,0.6,95.14,41.97,08-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Apr-2019 - 00:00,35.81,13.56,12.03,0.97,61.54,34.3,81.14,0.35,27.01,0.74,90.88,51.06,09-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Apr-2019 - 00:00,31.46,14.0,7.66,0.65,83.97,38.03,79.96,0.34,26.11,0.64,89.5,52.07,10-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Apr-2019 - 00:00,52.6,14.21,4.26,1.44,52.24,43.94,96.02,0.51,25.65,0.7,93.0,45.99,11-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Apr-2019 - 00:00,51.66,24.69,6.56,1.15,37.58,46.17,103.94,0.41,24.27,0.53,91.17,48.18,12-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Apr-2019 - 00:00,48.44,14.38,4.21,1.04,63.96,39.69,93.54,0.47,25.1,0.62,95.0,40.55,13-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Apr-2019 - 00:00,41.88,15.04,8.56,0.85,55.02,40.23,91.98,0.33,26.0,0.72,88.0,42.49,14-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Apr-2019 - 00:00,32.93,12.27,8.56,0.7,69.61,34.94,80.5,0.28,25.39,0.86,99.5,40.88,15-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Apr-2019 - 00:00,41.88,12.08,6.94,0.89,63.18,36.12,96.62,0.33,25.85,0.68,92.92,39.71,16-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Apr-2019 - 00:00,33.21,13.01,7.49,0.94,76.05,37.47,90.2,0.35,24.92,0.58,,46.49,17-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Apr-2019 - 00:00,26.32,18.04,11.76,0.77,43.6,35.2,72.53,0.1,25.76,0.7,92.17,66.69,18-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Apr-2019 - 00:00,30.2,20.09,2.99,0.77,53.31,29.79,60.24,0.19,23.65,0.68,91.0,63.28,19-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Apr-2019 - 00:00,30.02,18.96,5.3,0.92,60.62,28.74,58.71,0.18,24.97,0.59,87.75,60.61,20-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Apr-2019 - 00:00,27.72,18.09,4.96,0.84,57.08,29.03,60.69,0.14,22.91,0.57,88.75,63.49,21-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Apr-2019 - 00:00,35.96,12.68,5.23,0.98,59.2,24.62,51.78,0.2,24.49,0.49,,56.68,22-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Apr-2019 - 00:00,25.46,20.38,2.64,0.99,44.48,32.51,75.28,0.14,23.19,0.91,89.95,62.48,23-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Apr-2019 - 00:00,39.5,12.28,1.57,1.11,64.13,30.84,69.52,0.31,24.67,0.73,93.0,53.24,24-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Apr-2019 - 00:00,50.34,11.74,5.12,1.0,49.14,36.82,77.82,0.36,24.0,0.76,91.9,47.94,25-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Apr-2019 - 00:00,56.01,12.61,6.94,1.08,48.93,49.57,105.91,0.41,24.91,0.69,91.83,43.4,26-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Apr-2019 - 00:00,51.92,15.82,5.45,1.06,52.99,52.03,109.59,0.34,23.69,0.66,93.83,47.3,27-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Apr-2019 - 00:00,44.69,14.54,5.57,1.08,39.78,56.66,121.86,0.35,24.89,0.77,92.35,46.94,28-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
