from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
05-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Sep-2019 - 00:00,27.42,24.26,10.31,21.3,4.16,0.67,4.45,0.0,85.62,4.65,1.03,2.51,1.67,3.64,91.03,2.4,196.18,,0.0,08-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
08-Sep-2019 - 00:00,12.44,12.66,6.73,23.21,4.97,0.82,3.38,0.0,43.98,3.4,1.9,3.64,1.95,3.86,80.86,2.56,175.59,,0.0,09-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
09-Sep-2019 - 00:00,9.02,10.63,6.69,15.23,4.22,0.95,18.87,0.0,73.17,2.11,0.52,1.02,0.71,1.12,90.16,3.31,219.58,,0.0,10-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
10-Sep-2019 - 00:00,10.77,11.84,6.94,12.85,4.59,1.04,17.16,0.0,127.05,3.47,1.02,1.85,1.99,3.38,60.17,2.59,190.56,,0.0,11-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
11-Sep-2019 - 00:00,10.19,11.49,6.91,13.06,4.85,0.97,16.54,0.0,123.33,3.14,1.17,1.77,1.68,3.11,70.03,2.94,190.91,,0.0,12-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
12-Sep-2019 - 00:00,10.76,11.82,6.88,15.0,4.46,1.0,14.55,0.0,101.67,3.17,0.74,1.39,1.26,2.54,78.23,2.67,187.9,,0.0,13-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
13-Sep-2019 - 00:00,41.85,33.68,11.55,17.03,3.98,1.1,9.96,0.0,55.58,2.36,0.95,1.64,0.09,0.17,84.52,2.74,164.4,,0.0,14-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
14-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,70.33,2.29,128.88,,0.0,15-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
15-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,86.52,2.81,175.66,,0.0,16-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
16-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,77.78,2.98,209.47,,0.0,17-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
17-Sep-2019 - 00:00,,,,,,,,,,,,,0.0,0.0,69.01,4.11,234.34,,0.0,18-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
18-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,70.18,0.4,154.0,,0.0,19-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
19-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,77.29,0.7,131.32,,0.0,20-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
20-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,74.55,0.63,191.93,,0.0,21-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
21-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,60.07,0.59,195.29,,0.0,22-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
22-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,60.07,0.54,159.49,,0.0,23-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
23-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,70.8,0.47,137.3,,0.0,24-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
24-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,90.92,0.85,165.98,,0.0,25-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
25-Sep-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,94.06,1.81,206.36,,0.0,26-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
26-Sep-2019 - 00:00,1.32,5.52,6.19,0.2,2.78,0.91,7.35,0.0,50.06,2.33,0.45,1.62,0.6,1.61,90.58,1.53,214.54,,0.0,27-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
27-Sep-2019 - 00:00,3.54,4.92,6.2,0.05,4.72,0.98,3.02,0.0,31.85,2.3,0.58,1.84,0.88,1.85,88.99,1.78,95.93,,0.0,28-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
28-Sep-2019 - 00:00,4.95,5.0,6.27,1.78,6.1,1.05,2.68,0.0,29.36,2.87,0.88,2.66,1.15,2.23,89.12,1.52,162.76,,0.0,29-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
29-Sep-2019 - 00:00,5.89,4.89,7.12,5.34,6.31,0.97,2.45,0.0,29.75,2.95,0.82,2.58,0.46,0.93,86.17,1.09,154.36,,0.0,30-Sep-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
30-Sep-2019 - 00:00,5.74,4.77,7.28,4.85,3.92,0.92,4.67,0.0,48.21,3.05,0.57,1.46,0.75,1.68,86.19,1.85,164.51,,0.0,01-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
01-Oct-2019 - 00:00,8.68,11.49,11.61,8.36,3.99,0.99,9.17,0.0,52.39,2.51,0.53,1.72,1.41,2.91,88.2,1.9,162.42,,0.0,02-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Oct-2019 - 00:00,12.88,30.55,28.65,6.98,2.98,1.04,13.43,0.0,64.76,3.01,0.52,1.58,1.25,2.52,81.74,1.34,164.56,,0.0,03-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Oct-2019 - 00:00,10.6,23.53,21.65,12.43,3.38,1.01,15.0,0.0,78.31,3.3,0.68,1.61,1.43,2.81,77.71,1.59,178.31,,0.0,04-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Oct-2019 - 00:00,9.54,13.04,9.32,15.18,5.37,1.05,6.05,0.0,53.82,2.33,0.86,1.84,1.96,3.06,77.98,1.93,223.98,,0.0,05-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
05-Oct-2019 - 00:00,12.18,19.01,14.85,17.37,5.74,1.01,5.76,0.0,74.97,2.68,0.88,2.24,2.67,3.87,63.84,2.57,265.22,,0.0,06-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Oct-2019 - 00:00,13.57,18.66,13.4,17.71,5.38,1.0,4.79,0.0,107.66,3.67,1.23,2.65,3.22,4.74,62.11,1.89,244.03,,0.0,07-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Oct-2019 - 00:00,10.12,14.74,11.02,14.86,5.33,1.03,19.03,0.0,115.93,3.01,0.75,1.89,2.34,3.42,63.53,2.67,279.54,,0.0,08-Oct-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
