from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
10-Mar-2019 - 00:00,1.86,8.08,766.13,42.44,90.25,0.0,33.39,21.1,180.06,3.18,0.36,28.06,10.29,30.19,40.48,76.34,4.75,11-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Mar-2019 - 00:00,1.86,8.02,761.89,50.09,125.44,0.0,33.63,21.45,215.59,3.67,0.3,29.88,15.25,30.07,45.32,69.28,4.38,12-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Mar-2019 - 00:00,1.85,8.04,759.49,50.88,113.62,0.0,36.82,20.74,187.78,3.06,0.34,25.18,7.7,23.53,31.23,72.9,5.1,13-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Mar-2019 - 00:00,1.77,7.78,757.97,48.6,105.06,0.0,38.74,20.33,169.33,2.78,0.3,31.38,7.67,27.56,33.52,51.12,6.28,14-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Mar-2019 - 00:00,1.85,8.05,759.92,61.0,113.29,0.0,43.87,20.37,161.35,3.05,0.38,57.12,8.82,25.91,34.72,68.77,5.35,15-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Mar-2019 - 00:00,1.59,8.57,761.86,30.23,59.7,0.0,37.31,20.05,203.21,3.07,0.29,51.87,7.08,15.59,22.67,60.43,4.07,16-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Mar-2019 - 00:00,0.95,9.6,760.87,40.39,63.16,0.0,31.06,20.71,172.14,3.19,0.29,46.75,7.31,18.04,25.35,68.99,4.63,17-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Mar-2019 - 00:00,0.95,9.6,759.11,28.85,51.59,0.0,22.62,22.52,201.34,3.16,0.28,51.53,9.08,21.19,30.28,61.86,4.38,18-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Mar-2019 - 00:00,0.95,9.59,758.8,34.61,75.0,0.0,26.24,22.78,207.15,3.13,0.48,57.59,14.59,30.56,44.33,59.17,5.47,19-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Mar-2019 - 00:00,0.95,8.45,760.88,48.34,100.36,0.0,25.55,24.34,192.04,2.62,0.52,62.48,17.72,38.97,56.68,50.69,6.13,20-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Mar-2019 - 00:00,0.89,6.55,763.86,46.45,95.23,0.0,19.4,26.13,239.22,3.09,0.34,48.74,7.95,20.23,28.18,52.98,9.53,21-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Mar-2019 - 00:00,0.84,5.66,765.18,55.68,78.03,0.0,30.08,24.81,204.39,3.25,0.42,45.15,6.82,14.76,21.59,80.9,5.63,22-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Mar-2019 - 00:00,0.85,5.64,762.67,34.78,74.15,0.0,26.09,24.59,143.77,3.49,0.32,39.83,6.67,16.22,22.88,69.69,5.81,23-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Mar-2019 - 00:00,0.85,5.62,757.04,46.52,99.25,0.0,23.3,24.79,215.78,2.62,0.42,50.98,14.03,30.35,44.38,52.66,5.75,24-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Mar-2019 - 00:00,0.85,5.67,757.72,48.24,104.7,0.0,22.36,27.07,209.97,3.45,0.25,51.34,8.0,21.72,29.72,57.17,6.84,25-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Mar-2019 - 00:00,0.86,5.63,757.8,45.79,93.18,0.0,34.17,25.8,181.65,3.28,0.31,54.34,7.25,15.57,22.82,46.89,6.15,26-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Mar-2019 - 00:00,0.85,5.68,759.32,30.38,96.46,0.0,28.56,25.07,198.13,3.13,0.39,51.27,8.78,22.81,31.6,54.07,6.08,27-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Mar-2019 - 00:00,0.85,5.63,759.63,45.87,103.37,0.0,25.23,25.76,227.13,2.91,0.46,62.36,20.06,34.32,54.38,44.92,5.82,28-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Mar-2019 - 00:00,0.85,5.65,757.98,46.56,114.21,0.0,22.66,28.46,212.71,2.7,0.4,68.05,23.69,38.37,62.07,34.67,7.4,29-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Mar-2019 - 00:00,0.74,5.0,755.8,41.72,103.01,0.0,21.17,29.87,215.57,3.21,0.43,68.92,29.55,36.01,65.56,27.8,10.51,30-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Mar-2019 - 00:00,0.64,3.19,754.94,56.57,118.72,0.0,16.74,31.93,206.64,3.05,0.37,60.11,12.28,30.41,42.69,46.84,6.56,31-Mar-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Mar-2019 - 00:00,0.85,2.06,755.89,54.33,108.16,0.0,23.49,29.93,173.07,3.83,0.36,55.67,7.16,15.32,22.48,51.96,6.85,01-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Apr-2019 - 00:00,0.61,1.47,777.86,48.55,109.73,0.0,14.74,28.42,227.78,3.0,0.54,59.28,11.77,32.04,43.81,44.85,7.75,02-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Apr-2019 - 00:00,0.57,1.04,756.36,49.22,99.28,0.0,16.17,28.58,194.61,3.16,0.55,59.03,14.44,32.24,46.8,51.32,7.96,03-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Apr-2019 - 00:00,0.53,0.99,755.44,58.22,122.5,0.0,17.49,29.65,211.31,3.29,0.36,57.99,22.78,35.77,58.55,34.75,6.53,04-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Apr-2019 - 00:00,0.61,0.95,755.89,61.72,119.42,0.0,16.33,31.21,227.14,2.6,0.6,40.19,23.24,36.08,59.31,41.61,7.74,05-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Apr-2019 - 00:00,0.85,0.94,755.49,38.85,107.43,0.0,15.61,32.57,222.21,4.01,0.41,29.57,8.54,26.21,34.75,42.71,6.18,06-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Apr-2019 - 00:00,0.85,0.95,755.35,48.05,136.4,0.0,19.42,31.95,211.71,4.2,0.41,30.5,6.6,25.58,32.18,48.87,8.66,07-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Apr-2019 - 00:00,0.85,0.96,754.03,42.34,114.37,0.01,22.31,31.45,222.51,4.18,0.4,24.37,3.85,14.13,17.98,64.04,8.92,08-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Apr-2019 - 00:00,0.85,0.95,756.13,58.21,105.02,0.0,28.12,29.88,193.64,3.54,0.52,36.86,13.83,27.26,41.09,56.94,6.83,09-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Apr-2019 - 00:00,0.85,0.95,757.57,99.67,182.98,0.0,19.61,32.61,228.94,3.38,0.46,34.17,13.67,26.63,40.29,51.66,8.62,10-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Apr-2019 - 00:00,0.68,1.04,759.18,85.93,145.62,0.0,21.72,32.71,228.03,3.74,0.54,30.6,11.97,23.79,35.75,44.36,9.3,11-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Apr-2019 - 00:00,0.44,1.07,758.93,69.23,114.51,0.0,17.9,33.21,207.44,1.63,0.39,24.46,8.06,26.45,34.52,41.34,8.2,12-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Apr-2019 - 00:00,0.35,1.05,758.75,135.35,306.74,0.0,21.17,32.25,169.65,1.59,0.48,22.86,13.87,25.46,39.07,47.06,6.72,13-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Apr-2019 - 00:00,0.35,1.06,757.28,70.85,125.09,0.0,20.57,33.0,146.32,1.97,0.36,20.41,7.83,22.44,30.27,61.62,9.66,14-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Apr-2019 - 00:00,0.33,0.98,755.83,53.85,343.4,0.0,23.55,32.05,144.44,2.17,0.59,27.22,17.43,29.95,44.88,39.05,10.85,15-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Apr-2019 - 00:00,0.4,1.31,755.53,66.49,146.56,0.06,28.94,29.74,171.87,4.52,0.38,24.11,9.96,27.09,37.05,55.13,7.07,16-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Apr-2019 - 00:00,0.41,2.36,756.76,37.73,72.08,0.07,60.0,22.9,161.47,4.52,0.44,50.03,10.75,22.3,33.03,42.82,6.37,17-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Apr-2019 - 00:00,0.28,2.3,758.31,35.15,70.1,0.0,62.48,21.55,169.56,2.38,0.46,37.63,7.95,16.94,24.89,58.47,9.38,18-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Apr-2019 - 00:00,0.31,2.36,757.96,22.63,53.93,0.0,48.89,24.05,230.23,1.31,0.41,27.96,7.52,16.51,24.03,65.37,5.16,19-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Apr-2019 - 00:00,0.23,2.17,756.48,24.93,63.22,0.0,37.26,25.53,248.82,1.22,0.33,22.88,7.61,17.35,24.97,88.81,5.68,20-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Apr-2019 - 00:00,0.28,2.08,754.38,45.1,79.95,0.0,29.97,27.74,252.8,1.15,0.39,24.73,12.14,28.72,40.86,66.29,6.15,21-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Apr-2019 - 00:00,0.47,2.51,753.56,47.91,92.83,0.0,27.7,29.1,212.34,1.71,0.41,27.38,13.1,34.13,47.23,48.13,7.06,22-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Apr-2019 - 00:00,0.75,3.43,753.76,51.56,96.13,0.0,24.49,31.25,207.11,2.04,0.58,33.79,21.71,34.81,56.52,43.24,6.58,23-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Apr-2019 - 00:00,1.0,3.55,754.51,54.38,105.62,0.0,17.72,33.12,199.55,2.22,0.57,28.66,14.53,38.12,52.65,42.56,8.01,24-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
