from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
22-Mar-2019 - 00:00,23.15,991.48,265.94,69.75,44.34,223.44,49.68,108.11,2.54,0.62,1.82,24.99,6.34,27.32,19.69,35.45,18.03,23-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
23-Mar-2019 - 00:00,23.92,990.69,264.75,66.38,42.45,254.52,53.29,109.14,3.03,0.69,2.42,26.46,6.15,34.66,23.42,48.03,17.57,24-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
24-Mar-2019 - 00:00,26.26,989.1,233.0,72.78,47.41,267.95,57.14,98.34,1.93,0.81,2.26,34.34,11.1,38.7,29.63,29.23,15.77,25-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
25-Mar-2019 - 00:00,23.17,989.52,214.48,82.42,61.8,194.47,57.93,102.75,1.89,0.88,3.26,35.13,9.43,28.64,22.92,18.26,17.14,26-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
26-Mar-2019 - 00:00,23.71,990.78,323.62,114.81,56.34,208.44,60.24,111.37,2.31,0.86,2.98,31.35,8.49,31.07,23.46,30.08,18.12,27-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
27-Mar-2019 - 00:00,24.9,991.29,313.44,114.98,45.95,179.4,65.45,89.36,1.74,0.98,3.12,28.26,13.61,35.82,30.12,39.93,20.11,28-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
28-Mar-2019 - 00:00,27.37,989.1,386.4,148.29,44.37,197.16,91.55,84.14,0.78,1.26,6.44,30.86,38.63,43.91,54.81,33.38,23.71,29-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
29-Mar-2019 - 00:00,29.04,986.08,341.35,118.54,52.69,179.58,91.37,97.67,0.77,1.09,6.88,41.82,21.95,43.94,41.27,23.01,22.85,30-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
30-Mar-2019 - 00:00,30.69,985.07,324.46,102.44,47.35,178.87,99.32,89.74,0.69,1.15,4.37,43.77,37.86,43.01,53.75,37.99,19.72,31-Mar-2019 - 00:00,"Mundka, Delhi - DPCC"
31-Mar-2019 - 00:00,28.14,986.06,358.58,86.33,40.05,205.8,74.5,109.77,2.65,0.68,2.49,30.6,6.95,29.76,21.55,48.18,19.54,01-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
01-Apr-2019 - 00:00,26.53,986.22,296.46,92.21,38.07,203.53,56.55,91.76,2.19,0.76,3.02,23.64,10.31,33.91,26.46,70.43,20.16,02-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
02-Apr-2019 - 00:00,27.36,986.94,315.21,116.21,36.32,196.87,65.66,84.06,1.1,1.0,3.73,23.85,16.04,38.4,33.48,70.37,18.94,03-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
03-Apr-2019 - 00:00,28.27,985.9,370.1,129.46,36.94,192.01,76.32,71.55,1.08,1.17,4.67,26.54,15.05,40.99,34.04,56.16,21.34,04-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
04-Apr-2019 - 00:00,30.43,986.28,469.6,151.1,38.09,176.41,140.86,115.5,0.87,1.52,5.41,33.89,66.5,52.42,82.1,48.04,17.3,05-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
05-Apr-2019 - 00:00,31.63,985.28,388.39,146.04,36.8,165.59,112.07,125.59,0.96,1.35,5.16,40.65,37.81,48.52,56.58,43.2,17.5,06-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
06-Apr-2019 - 00:00,32.39,984.09,443.5,102.74,33.23,160.7,79.79,139.62,1.08,1.11,4.44,34.55,13.4,39.84,32.09,16.0,22.0,07-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
07-Apr-2019 - 00:00,30.27,983.14,398.6,142.81,49.37,122.29,53.37,245.1,1.66,1.25,5.09,65.55,12.44,40.68,31.79,7.45,22.74,08-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
08-Apr-2019 - 00:00,29.17,984.14,307.12,56.42,43.19,175.89,45.63,227.15,0.97,1.02,3.8,43.79,17.08,40.66,35.51,29.66,16.45,09-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
09-Apr-2019 - 00:00,30.38,983.84,369.35,102.85,40.23,178.6,64.49,219.71,0.68,1.41,5.21,39.98,28.36,46.09,47.56,46.4,22.59,10-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
10-Apr-2019 - 00:00,31.92,985.27,335.29,105.81,36.39,189.05,73.7,119.95,1.11,0.93,3.75,40.09,25.97,35.29,39.95,26.81,22.25,11-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
11-Apr-2019 - 00:00,32.59,984.94,344.65,74.06,30.87,175.84,62.34,97.82,1.06,0.83,2.6,28.87,15.77,35.62,31.79,31.09,19.14,12-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
12-Apr-2019 - 00:00,31.02,985.53,342.98,57.6,34.41,171.31,39.93,128.12,1.37,0.74,2.41,30.29,11.64,30.48,25.72,34.85,24.23,13-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
13-Apr-2019 - 00:00,31.43,986.11,369.58,85.31,33.42,191.76,41.26,103.21,1.52,0.98,4.55,31.33,16.3,29.4,28.96,25.06,23.91,14-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
14-Apr-2019 - 00:00,31.71,985.88,270.37,76.11,32.56,187.24,19.12,108.32,1.85,0.71,3.59,26.75,4.85,22.33,15.83,23.38,23.54,15-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
15-Apr-2019 - 00:00,33.47,983.84,319.48,66.81,29.06,193.91,72.32,108.24,1.65,0.99,4.98,24.79,21.78,32.8,35.2,26.46,19.34,16-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
16-Apr-2019 - 00:00,25.87,987.0,213.41,38.41,52.72,90.31,34.14,214.66,2.74,0.55,3.19,33.15,8.96,27.45,21.91,27.26,16.42,17-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
