from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
01-Mar-2019 - 00:00,16.17,990.14,247.23,105.96,62.94,161.44,272.43,0.93,0.0,0.0,21.39,44.38,32.66,50.23,27.93,45.01,1.35,02-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Mar-2019 - 00:00,15.41,990.65,200.42,112.16,84.38,40.28,149.14,0.95,0.0,0.0,26.92,61.46,33.84,60.28,27.9,17.88,1.46,03-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Mar-2019 - 00:00,17.2,987.41,155.73,58.08,85.31,125.09,131.08,0.99,0.0,0.0,20.51,43.42,26.19,44.42,22.23,31.31,1.35,04-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Mar-2019 - 00:00,17.94,984.26,213.19,100.39,84.43,123.01,266.55,1.05,0.0,0.0,21.86,35.77,64.0,71.09,22.77,40.15,1.74,05-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Mar-2019 - 00:00,17.13,985.42,210.69,69.6,74.25,142.5,307.97,1.05,0.0,0.0,12.69,34.2,20.55,34.93,25.11,41.03,1.06,06-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Mar-2019 - 00:00,17.64,986.49,256.46,83.67,66.04,171.54,259.73,1.03,0.0,0.0,12.06,39.41,40.11,53.69,25.0,44.62,1.67,07-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Mar-2019 - 00:00,18.95,986.74,278.85,105.41,62.12,168.31,234.6,0.92,0.0,0.0,14.41,50.12,45.03,63.33,28.66,44.6,1.58,08-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Mar-2019 - 00:00,20.22,988.49,278.0,84.57,59.93,138.93,153.07,1.02,0.99,17.48,15.82,54.57,32.85,55.89,26.9,46.06,1.56,09-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Mar-2019 - 00:00,20.12,988.04,219.24,74.78,55.77,154.76,303.93,1.19,1.04,9.49,16.93,34.11,13.91,29.54,33.23,12.1,0.97,10-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Mar-2019 - 00:00,20.16,988.12,261.17,78.07,49.89,162.83,235.28,0.91,2.21,17.96,12.81,43.46,25.92,44.24,29.39,40.15,1.43,11-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Mar-2019 - 00:00,22.01,987.82,276.58,68.96,51.17,127.68,149.7,1.44,2.47,21.84,16.04,53.97,29.89,53.07,29.52,41.06,1.5,12-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Mar-2019 - 00:00,21.34,990.0,187.1,60.28,53.97,123.43,182.02,1.2,1.57,18.71,17.0,36.53,8.3,26.19,25.88,45.55,1.07,13-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Mar-2019 - 00:00,19.86,990.54,369.21,91.48,55.26,67.87,147.05,0.76,5.34,49.42,15.21,65.08,53.68,78.36,33.58,30.21,2.17,14-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Mar-2019 - 00:00,17.72,991.13,301.24,104.35,75.1,91.27,220.29,1.27,4.97,63.63,20.61,47.91,60.38,73.27,25.0,23.42,1.79,15-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Mar-2019 - 00:00,18.22,992.35,200.65,84.31,69.18,170.41,297.6,1.12,1.37,14.07,16.34,30.08,21.64,33.63,23.2,37.54,1.1,16-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Mar-2019 - 00:00,19.84,990.76,208.19,79.88,55.45,164.97,293.66,0.99,1.46,14.03,12.67,38.67,9.85,28.6,28.31,58.69,1.11,17-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Mar-2019 - 00:00,20.76,988.72,248.49,109.06,56.94,153.76,247.47,0.9,1.67,14.24,14.13,41.48,10.68,30.78,36.11,50.96,1.18,18-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Mar-2019 - 00:00,20.78,988.02,279.66,110.79,59.51,162.8,271.32,0.85,1.99,16.99,13.71,44.02,27.61,45.99,38.24,60.6,1.43,19-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Mar-2019 - 00:00,23.09,984.98,306.05,106.92,53.86,182.06,224.11,0.92,2.14,22.65,14.19,50.76,28.7,50.39,35.04,41.16,1.33,20-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Mar-2019 - 00:00,26.08,982.79,276.23,79.55,42.72,122.96,192.07,1.09,2.18,16.46,14.42,55.46,18.7,44.7,31.73,45.9,1.47,21-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Mar-2019 - 00:00,25.05,986.06,256.66,123.43,51.03,133.73,208.56,1.06,2.43,14.68,22.1,32.79,6.67,22.88,34.29,63.87,1.4,22-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Mar-2019 - 00:00,23.38,988.15,148.52,38.53,40.36,160.42,315.8,1.31,1.61,10.8,14.43,25.0,5.02,17.39,25.13,59.68,0.68,23-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Mar-2019 - 00:00,23.23,987.19,175.33,71.36,44.39,128.65,311.32,1.32,1.43,12.47,21.58,26.84,3.23,16.91,32.67,69.23,0.78,24-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Mar-2019 - 00:00,23.71,985.78,155.83,60.49,49.56,155.33,301.15,1.39,1.23,9.02,25.68,22.22,3.84,14.96,28.08,54.59,0.8,25-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Mar-2019 - 00:00,22.88,986.31,206.57,83.02,63.58,138.72,293.58,1.28,2.01,20.61,29.86,28.07,5.71,19.6,34.22,41.51,0.92,26-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Mar-2019 - 00:00,23.24,987.6,227.97,92.74,57.51,168.07,300.25,1.06,2.29,16.48,28.17,36.61,10.74,28.19,30.48,50.37,1.11,27-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Mar-2019 - 00:00,24.31,988.61,242.27,74.14,47.54,161.64,276.35,0.98,3.92,36.41,24.5,49.08,42.57,60.86,29.34,52.9,1.73,28-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Mar-2019 - 00:00,26.43,986.5,354.73,97.67,48.46,176.75,237.97,0.72,5.32,66.01,32.77,64.8,71.25,92.52,28.62,48.08,2.34,29-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Mar-2019 - 00:00,28.52,983.07,338.07,101.54,54.93,151.98,195.68,0.74,9.93,132.22,45.42,71.26,94.97,115.26,25.63,50.83,2.74,30-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Mar-2019 - 00:00,30.37,981.96,347.42,97.01,50.8,143.44,187.38,0.9,5.52,67.74,50.46,67.53,48.33,75.3,26.6,57.82,1.81,31-Mar-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Mar-2019 - 00:00,28.55,983.27,199.43,52.25,37.17,201.77,321.11,1.29,1.58,14.11,31.26,33.59,4.02,21.14,24.73,67.54,0.8,01-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Apr-2019 - 00:00,26.71,983.54,271.28,71.96,36.87,218.26,302.55,1.41,1.81,10.28,21.8,33.68,7.04,23.62,34.46,71.55,0.9,02-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
