from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Worli, Mumbai - MPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Worli, Mumbai - MPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Worli, Mumbai - MPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Worli, Mumbai - MPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Worli, Mumbai - MPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Worli, Mumbai - MPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Worli, Mumbai - MPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Worli, Mumbai - MPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Worli, Mumbai - MPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Worli, Mumbai - MPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Worli, Mumbai - MPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Worli, Mumbai - MPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Worli, Mumbai - MPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Worli, Mumbai - MPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
