from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Urban, Chamarajanagar - KSPCB"
