from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
28-Mar-2019 - 00:00,295.11,118.84,35.45,14.51,49.97,1.09,,66.81,29-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
29-Mar-2019 - 00:00,297.7,141.88,33.08,13.67,46.75,1.23,,68.22,30-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
30-Mar-2019 - 00:00,245.0,105.56,30.05,12.5,42.55,1.0,,56.02,31-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
31-Mar-2019 - 00:00,186.0,57.12,25.17,10.78,35.94,0.75,,61.55,01-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
01-Apr-2019 - 00:00,179.77,44.05,22.99,10.79,33.77,0.67,,49.66,02-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
02-Apr-2019 - 00:00,219.99,87.04,19.75,9.85,29.6,0.84,,60.45,03-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
03-Apr-2019 - 00:00,208.25,83.4,21.57,10.31,31.88,0.86,,51.28,04-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
04-Apr-2019 - 00:00,266.96,116.35,23.58,10.95,34.53,1.09,,58.39,05-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
05-Apr-2019 - 00:00,301.23,131.22,29.09,12.46,41.55,1.15,,54.76,06-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
06-Apr-2019 - 00:00,344.23,115.36,34.16,13.3,47.46,1.07,,48.16,07-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
07-Apr-2019 - 00:00,323.25,137.79,29.02,11.2,40.22,0.99,,31.4,08-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
08-Apr-2019 - 00:00,318.11,90.37,27.9,11.18,39.09,0.76,,31.15,09-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
