from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
