from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,Temp,WD,WS,to date,station
30-Nov-2019 - 00:00,25.16,29.97,14.27,0.94,72.4,5.1,0.4,0.33,3.75,125.0,43.04,26.03,0.0,61.68,28.63,82.0,2.08,01-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Dec-2019 - 00:00,20.72,29.07,11.62,0.84,73.53,5.87,0.42,0.26,4.89,155.38,97.88,25.38,0.0,68.85,30.09,117.17,2.1,02-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Dec-2019 - 00:00,18.11,32.08,10.3,0.83,84.71,3.69,0.38,0.23,3.77,120.28,80.28,24.97,0.0,72.99,31.16,62.19,2.67,03-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Dec-2019 - 00:00,20.28,24.96,11.34,0.74,90.65,3.59,0.36,0.22,3.53,95.1,48.4,24.74,0.0,62.64,30.4,61.08,2.52,04-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Dec-2019 - 00:00,23.06,18.12,12.82,0.7,83.7,4.98,0.36,0.24,3.71,72.73,19.5,24.92,0.0,51.16,30.6,71.68,2.03,05-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Dec-2019 - 00:00,21.94,18.01,12.32,0.68,85.85,6.64,0.32,0.2,3.14,69.26,22.1,24.76,0.0,48.9,29.82,65.82,2.29,06-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Dec-2019 - 00:00,21.41,19.23,12.04,0.75,95.72,6.7,0.31,0.16,2.71,98.29,42.0,23.78,0.0,46.97,30.43,72.3,2.33,07-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Dec-2019 - 00:00,26.74,25.08,14.8,1.03,106.74,7.63,0.4,0.25,3.24,142.58,81.92,24.03,0.0,51.9,31.05,62.78,2.38,08-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Dec-2019 - 00:00,31.07,27.82,17.2,1.21,112.02,7.98,0.48,0.27,3.58,166.38,107.58,23.82,0.0,58.1,30.9,65.68,2.07,09-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Dec-2019 - 00:00,28.22,25.64,15.59,1.19,118.03,8.17,0.49,0.27,3.96,163.22,102.81,24.36,0.0,59.51,30.47,79.91,2.07,10-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Dec-2019 - 00:00,37.26,28.74,20.41,1.41,84.92,5.99,0.58,0.42,5.26,166.68,94.65,24.44,0.0,63.49,30.29,127.93,1.21,11-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Dec-2019 - 00:00,46.48,40.04,25.22,1.8,56.45,5.81,0.77,0.73,6.93,182.54,100.66,24.79,0.0,67.94,30.28,176.09,1.07,12-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Dec-2019 - 00:00,33.89,29.77,18.64,0.97,63.75,6.36,0.43,0.42,6.36,121.55,59.25,24.69,0.0,61.84,30.15,215.85,2.09,13-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Dec-2019 - 00:00,25.88,21.98,14.38,0.7,52.41,4.91,0.27,0.09,5.51,76.84,28.85,23.98,0.0,63.31,30.43,224.49,2.83,14-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Dec-2019 - 00:00,19.16,24.19,10.77,0.78,64.18,3.45,0.3,0.11,3.31,90.41,64.18,23.18,0.0,72.8,30.63,72.46,2.68,15-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Dec-2019 - 00:00,21.44,22.76,11.99,0.88,55.55,3.06,0.32,0.12,2.52,108.35,76.78,21.73,0.0,77.8,30.72,64.22,2.9,16-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Dec-2019 - 00:00,25.45,20.83,14.16,0.94,59.08,3.19,0.39,0.16,2.51,113.86,79.18,21.39,0.0,75.22,30.79,57.95,2.97,17-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Dec-2019 - 00:00,21.69,24.36,12.16,0.99,68.42,3.15,0.35,0.12,2.07,121.46,91.84,21.12,0.0,76.56,30.83,58.51,3.17,18-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Dec-2019 - 00:00,24.88,23.3,13.8,1.05,61.03,4.48,0.41,0.17,2.43,137.99,90.89,21.88,0.0,72.0,29.57,76.75,2.19,19-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Dec-2019 - 00:00,30.74,23.35,16.93,1.21,64.97,4.71,0.47,0.29,3.53,140.2,89.48,23.51,0.0,66.77,29.91,104.07,1.43,20-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Dec-2019 - 00:00,30.49,28.17,16.79,1.17,63.16,4.3,0.49,0.32,4.65,142.41,89.55,24.57,0.0,70.98,30.6,130.85,1.31,21-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Dec-2019 - 00:00,25.62,27.3,14.3,1.04,64.93,7.08,0.46,0.24,3.85,134.21,85.74,24.55,0.0,70.91,30.42,117.89,1.71,22-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Dec-2019 - 00:00,24.13,19.49,13.49,1.12,78.41,4.88,0.34,0.15,2.39,90.92,48.29,23.71,0.0,61.76,30.28,63.51,2.66,23-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Dec-2019 - 00:00,26.22,21.97,14.56,1.08,71.0,4.82,0.42,0.22,2.79,116.46,62.5,23.58,0.0,62.21,30.69,74.1,2.41,24-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Dec-2019 - 00:00,24.34,23.31,13.54,1.05,51.13,4.17,0.41,0.19,2.79,99.0,55.04,23.61,0.0,72.11,31.26,72.49,2.29,25-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Dec-2019 - 00:00,21.2,28.08,11.86,0.99,53.71,3.44,0.37,0.13,2.32,112.08,81.08,22.99,0.0,80.23,31.34,59.86,2.86,26-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Dec-2019 - 00:00,27.02,19.7,14.93,1.09,66.6,4.45,0.36,0.16,2.36,84.35,55.23,22.21,0.0,63.77,31.62,56.3,2.71,27-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Dec-2019 - 00:00,31.88,12.79,17.57,1.05,59.67,4.2,0.39,0.19,2.6,88.9,46.29,21.42,0.0,44.62,30.45,85.4,2.1,28-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Dec-2019 - 00:00,27.88,14.37,15.67,1.01,56.24,3.68,0.4,0.2,2.63,95.71,54.4,21.26,0.0,47.06,30.42,85.74,2.25,29-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Dec-2019 - 00:00,25.17,15.46,14.52,1.1,53.24,4.14,0.37,0.17,2.5,93.04,53.25,21.66,0.0,51.41,30.87,83.53,2.08,30-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Dec-2019 - 00:00,25.29,19.39,14.52,1.08,59.96,8.15,0.4,0.18,2.67,108.63,71.07,21.96,0.0,59.86,31.15,91.82,2.25,31-Dec-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Dec-2019 - 00:00,23.55,20.85,13.5,1.02,48.1,3.4,0.4,0.25,2.75,91.0,80.0,21.05,0.0,74.0,30.8,90.0,2.45,01-Jan-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
