from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
05-Apr-2019 - 00:00,28.28,19.45,4.39,37.5,22.78,0.75,65.93,70.16,176.9,7.79,63.5,4.14,4.64,57.02,1.61,231.03,364.0,0.0,06-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Apr-2019 - 00:00,30.52,20.57,4.33,30.38,21.92,0.79,61.16,71.3,192.67,7.66,77.29,4.53,5.44,54.57,1.51,158.77,368.37,0.0,07-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Apr-2019 - 00:00,27.52,18.77,4.03,27.2,15.01,0.64,45.5,74.95,191.24,6.84,79.05,4.4,4.75,63.44,1.73,139.08,369.07,0.0,08-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Apr-2019 - 00:00,31.82,24.04,7.81,61.94,17.96,0.57,32.41,77.69,229.69,6.31,63.97,4.65,5.94,59.17,1.99,106.61,302.57,0.0,09-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Apr-2019 - 00:00,33.62,24.99,7.83,84.04,18.27,0.5,51.22,44.82,127.25,5.7,69.77,4.04,5.18,51.4,1.38,213.47,443.53,0.0,10-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Apr-2019 - 00:00,24.65,16.44,3.07,123.78,14.8,0.41,65.34,38.64,137.39,3.89,61.65,3.6,4.12,48.36,2.29,268.71,379.63,0.0,11-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
11-Apr-2019 - 00:00,31.05,20.48,3.86,135.59,17.17,0.45,58.03,48.5,146.83,4.81,61.31,3.51,3.8,44.34,2.08,230.03,432.81,0.0,12-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
12-Apr-2019 - 00:00,28.88,18.95,3.39,136.31,13.43,0.34,65.41,42.59,202.75,3.77,74.1,4.29,4.27,43.85,2.56,273.05,396.72,0.0,13-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Apr-2019 - 00:00,22.71,15.65,3.29,79.58,15.66,0.35,47.19,36.21,139.94,3.34,57.41,3.23,3.73,36.13,3.18,308.37,291.77,0.0,14-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Apr-2019 - 00:00,22.18,15.37,3.29,78.77,11.36,0.28,44.3,32.83,121.71,2.84,52.36,2.95,3.29,43.33,3.46,316.76,300.47,0.0,15-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Apr-2019 - 00:00,29.75,18.84,3.34,85.24,10.65,0.45,52.74,22.17,104.3,2.95,38.24,2.59,3.15,26.01,2.98,309.13,536.56,0.0,16-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Apr-2019 - 00:00,20.18,14.48,3.53,62.74,28.41,0.36,51.94,48.73,169.35,3.25,46.38,2.6,2.55,54.79,3.45,173.43,230.02,0.0,17-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Apr-2019 - 00:00,20.26,14.28,3.16,57.03,28.38,0.31,45.78,20.47,62.79,2.57,44.84,2.42,2.41,72.26,2.59,129.84,259.5,0.06,18-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Apr-2019 - 00:00,21.57,15.26,3.26,52.82,31.33,0.36,47.23,18.69,47.88,2.65,26.99,1.43,1.65,47.67,1.69,206.41,506.32,0.0,19-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Apr-2019 - 00:00,22.64,14.91,2.4,58.44,35.96,0.34,59.07,25.41,68.62,2.91,53.76,2.9,3.45,48.3,1.76,307.41,516.16,0.0,20-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Apr-2019 - 00:00,27.53,18.72,4.01,52.14,51.47,0.48,63.22,37.41,96.5,3.73,52.19,2.91,3.74,40.57,1.46,245.55,493.27,0.0,21-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
21-Apr-2019 - 00:00,42.03,29.45,7.9,62.62,52.05,0.55,57.23,43.86,135.22,5.0,63.93,4.0,5.58,38.66,1.58,241.81,473.52,0.0,22-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
22-Apr-2019 - 00:00,35.0,23.1,4.51,51.73,58.97,0.44,65.18,32.45,111.31,3.54,65.82,3.15,3.78,36.17,1.72,202.33,490.77,0.0,23-Apr-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
