from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jun-2019 - 00:00,0.21,0.01,0.06,0.02,750.0,106.56,43.69,0.02,25.07,36.67,235.32,2.0,0.6,11.06,10.8,13.05,23.41,25.05,9.49,02-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Jun-2019 - 00:00,0.13,0.01,0.09,0.03,749.14,106.27,37.62,0.0,21.45,38.58,277.62,2.33,0.69,9.19,10.85,13.33,24.18,27.42,7.68,03-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Jun-2019 - 00:00,0.18,0.0,0.01,0.01,748.57,101.2,35.73,0.0,16.1,39.67,283.38,2.62,0.68,8.47,10.39,9.73,20.11,29.28,7.22,04-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Jun-2019 - 00:00,0.22,0.0,0.0,0.0,744.75,119.06,41.18,0.0,15.25,39.46,278.9,2.19,0.68,8.53,10.36,8.68,19.04,35.86,8.59,05-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Jun-2019 - 00:00,0.08,0.0,0.0,0.0,741.5,129.34,40.03,0.0,18.19,39.05,291.81,2.53,0.67,11.6,10.52,7.46,17.98,44.26,8.93,06-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Jun-2019 - 00:00,0.02,0.0,0.0,0.0,741.67,102.62,37.93,0.0,19.55,38.97,289.26,1.93,0.69,9.9,10.25,8.64,18.89,49.0,11.81,07-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Jun-2019 - 00:00,0.37,0.0,0.0,0.0,741.19,171.58,62.4,0.0,19.55,38.41,177.09,1.1,0.7,14.36,17.81,21.37,38.97,41.93,14.14,08-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Jun-2019 - 00:00,0.68,0.0,0.0,0.0,735.79,164.04,72.55,0.0,19.93,38.31,180.83,1.08,0.55,10.27,18.17,28.03,46.2,44.43,15.13,09-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Jun-2019 - 00:00,0.61,0.0,0.0,0.0,734.15,135.55,63.21,0.0,14.36,39.45,226.16,1.05,0.42,9.23,14.96,25.6,40.52,43.44,16.1,10-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Jun-2019 - 00:00,0.44,0.36,0.42,0.4,732.61,122.22,42.16,0.0,16.19,39.56,262.49,2.02,0.37,8.63,10.43,9.97,19.71,48.87,10.76,11-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Jun-2019 - 00:00,0.98,0.85,0.95,0.93,732.39,102.69,38.52,0.0,19.91,38.77,233.9,1.68,0.39,9.03,10.37,9.8,20.01,45.78,10.84,12-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Jun-2019 - 00:00,0.98,0.85,0.98,0.94,732.91,123.04,48.51,0.0,24.31,37.98,182.58,1.35,0.43,8.83,10.77,16.37,27.14,49.35,18.64,13-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Jun-2019 - 00:00,0.96,0.83,0.93,0.91,734.62,100.04,37.85,0.0,50.41,32.07,173.18,1.77,0.41,12.51,11.05,11.64,21.83,57.5,10.26,14-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Jun-2019 - 00:00,0.99,0.86,0.95,0.94,731.19,54.94,25.0,0.0,39.04,34.76,260.44,1.96,0.41,13.46,10.59,7.97,18.56,49.77,9.52,15-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Jun-2019 - 00:00,0.99,0.85,0.96,0.94,731.76,53.02,25.0,0.0,44.42,33.37,262.51,2.07,0.4,10.19,11.18,10.38,21.6,45.16,12.64,16-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Jun-2019 - 00:00,0.97,0.84,0.95,0.92,732.48,102.71,37.42,0.0,47.7,32.98,222.68,2.81,0.39,8.83,10.17,7.19,17.03,40.51,9.15,17-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Jun-2019 - 00:00,0.79,0.64,0.73,0.71,732.3,69.97,25.19,0.0,44.3,33.36,258.29,3.05,0.41,11.06,9.94,5.71,16.91,39.75,6.47,18-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-Jun-2019 - 00:00,0.36,0.0,0.0,0.0,731.88,60.76,33.71,0.02,51.09,31.41,200.65,2.05,0.55,10.2,9.9,3.92,13.53,40.32,8.11,19-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-Jun-2019 - 00:00,0.42,0.0,0.0,0.0,731.51,41.31,16.29,0.25,88.97,24.3,94.63,2.09,0.53,13.43,11.53,6.71,17.77,17.94,7.17,20-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
