from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
21-Mar-2019 - 00:00,12.3,11.35,4.65,84.6,1.11,25.03,2.88,14.82,4.42,10.79,136.84,55.6,241.71,26.76,207.67,0.92,11.06,22-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Mar-2019 - 00:00,7.77,8.54,4.33,23.22,0.73,21.2,2.28,12.36,4.35,15.17,84.78,23.06,310.47,26.7,199.53,0.89,12.96,23-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Mar-2019 - 00:00,13.49,17.66,11.02,44.43,1.2,32.17,7.57,21.5,3.78,25.5,91.5,130.85,315.63,29.14,200.95,0.78,26.05,24-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Mar-2019 - 00:00,30.15,23.96,6.49,83.69,1.67,,,,,30.0,243.12,327.86,282.44,30.88,200.94,0.69,54.78,25-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Mar-2019 - 00:00,17.76,21.84,10.21,107.03,1.28,29.65,17.99,27.73,2.25,35.19,136.95,112.37,269.57,32.69,177.35,0.71,71.58,26-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Mar-2019 - 00:00,18.42,18.95,9.14,93.66,1.36,42.79,29.57,40.74,3.41,24.24,177.37,136.42,293.6,32.02,169.65,0.82,64.55,27-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Mar-2019 - 00:00,15.32,11.21,7.32,63.35,1.02,27.53,25.47,29.63,2.52,23.01,98.59,59.82,281.16,29.73,173.94,0.73,30.39,28-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Mar-2019 - 00:00,17.4,14.27,7.78,66.19,1.21,31.08,29.2,33.71,3.13,28.4,102.91,169.62,277.1,29.36,219.41,0.88,18.14,29-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Mar-2019 - 00:00,13.76,15.26,8.05,77.69,1.23,30.95,28.6,33.29,3.42,20.48,93.58,56.28,267.61,30.29,209.24,0.89,22.65,30-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Mar-2019 - 00:00,9.32,10.57,5.61,47.32,0.84,21.59,19.27,22.81,4.12,10.55,70.95,86.4,268.91,29.69,203.9,1.06,27.36,31-Mar-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Mar-2019 - 00:00,12.95,8.61,3.57,79.12,0.85,22.73,19.1,23.31,4.36,11.58,59.47,65.68,283.79,29.18,205.89,0.85,21.61,01-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Apr-2019 - 00:00,17.47,14.08,8.08,83.65,1.12,27.42,21.1,26.95,4.29,15.17,74.12,75.33,314.48,28.18,204.3,0.93,32.68,02-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Apr-2019 - 00:00,13.01,12.5,7.99,88.86,0.93,24.05,19.79,24.41,4.26,15.33,70.92,44.67,351.73,28.15,196.54,0.99,31.56,03-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Apr-2019 - 00:00,7.12,8.26,4.11,44.31,0.72,16.32,13.7,16.72,3.66,14.18,81.6,80.82,344.84,30.1,187.9,0.85,33.61,04-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Apr-2019 - 00:00,16.98,10.73,5.49,85.6,0.92,20.75,18.92,22.16,4.83,9.11,74.53,51.35,321.49,29.33,207.95,0.98,30.34,05-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Apr-2019 - 00:00,7.88,8.97,4.4,32.72,0.75,17.88,12.24,16.67,5.02,9.62,67.43,69.9,323.53,29.91,199.69,0.94,11.65,06-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Apr-2019 - 00:00,16.4,13.25,9.41,40.02,1.02,22.37,15.88,21.19,5.78,12.11,82.85,85.75,326.57,29.46,215.31,0.88,18.69,07-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Apr-2019 - 00:00,11.98,12.92,6.46,112.2,1.23,24.4,18.55,23.85,5.72,10.32,101.55,74.73,344.76,29.23,201.56,0.93,31.4,08-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Apr-2019 - 00:00,11.73,11.26,6.28,81.95,1.08,19.93,16.94,20.54,5.39,9.02,76.39,484.82,346.76,30.59,205.26,0.93,37.17,09-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Apr-2019 - 00:00,6.31,,4.79,85.93,0.86,12.66,7.71,11.22,3.52,8.7,71.7,,273.64,31.35,228.79,1.24,28.48,10-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Apr-2019 - 00:00,8.03,,6.05,32.58,0.97,12.66,9.3,12.18,4.22,9.16,69.91,,335.34,29.83,198.99,0.86,38.07,11-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Apr-2019 - 00:00,8.87,,6.38,46.33,0.71,11.82,7.21,10.49,3.78,8.58,70.58,,330.1,30.32,226.43,0.91,19.5,12-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Apr-2019 - 00:00,8.21,,6.02,44.14,0.9,12.88,7.96,11.5,4.04,14.67,67.75,,328.03,30.46,222.87,0.92,11.14,13-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Apr-2019 - 00:00,7.19,,5.81,41.26,0.89,13.18,8.14,11.76,3.65,14.67,115.13,,304.59,31.57,212.91,0.93,29.95,14-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Apr-2019 - 00:00,6.88,,4.93,48.19,0.82,12.87,6.4,10.55,3.58,20.37,105.64,,315.53,32.45,203.09,0.88,45.72,15-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
