from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
03-Feb-2019 - 00:00,158.11,84.99,11.15,6.55,17.7,0.26,0.0,20.87,3.6,0.0,0.0,0.0,04-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
04-Feb-2019 - 00:00,146.76,77.48,20.84,11.31,32.15,0.48,0.0,23.99,4.55,0.0,0.0,0.0,05-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
05-Feb-2019 - 00:00,260.22,156.63,40.69,17.17,57.85,1.13,0.0,21.98,2.84,0.0,0.0,0.0,06-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
06-Feb-2019 - 00:00,208.65,129.56,13.85,8.69,22.54,0.44,0.0,19.02,3.22,0.76,4.62,0.36,07-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
07-Feb-2019 - 00:00,73.75,48.76,7.86,5.5,13.35,0.19,0.0,16.74,2.26,0.57,4.99,1.39,08-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
08-Feb-2019 - 00:00,116.02,44.04,11.31,7.08,18.39,0.21,0.0,20.68,2.97,0.38,2.0,1.16,09-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
09-Feb-2019 - 00:00,118.52,48.64,11.38,6.89,18.28,0.22,0.0,21.1,2.76,0.71,5.45,1.45,10-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
10-Feb-2019 - 00:00,192.3,94.21,19.8,9.7,29.5,0.39,0.0,22.04,1.86,1.78,17.24,6.08,11-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
11-Feb-2019 - 00:00,233.4,121.3,23.48,12.41,35.89,0.52,0.0,24.08,2.77,0.86,14.69,4.05,12-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
12-Feb-2019 - 00:00,275.99,149.66,28.39,15.55,43.94,0.91,0.0,24.13,4.73,0.0,0.02,0.01,13-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
13-Feb-2019 - 00:00,244.61,143.85,22.68,12.54,35.22,0.74,0.0,24.43,4.06,0.79,3.17,1.97,14-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
14-Feb-2019 - 00:00,189.04,115.43,9.74,8.44,18.18,0.51,0.0,19.11,4.67,1.94,9.12,1.75,15-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
15-Feb-2019 - 00:00,186.73,107.61,7.38,6.62,14.0,0.39,0.0,20.02,3.41,0.79,3.91,2.43,16-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
16-Feb-2019 - 00:00,133.01,73.75,7.67,5.3,12.97,0.32,0.0,17.52,2.35,0.36,2.03,0.3,17-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
17-Feb-2019 - 00:00,113.4,52.53,7.53,5.22,12.74,0.32,0.0,17.89,0.02,0.05,0.12,0.34,18-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
18-Feb-2019 - 00:00,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
19-Feb-2019 - 00:00,244.59,119.33,17.94,12.34,30.29,0.76,0.0,33.84,3.9,0.42,3.35,1.31,20-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
20-Feb-2019 - 00:00,156.05,75.87,11.62,6.79,18.4,0.65,0.0,19.1,1.35,0.49,7.87,2.16,21-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
21-Feb-2019 - 00:00,142.15,54.66,17.45,8.39,25.84,0.43,0.0,27.75,3.05,0.47,2.38,1.61,22-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
22-Feb-2019 - 00:00,105.85,47.46,10.08,5.69,15.57,0.48,0.0,21.8,0.91,0.71,4.35,1.23,23-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
23-Feb-2019 - 00:00,65.2,30.39,6.18,4.23,10.15,0.25,0.0,29.92,1.19,0.25,1.35,0.93,24-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
24-Feb-2019 - 00:00,114.49,59.78,10.26,6.57,16.82,0.37,0.0,25.25,2.34,0.27,1.65,0.72,25-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
25-Feb-2019 - 00:00,114.04,62.27,13.16,7.79,20.77,0.48,0.0,21.52,0.8,0.04,0.41,0.02,26-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
26-Feb-2019 - 00:00,95.25,45.03,8.97,6.82,15.77,0.33,0.0,20.68,1.34,0.0,0.0,0.0,27-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
27-Feb-2019 - 00:00,64.84,29.19,7.72,5.37,13.09,0.3,0.0,20.22,1.41,0.0,0.0,0.0,28-Feb-2019 - 00:00,"Lodhi Road, Delhi - IMD"
28-Feb-2019 - 00:00,119.11,60.55,15.72,7.11,22.83,0.46,0.0,21.99,1.2,0.0,0.0,0.0,01-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
01-Mar-2019 - 00:00,123.43,61.86,14.91,7.64,22.55,0.53,0.0,22.73,2.66,0.0,0.0,0.0,02-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
02-Mar-2019 - 00:00,132.35,76.29,14.02,8.72,22.74,0.61,0.0,14.93,2.62,0.0,0.0,0.0,03-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
03-Mar-2019 - 00:00,88.31,53.08,9.56,5.34,14.9,0.26,0.0,18.55,2.38,0.0,0.0,0.09,04-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
04-Mar-2019 - 00:00,143.73,84.91,17.01,6.33,23.34,0.55,0.0,22.59,0.94,0.0,0.0,0.03,05-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
05-Mar-2019 - 00:00,80.4,40.78,6.54,3.9,10.45,0.19,0.0,18.22,1.93,0.0,0.0,0.0,06-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
06-Mar-2019 - 00:00,109.63,52.05,12.28,6.23,18.51,0.35,0.0,23.66,1.54,0.0,0.0,0.0,07-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
07-Mar-2019 - 00:00,132.81,67.44,14.47,5.86,20.33,0.51,0.0,26.36,1.67,0.0,0.0,0.0,08-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
08-Mar-2019 - 00:00,133.27,61.05,10.28,5.91,16.19,0.42,0.0,23.85,1.71,0.0,0.0,0.0,09-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
09-Mar-2019 - 00:00,111.67,46.91,8.44,5.52,13.96,0.26,0.0,21.65,2.46,0.0,0.0,0.0,10-Mar-2019 - 00:00,"Lodhi Road, Delhi - IMD"
