from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
04-Dec-2019 - 00:00,0.12,154.23,50.96,752.07,55.72,66.93,74.97,93.4,21.49,135.91,15.96,2.55,13.81,0.39,5.64,24.43,9.94,6.21,5.88,05-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Dec-2019 - 00:00,0.07,154.35,64.38,753.33,48.07,112.3,78.92,131.81,22.12,214.75,15.83,2.94,16.66,0.35,11.02,47.46,16.63,12.61,9.41,06-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Dec-2019 - 00:00,0.05,182.07,72.79,752.76,43.61,38.48,78.82,72.69,17.4,187.89,16.64,1.78,11.7,0.32,3.84,19.93,5.88,4.9,3.27,07-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Dec-2019 - 00:00,0.07,138.08,71.29,752.04,49.85,77.57,67.73,98.06,18.82,191.56,16.92,2.48,15.67,0.37,8.85,33.74,12.31,8.25,7.13,08-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Dec-2019 - 00:00,0.41,180.88,68.47,751.89,63.21,107.14,63.87,119.68,16.26,218.77,16.69,2.5,15.06,0.34,9.13,39.68,15.26,10.31,8.91,09-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Dec-2019 - 00:00,0.14,175.73,62.66,751.45,60.71,86.2,62.56,102.21,23.45,185.0,16.21,2.13,13.07,0.35,5.78,30.74,10.64,8.51,6.65,10-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Dec-2019 - 00:00,0.03,181.95,64.9,749.74,55.34,77.75,63.36,95.86,25.5,224.74,16.5,2.13,12.4,0.42,6.84,30.68,11.22,8.35,5.95,11-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Dec-2019 - 00:00,0.3,138.99,66.88,748.75,47.18,88.97,68.1,107.39,17.73,258.98,16.92,2.76,13.38,0.47,7.39,32.6,13.19,8.02,6.71,12-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Dec-2019 - 00:00,0.26,109.11,66.11,747.91,60.77,31.48,62.76,58.56,29.53,251.35,16.47,1.33,11.71,1.14,3.94,13.29,4.45,2.65,2.76,13-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Dec-2019 - 00:00,0.08,182.11,93.94,748.31,66.56,8.35,50.71,33.62,18.35,72.86,14.76,0.69,10.44,0.95,1.28,3.72,0.27,0.46,0.63,14-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Dec-2019 - 00:00,0.11,131.83,85.1,752.57,62.16,16.15,56.29,42.85,11.93,61.91,14.08,0.94,12.41,0.45,1.59,8.39,1.47,1.26,1.08,15-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Dec-2019 - 00:00,0.05,254.94,84.63,752.39,72.94,12.57,54.93,39.27,13.2,66.66,13.95,1.04,13.51,0.56,1.29,4.46,0.18,0.3,0.51,16-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Dec-2019 - 00:00,0.28,290.03,93.02,752.87,37.48,9.01,57.39,37.73,14.19,59.02,11.03,0.57,9.84,0.63,0.73,1.72,0.08,0.4,0.2,17-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Dec-2019 - 00:00,0.31,276.98,89.35,753.61,57.3,14.14,51.18,38.53,14.71,69.23,10.71,1.03,9.25,0.54,1.27,4.18,1.11,1.15,0.57,18-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Dec-2019 - 00:00,0.13,218.58,82.33,752.71,99.14,18.79,59.35,46.54,25.19,94.35,11.56,1.07,9.16,0.65,2.82,10.0,2.03,0.46,0.45,19-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Dec-2019 - 00:00,-0.17,135.15,93.66,751.88,95.74,49.47,58.2,70.48,4.02,215.29,10.6,1.66,11.33,0.62,4.97,16.54,3.97,0.41,0.84,20-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Dec-2019 - 00:00,-0.04,224.63,93.24,750.27,89.11,36.5,67.07,64.87,6.16,297.33,11.62,1.95,13.72,0.47,7.3,28.43,6.28,0.98,1.12,21-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Dec-2019 - 00:00,0.36,256.82,91.49,750.81,94.62,28.95,57.27,53.6,3.36,222.91,12.57,1.3,10.73,0.4,6.93,21.25,2.7,0.71,0.59,22-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Dec-2019 - 00:00,0.38,280.56,96.42,751.78,79.69,16.99,55.71,43.22,5.76,124.25,10.59,0.64,5.52,0.53,2.02,7.04,0.0,0.02,0.05,23-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Dec-2019 - 00:00,0.35,245.68,93.86,751.31,83.41,27.17,53.57,50.2,7.18,132.51,9.49,1.15,6.93,0.6,2.95,14.49,1.19,0.3,0.37,24-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Dec-2019 - 00:00,0.35,164.91,88.76,752.36,94.56,35.88,64.22,62.84,6.02,234.54,10.32,1.59,10.27,0.53,6.04,22.4,2.8,0.58,0.62,25-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Dec-2019 - 00:00,0.38,294.69,93.49,751.91,93.59,19.69,63.73,49.64,5.9,140.6,8.38,0.46,8.69,0.55,2.18,8.49,0.22,0.09,0.17,26-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Dec-2019 - 00:00,0.38,237.15,88.84,751.51,91.52,19.22,67.02,50.99,8.88,170.36,8.36,0.49,7.55,0.61,2.53,9.7,0.35,0.27,0.23,27-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Dec-2019 - 00:00,0.08,172.93,82.35,752.03,93.12,28.08,67.51,58.37,6.49,227.12,8.66,0.8,9.3,0.49,3.49,11.4,2.14,0.63,0.49,28-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Dec-2019 - 00:00,0.18,162.83,89.67,752.5,95.63,51.75,55.67,70.99,5.32,288.22,7.62,1.7,17.83,0.52,5.65,15.01,2.48,0.33,0.6,29-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Dec-2019 - 00:00,0.02,137.62,85.74,752.68,98.45,30.8,75.09,64.59,8.29,323.66,8.81,1.33,13.67,0.57,4.61,12.58,1.7,0.33,0.48,30-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Dec-2019 - 00:00,0.17,149.63,98.09,752.35,71.08,50.3,68.05,75.44,1.95,350.65,6.95,2.73,19.91,0.69,5.99,15.61,2.53,0.45,0.75,31-Dec-2019 - 00:00,"Shadipur, Delhi - CPCB"
31-Dec-2019 - 00:00,0.26,128.75,98.11,752.78,61.2,,80.08,39.26,2.9,269.31,5.96,0.33,,1.34,2.79,3.56,0.0,0.0,0.0,01-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
