from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
18-Mar-2019 - 00:00,22.24,990.86,169.14,61.64,13.41,160.67,288.46,1.52,0.0,0.0,33.82,92.36,77.72,112.45,57.24,31.38,1.39,19-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Mar-2019 - 00:00,22.74,987.82,224.59,95.06,31.07,154.36,252.12,1.26,0.0,0.0,38.69,94.77,85.02,119.98,37.59,34.54,1.26,20-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Mar-2019 - 00:00,24.57,986.27,231.77,88.53,0.56,174.23,131.21,1.46,0.0,0.0,39.38,92.59,41.24,82.88,32.74,33.07,1.93,21-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Mar-2019 - 00:00,25.66,991.72,143.0,26.8,20.94,243.1,303.71,3.49,0.0,0.0,26.5,53.76,5.31,32.91,65.37,26.67,2.63,23-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Mar-2019 - 00:00,23.62,990.68,135.26,46.91,1.52,156.08,302.13,3.27,0.0,0.0,27.91,41.58,3.13,24.68,66.12,29.58,3.38,24-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Mar-2019 - 00:00,24.23,989.12,131.97,51.12,0.45,149.42,299.64,2.09,0.0,0.0,31.58,42.94,7.13,28.66,46.23,34.0,1.67,25-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Mar-2019 - 00:00,23.35,989.47,142.95,59.15,0.23,138.21,282.24,2.01,0.0,0.0,35.89,47.02,7.69,31.29,36.12,33.09,1.67,26-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Mar-2019 - 00:00,23.39,990.82,157.3,63.72,0.23,154.59,302.4,2.37,0.0,0.0,35.8,59.91,18.76,47.17,41.98,31.92,1.81,27-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Mar-2019 - 00:00,24.26,991.43,164.49,62.45,0.24,138.89,287.94,1.83,0.0,0.0,34.87,77.38,58.08,88.81,43.48,33.06,2.19,28-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Mar-2019 - 00:00,26.6,989.32,238.52,89.92,0.31,146.2,278.78,0.96,,,40.45,96.2,116.7,146.35,48.41,34.73,2.71,29-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Mar-2019 - 00:00,28.48,986.26,218.38,79.1,13.68,139.09,257.84,0.86,,,46.94,93.3,127.09,153.19,45.13,29.46,2.62,30-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Mar-2019 - 00:00,30.17,985.25,212.32,78.8,17.03,135.62,221.26,0.79,0.01,0.08,52.61,84.09,81.84,111.44,43.92,33.24,2.49,31-Mar-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Mar-2019 - 00:00,28.22,985.96,174.61,50.9,24.0,170.21,302.98,2.83,0.0,0.0,41.71,56.34,17.99,44.61,50.21,32.98,1.67,01-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Apr-2019 - 00:00,27.05,986.25,179.38,58.73,28.99,169.05,294.28,2.82,0.0,0.0,37.36,52.83,6.75,33.59,62.93,37.77,1.65,02-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Apr-2019 - 00:00,27.01,987.04,192.22,68.08,33.87,163.76,281.25,1.17,0.0,0.0,35.96,91.2,46.19,86.15,54.53,36.92,2.09,03-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Apr-2019 - 00:00,27.93,985.93,186.5,63.58,33.04,165.1,268.2,1.48,0.91,8.22,36.4,93.03,60.75,99.0,53.24,34.14,2.16,04-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Apr-2019 - 00:00,29.58,986.44,257.42,94.15,37.47,151.73,243.35,1.04,4.48,36.28,45.51,109.53,147.78,178.28,55.57,38.58,2.98,05-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Apr-2019 - 00:00,30.79,985.43,271.5,94.73,37.84,138.96,225.0,1.02,3.7,27.6,51.28,106.53,143.09,173.03,25.01,40.31,3.06,06-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Apr-2019 - 00:00,31.74,984.32,328.66,73.47,31.08,139.7,200.69,1.11,2.7,16.4,47.62,81.21,61.01,92.91,56.32,34.57,2.27,07-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Apr-2019 - 00:00,29.66,983.68,324.92,119.71,48.69,115.27,144.33,1.93,2.7,16.4,70.38,72.75,47.21,77.14,44.0,30.99,2.29,08-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
