from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
23-Mar-2019 - 00:00,32.29,1.96,18.77,25.19,22.76,0.72,72.12,41.18,134.83,0.35,2.25,25.13,3.75,78.14,40.71,742.0,0.0,105.96,24-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-Mar-2019 - 00:00,30.59,2.95,18.66,26.59,29.33,0.66,65.4,47.99,138.54,0.36,3.75,26.69,3.44,88.65,40.64,741.54,0.0,102.29,25-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-Mar-2019 - 00:00,42.34,4.0,25.77,31.16,41.25,0.89,49.59,65.05,167.33,0.49,4.56,25.19,3.46,77.35,45.71,741.72,0.0,84.61,26-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Mar-2019 - 00:00,48.17,7.42,31.65,32.91,31.82,0.87,52.0,73.58,179.42,0.62,5.81,25.11,3.24,71.05,45.02,741.89,0.0,105.51,27-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Mar-2019 - 00:00,64.1,14.49,45.88,32.17,29.33,0.96,57.83,71.48,183.54,0.68,6.67,26.28,2.55,88.68,42.23,742.0,0.0,96.99,28-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Mar-2019 - 00:00,92.6,32.96,76.05,41.24,41.2,1.66,63.11,110.01,275.54,1.1,11.25,27.82,1.28,100.68,45.26,741.67,0.0,99.69,29-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Mar-2019 - 00:00,80.17,21.57,60.19,55.6,49.8,1.5,44.12,146.08,349.0,1.39,14.74,29.58,1.33,93.35,47.94,741.28,0.0,93.31,30-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-Mar-2019 - 00:00,53.91,12.27,38.65,50.08,37.51,1.25,53.42,106.29,240.83,1.07,8.4,31.37,1.6,95.8,43.61,741.24,0.0,97.32,31-Mar-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
31-Mar-2019 - 00:00,29.77,2.45,17.83,29.32,28.28,0.66,75.28,45.62,183.25,0.34,2.75,30.61,4.64,74.82,36.69,741.2,0.0,113.28,01-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Apr-2019 - 00:00,33.54,2.3,19.71,27.64,29.89,0.69,84.35,51.84,178.58,0.4,3.33,29.18,3.84,97.05,36.4,741.25,0.0,115.46,02-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Apr-2019 - 00:00,65.41,11.36,44.03,32.77,51.27,1.15,56.35,93.43,235.62,0.81,7.0,28.47,1.54,100.62,39.88,741.35,0.0,102.23,03-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Apr-2019 - 00:00,84.25,22.35,62.98,34.55,31.59,1.42,66.34,92.41,255.0,0.92,6.96,29.83,1.65,80.02,38.2,741.28,0.0,111.86,04-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Apr-2019 - 00:00,70.06,10.91,46.13,47.59,46.42,1.41,73.67,134.99,293.88,1.38,12.61,31.17,1.37,66.44,41.44,741.33,0.0,99.37,05-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Apr-2019 - 00:00,78.64,18.05,56.51,53.08,45.04,1.86,61.21,146.46,335.33,1.37,10.12,32.48,1.52,86.34,42.46,741.3,0.0,101.76,06-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Apr-2019 - 00:00,53.09,4.92,32.24,46.22,40.36,1.29,61.99,101.75,345.88,1.0,4.96,34.08,1.66,90.01,38.74,741.24,0.0,93.84,07-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Apr-2019 - 00:00,31.34,3.53,19.54,63.78,30.56,1.35,40.34,121.99,374.75,0.91,4.82,30.96,3.04,110.24,48.52,741.0,0.09,81.67,08-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Apr-2019 - 00:00,40.39,4.87,25.45,42.88,26.25,0.77,52.77,85.86,318.25,0.51,2.25,29.49,2.06,103.09,45.64,741.15,0.0,104.5,09-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Apr-2019 - 00:00,62.45,7.75,39.52,42.0,36.63,1.12,59.87,95.98,243.36,1.07,4.09,30.84,1.43,90.73,43.35,741.02,0.0,109.66,10-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Apr-2019 - 00:00,79.62,21.48,59.81,47.29,36.73,1.51,62.1,111.81,283.55,1.09,16.38,33.2,1.61,92.28,41.18,741.3,0.0,111.77,11-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Apr-2019 - 00:00,47.19,5.71,29.75,45.08,38.26,1.08,68.85,89.53,240.7,0.83,5.25,34.04,1.7,109.51,38.68,741.26,0.0,108.17,12-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Apr-2019 - 00:00,47.42,4.37,28.79,39.58,43.8,0.98,61.82,72.85,256.01,0.71,5.05,32.68,2.77,95.39,38.72,741.25,0.0,100.84,13-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Apr-2019 - 00:00,41.52,3.59,25.01,39.08,35.22,1.09,57.69,64.25,218.56,0.62,9.54,33.13,3.37,109.89,37.58,741.31,0.0,116.8,14-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Apr-2019 - 00:00,34.43,3.77,21.38,30.78,40.02,0.74,71.05,52.53,203.78,0.39,4.42,34.61,3.87,110.17,34.31,741.32,0.0,117.54,15-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Apr-2019 - 00:00,44.03,8.97,30.71,26.42,27.52,0.97,64.1,50.41,211.82,0.42,3.74,35.68,2.96,80.84,33.21,741.2,0.0,120.47,16-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Apr-2019 - 00:00,29.26,3.75,18.61,30.59,20.78,0.81,52.31,58.5,164.29,0.27,2.3,27.31,4.66,114.22,47.43,741.3,0.01,53.5,17-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Apr-2019 - 00:00,15.1,1.58,9.32,27.3,18.02,0.62,61.53,21.8,51.39,0.16,0.73,23.86,3.82,116.28,52.67,741.54,0.0,87.22,18-Apr-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
