from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
11-Jun-2019 - 00:00,93.06,35.8,57.67,2.61,154.67,14.05,40.08,25.73,12-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Jun-2019 - 00:00,98.23,41.67,58.79,2.92,220.84,23.39,49.42,26.88,13-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jun-2019 - 00:00,99.67,46.53,59.71,3.44,258.08,31.02,57.05,27.81,14-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jun-2019 - 00:00,98.39,45.66,59.54,3.17,224.08,29.64,55.67,27.64,15-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Jun-2019 - 00:00,81.43,41.73,58.8,3.14,273.91,23.48,49.51,26.89,16-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jun-2019 - 00:00,89.27,46.85,59.77,3.75,259.63,31.53,57.55,27.87,17-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jun-2019 - 00:00,82.27,43.81,59.19,3.23,261.23,26.61,52.63,27.27,18-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Jun-2019 - 00:00,75.69,41.1,58.68,2.98,243.48,22.42,48.45,26.76,19-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Jun-2019 - 00:00,74.95,42.3,58.91,2.75,238.35,31.25,50.35,26.99,20-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Jun-2019 - 00:00,105.19,47.49,59.89,2.81,238.58,38.72,58.56,28.0,21-Jun-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
