from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
29-Mar-2019 - 00:00,,129.68,49.86,100.64,29.45,57.22,53.99,33.2,25.48,1.93,0.57,0.0,279.54,113.91,49.5,18.52,7.0,,,1.34,30-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
30-Mar-2019 - 00:00,,110.04,45.42,100.51,27.4,57.3,52.38,45.2,26.54,1.7,0.53,0.0,270.86,105.69,47.74,22.5,5.88,,,1.04,31-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
31-Mar-2019 - 00:00,,165.48,35.39,119.53,14.8,38.25,32.18,48.08,25.38,0.62,1.1,0.0,181.69,54.74,35.08,19.29,0.19,,,0.5,01-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
01-Apr-2019 - 00:00,,163.25,36.35,166.86,11.01,32.69,18.21,49.32,23.84,0.4,1.18,0.0,188.56,50.54,29.86,15.66,,,,0.22,02-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
03-Apr-2019 - 00:00,,154.7,48.25,6.33,16.45,41.77,30.35,40.67,26.62,1.06,0.54,0.0,424.67,88.66,28.32,13.51,3.35,,,1.94,04-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
04-Apr-2019 - 00:00,,165.5,41.46,84.32,14.65,39.26,31.51,69.54,29.72,1.66,0.58,0.0,306.83,122.71,27.23,19.48,8.21,,,1.84,05-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
05-Apr-2019 - 00:00,,162.14,39.52,83.97,15.58,38.23,32.79,50.07,30.94,1.75,0.53,0.0,311.8,120.61,27.45,19.45,7.52,,,2.94,06-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
06-Apr-2019 - 00:00,,168.89,35.92,78.1,11.56,31.48,25.99,63.47,31.54,1.19,0.55,0.0,345.07,104.93,24.03,18.28,6.16,,,2.64,07-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
07-Apr-2019 - 00:00,,146.71,51.29,68.69,13.49,28.21,25.75,55.03,30.12,1.6,0.52,0.0,437.28,161.95,24.3,15.2,8.89,,,2.4,08-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
08-Apr-2019 - 00:00,,126.71,47.52,81.21,12.54,30.59,26.3,58.65,28.75,0.72,0.53,0.0,301.38,76.78,24.38,12.21,3.98,,,2.02,09-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
09-Apr-2019 - 00:00,,125.43,46.94,85.05,20.11,34.81,34.2,53.28,29.13,1.43,0.55,0.0,289.41,121.83,27.51,14.42,8.68,,,2.1,10-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
10-Apr-2019 - 00:00,,196.55,38.1,86.67,13.02,27.29,24.62,46.67,31.37,1.15,0.5,0.0,258.56,99.35,23.26,13.61,5.4,,,3.75,11-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
11-Apr-2019 - 00:00,,181.63,32.61,86.23,10.29,27.97,22.92,45.54,31.79,0.71,0.49,0.0,221.98,72.26,22.4,15.3,3.95,,,3.34,12-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
12-Apr-2019 - 00:00,,142.95,33.7,76.22,48.9,30.65,54.27,70.58,30.76,0.6,0.51,0.0,241.6,55.42,37.6,16.1,3.78,,,1.82,13-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
13-Apr-2019 - 00:00,,179.7,37.87,93.41,,,0.0,38.8,28.09,0.25,0.61,0.0,188.42,26.45,,19.43,2.94,,,3.04,14-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
14-Apr-2019 - 00:00,,148.51,36.89,92.95,8.72,16.8,15.72,44.64,27.79,0.27,0.64,0.0,167.55,49.3,19.76,18.68,2.22,,,0.48,15-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
15-Apr-2019 - 00:00,,149.98,34.04,96.18,10.74,28.27,23.46,39.74,29.03,0.62,0.74,0.0,214.66,57.27,23.05,27.18,3.12,,,1.05,16-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
16-Apr-2019 - 00:00,,104.63,53.17,57.95,7.38,22.9,18.08,37.45,23.01,0.41,3.97,0.0,182.44,48.11,20.41,8.31,3.6,,,1.62,17-Apr-2019 - 00:00,"DTU, Delhi - CPCB"
