from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,to date,BP,station
28-Oct-2019 - 00:00,16.19,26.64,9.25,9.11,7.25,0.76,101.98,151.96,2.12,0.31,2.25,3.67,26.17,23.99,0.01,196.6,78.03,0.0,190.33,0.34,29-Oct-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Oct-2019 - 00:00,17.91,28.55,8.69,9.64,4.87,0.62,49.08,106.56,1.97,0.26,2.1,4.19,23.49,23.84,0.01,194.53,75.39,0.0,221.57,0.43,30-Oct-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Oct-2019 - 00:00,17.14,27.78,9.08,9.64,4.19,0.72,40.63,97.86,2.39,0.36,2.82,4.61,24.49,24.12,0.01,209.86,75.07,0.0,205.29,0.38,31-Oct-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
31-Oct-2019 - 00:00,17.68,29.12,9.2,10.47,4.5,0.82,41.35,101.61,2.31,0.37,2.29,4.69,26.26,24.26,0.01,197.67,75.83,0.0,216.83,0.37,01-Nov-2019 - 00:00,871.59,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Nov-2019 - 00:00,16.89,29.78,9.68,11.93,4.74,0.74,30.23,91.48,2.56,0.42,2.18,4.27,24.31,24.53,0.01,214.12,75.65,0.0,186.55,0.65,02-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Nov-2019 - 00:00,21.52,34.05,7.51,11.57,4.53,0.71,37.54,116.26,2.68,0.33,2.38,4.44,25.18,24.85,0.01,208.45,72.74,0.0,221.74,0.32,03-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Nov-2019 - 00:00,12.0,17.35,6.6,4.35,5.62,0.61,33.8,107.4,2.34,0.24,2.94,4.69,27.57,24.18,0.01,199.39,74.48,0.0,189.22,0.44,04-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Nov-2019 - 00:00,11.31,19.41,9.88,7.26,4.37,0.45,23.4,69.02,1.49,0.16,1.99,3.73,29.23,24.58,0.01,197.1,69.2,0.0,193.73,0.51,05-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Nov-2019 - 00:00,11.58,21.45,10.67,9.02,4.52,0.69,32.91,92.81,2.28,0.28,2.22,4.38,31.34,24.0,0.01,180.96,74.47,0.0,210.85,0.7,06-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Nov-2019 - 00:00,11.35,21.68,11.13,9.3,4.32,0.73,44.2,127.47,2.68,0.27,2.48,4.59,32.19,23.44,0.01,181.65,76.14,0.0,163.43,0.53,07-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Nov-2019 - 00:00,18.3,33.56,8.83,14.26,4.52,0.81,38.76,130.36,2.96,0.32,3.25,5.45,26.87,23.72,0.01,190.7,75.67,0.0,186.33,0.49,08-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Nov-2019 - 00:00,21.93,35.89,7.04,13.39,4.37,0.7,28.81,91.46,2.54,0.28,3.33,5.71,23.32,24.18,0.01,154.4,72.52,0.0,125.9,0.51,09-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Nov-2019 - 00:00,25.89,40.06,6.18,13.2,5.54,0.5,33.63,95.58,2.36,0.28,2.87,5.86,21.69,23.89,0.01,141.78,73.03,0.0,102.78,0.67,10-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Nov-2019 - 00:00,22.69,34.72,6.52,11.09,5.83,0.41,27.94,90.75,1.41,0.25,1.94,4.52,26.27,23.36,0.01,169.23,75.45,0.0,148.75,0.6,11-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Nov-2019 - 00:00,14.35,24.94,8.69,10.36,4.87,0.58,28.4,89.48,4.14,2.18,0.33,8.58,24.87,23.56,0.01,178.09,78.56,0.0,230.29,0.28,12-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Nov-2019 - 00:00,15.41,29.82,9.34,13.57,4.57,0.87,46.44,133.89,4.5,1.64,0.46,8.4,32.84,23.81,0.01,150.67,80.25,0.0,170.64,0.69,13-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Nov-2019 - 00:00,22.8,39.97,6.48,16.03,4.1,0.79,59.62,160.06,4.5,1.8,0.49,6.24,28.93,23.7,0.01,169.21,80.93,0.0,200.8,0.34,14-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Nov-2019 - 00:00,18.75,32.71,7.48,13.45,4.26,0.68,43.22,137.44,2.87,1.41,0.3,4.99,22.24,24.43,0.0,181.64,74.99,0.0,208.52,0.38,15-Nov-2019 - 00:00,997.4,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Nov-2019 - 00:00,26.22,44.07,9.08,16.94,4.55,0.74,43.21,139.24,3.75,1.93,0.65,6.68,28.22,24.3,0.01,178.32,75.96,0.0,203.8,0.4,16-Nov-2019 - 00:00,908.7,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Nov-2019 - 00:00,17.64,28.48,12.59,9.86,4.46,0.58,48.3,108.98,2.52,0.75,0.21,3.44,30.17,23.77,0.01,155.59,79.59,0.0,204.4,0.35,17-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Nov-2019 - 00:00,12.36,20.52,14.59,7.61,4.77,0.67,78.57,166.34,3.08,0.47,0.15,3.21,31.16,22.82,0.01,142.76,80.88,0.0,212.55,0.32,18-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Nov-2019 - 00:00,16.42,26.47,13.49,9.08,4.68,0.71,85.45,195.91,3.58,0.76,0.21,4.37,31.55,22.96,0.01,126.23,81.1,0.0,203.35,0.28,19-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Nov-2019 - 00:00,10.95,22.7,16.11,10.82,4.21,1.06,105.55,223.1,5.47,1.77,0.26,6.14,28.44,22.01,0.01,97.43,86.94,0.0,172.16,0.31,20-Nov-2019 - 00:00,742.1,"Ward-32 Bapupara, Siliguri - WBPCB"
