from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
16-Aug-2019 - 00:00,11.42,47.4,7.72,1.7,5.59,30.47,5.07,0.93,32.81,0.63,3.05,0.57,74.36,29.47,80.22,740.35,116.49,,17-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
17-Aug-2019 - 00:00,9.27,23.85,12.76,4.2,10.3,28.4,4.07,0.93,16.82,0.32,4.75,0.74,99.38,27.31,91.72,740.0,52.58,2.57,18-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
18-Aug-2019 - 00:00,19.78,28.77,10.08,1.9,6.78,32.17,4.84,0.83,18.93,0.83,7.2,0.35,226.56,27.64,88.04,740.88,83.44,6.17,19-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
19-Aug-2019 - 00:00,33.56,86.5,19.25,4.26,13.69,40.32,6.49,1.06,40.16,0.52,7.45,0.31,190.22,29.9,81.85,741.0,136.47,,20-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
20-Aug-2019 - 00:00,33.98,94.23,15.82,5.66,13.12,51.74,2.67,0.98,40.45,0.47,7.39,0.39,257.24,30.34,78.75,741.0,135.43,,21-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
21-Aug-2019 - 00:00,45.05,140.23,18.93,2.69,12.25,58.54,6.5,1.29,46.78,0.65,7.66,0.36,269.81,31.39,74.74,741.0,124.94,,22-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
22-Aug-2019 - 00:00,55.95,161.49,29.08,11.99,25.31,63.54,5.35,1.59,35.16,1.3,10.64,0.31,218.11,30.07,77.24,741.0,94.88,2.0,23-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
23-Aug-2019 - 00:00,61.78,191.57,34.9,38.03,49.57,71.29,6.39,1.58,45.32,1.22,17.37,0.31,220.59,31.54,71.98,741.0,120.33,,24-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
24-Aug-2019 - 00:00,71.68,200.33,32.3,23.94,36.74,83.0,6.0,1.37,36.8,1.14,12.09,0.3,153.07,30.29,80.23,741.0,64.11,1.0,25-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
25-Aug-2019 - 00:00,55.82,121.8,27.04,5.31,18.86,58.04,7.51,1.4,22.87,0.61,6.96,0.3,97.25,28.16,87.14,741.0,70.17,1.5,26-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
26-Aug-2019 - 00:00,20.97,80.06,20.64,4.49,14.63,44.87,10.93,0.92,30.01,0.38,5.26,0.3,85.46,30.27,78.28,741.0,136.56,,27-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
27-Aug-2019 - 00:00,38.56,116.43,21.1,8.59,18.3,49.62,8.33,1.23,34.13,0.53,4.41,0.3,89.72,32.25,71.93,741.0,127.34,,28-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
28-Aug-2019 - 00:00,48.74,140.35,27.93,7.04,20.68,50.42,11.25,1.31,36.67,0.56,6.31,0.3,84.52,33.1,70.08,741.0,135.09,,29-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
29-Aug-2019 - 00:00,41.1,134.0,24.07,4.05,16.19,48.49,9.3,1.2,42.26,0.66,5.78,0.3,80.32,32.7,71.3,741.0,131.09,,30-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
30-Aug-2019 - 00:00,39.72,112.2,18.05,2.36,11.59,44.24,12.39,1.23,58.87,0.76,4.81,0.3,96.11,32.29,72.64,740.91,121.22,,31-Aug-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
31-Aug-2019 - 00:00,56.66,142.2,28.06,1.49,16.13,45.61,8.58,1.34,97.39,1.03,5.67,0.3,149.92,32.62,71.99,740.44,81.52,,01-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
01-Sep-2019 - 00:00,29.7,74.15,19.56,2.64,12.65,47.38,9.55,1.03,53.94,0.55,5.16,0.3,86.5,29.68,81.53,740.85,92.12,2.0,02-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
02-Sep-2019 - 00:00,40.88,95.19,19.64,2.18,12.21,36.02,10.37,1.12,50.71,0.44,5.13,0.3,144.48,31.32,77.63,741.0,124.6,,03-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
03-Sep-2019 - 00:00,63.89,149.38,23.93,1.14,13.65,43.69,10.79,1.18,60.73,0.57,5.86,0.3,235.86,32.65,72.49,740.81,91.9,,04-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
04-Sep-2019 - 00:00,59.8,136.89,22.87,2.64,14.41,44.68,9.23,1.36,51.86,0.82,5.83,0.38,116.67,31.09,81.51,740.64,90.79,,05-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
05-Sep-2019 - 00:00,28.91,95.09,18.71,2.98,12.46,44.36,7.7,1.18,28.28,0.4,4.88,0.65,73.66,30.82,81.24,740.64,107.17,,06-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
06-Sep-2019 - 00:00,27.84,90.94,21.66,2.4,13.4,35.51,10.41,1.08,36.87,0.58,5.12,0.63,99.57,31.64,76.6,740.4,106.18,,07-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
07-Sep-2019 - 00:00,35.55,120.84,25.59,5.09,17.84,40.31,9.67,1.28,49.38,0.91,7.78,1.74,107.39,30.77,79.69,740.56,75.7,,08-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
08-Sep-2019 - 00:00,23.91,71.18,11.98,2.19,8.24,34.76,7.12,1.04,37.61,0.45,3.52,2.19,128.84,31.15,77.39,740.99,104.85,,09-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
09-Sep-2019 - 00:00,50.2,131.96,16.85,1.61,10.36,41.96,5.92,1.14,59.09,0.41,6.13,2.2,229.6,32.51,70.75,740.77,127.01,,10-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
10-Sep-2019 - 00:00,56.91,151.34,16.92,1.79,10.58,38.82,11.98,1.24,74.81,0.44,4.42,1.87,169.49,33.39,63.59,740.7,131.41,,11-Sep-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
