from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
10-Aug-2019 - 00:00,19.95,285.18,83.08,28.53,1.51,175.27,0.0,91.38,0.4,50.8,1.28,4.58,1.66,11.56,6.45,14.5,17.92,7.05,11-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Aug-2019 - 00:00,30.2,291.76,83.84,28.82,1.35,240.34,0.0,119.46,0.41,51.39,1.25,4.11,1.7,11.7,7.87,15.04,18.96,7.39,12-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Aug-2019 - 00:00,36.36,297.16,84.65,28.4,1.67,247.05,0.0,153.77,0.41,50.49,1.22,3.78,1.49,12.17,7.74,15.08,19.27,8.14,13-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Aug-2019 - 00:00,43.77,353.96,94.29,25.99,1.69,253.52,0.0,102.59,0.41,7.11,1.39,4.09,1.73,12.06,8.12,14.98,19.41,7.85,14-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Aug-2019 - 00:00,32.67,288.72,82.35,28.56,2.01,252.37,0.0,86.9,0.41,52.57,0.78,2.77,1.07,11.17,7.63,14.97,18.42,8.56,15-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Aug-2019 - 00:00,11.73,214.45,66.11,31.81,2.71,250.51,0.0,63.51,0.41,64.89,0.72,2.02,1.03,11.54,5.71,13.42,16.33,8.11,16-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Aug-2019 - 00:00,16.16,250.62,74.83,30.57,1.47,236.34,0.0,59.27,0.41,54.85,0.9,3.54,1.23,11.68,8.11,14.99,19.09,7.66,17-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Aug-2019 - 00:00,25.97,277.39,80.55,29.09,1.23,235.8,0.0,81.29,0.41,49.76,1.19,3.43,1.46,11.85,7.6,15.02,18.96,7.59,18-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Aug-2019 - 00:00,34.51,302.72,85.47,28.88,1.3,213.03,0.0,98.57,0.41,46.4,1.42,3.64,1.62,11.77,7.89,14.9,19.04,8.26,19-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Aug-2019 - 00:00,27.76,295.55,83.65,28.6,1.42,241.58,0.0,74.47,0.41,52.94,1.24,3.43,1.47,11.64,8.1,14.99,19.05,8.76,20-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Aug-2019 - 00:00,21.99,294.36,84.6,28.43,1.94,251.55,0.0,60.06,0.41,63.0,0.93,2.94,1.11,12.16,7.64,14.96,19.14,7.04,21-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Aug-2019 - 00:00,15.33,333.84,87.65,27.02,1.48,225.66,0.0,63.64,0.39,49.19,1.42,3.93,1.5,11.59,7.96,14.97,18.46,9.37,22-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Aug-2019 - 00:00,30.58,315.92,86.87,26.98,1.6,234.14,0.0,59.65,0.42,61.83,1.16,3.26,1.43,11.63,8.06,15.03,19.04,8.07,23-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Aug-2019 - 00:00,25.75,336.8,87.89,26.67,1.49,255.34,0.0,54.12,0.41,49.33,1.34,3.71,1.74,11.82,8.37,15.03,19.34,7.28,24-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Aug-2019 - 00:00,,303.41,87.55,27.41,1.86,248.32,0.0,,0.41,57.47,1.25,3.06,1.55,11.72,7.98,15.05,19.05,7.79,25-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Aug-2019 - 00:00,6.63,324.35,92.66,26.46,1.96,236.76,0.0,33.09,0.41,54.48,1.18,3.12,1.46,12.01,7.85,15.0,19.17,9.14,26-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Aug-2019 - 00:00,18.51,326.06,95.27,25.74,1.98,234.6,0.0,50.45,0.41,51.17,1.23,3.43,1.42,11.83,7.67,15.02,18.99,7.66,27-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Aug-2019 - 00:00,16.04,310.08,90.52,26.39,1.75,244.34,0.0,44.5,0.4,52.99,1.14,2.99,1.48,11.86,7.92,15.0,19.13,8.11,28-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Aug-2019 - 00:00,24.05,304.86,83.23,27.65,0.9,198.01,0.0,52.65,0.42,50.41,1.94,3.89,1.82,11.67,7.92,15.01,18.99,7.75,29-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Aug-2019 - 00:00,26.04,302.64,85.42,28.67,0.86,201.08,0.0,65.79,0.42,53.0,1.35,3.74,1.74,11.74,7.6,15.04,18.87,8.07,30-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Aug-2019 - 00:00,21.92,319.21,88.78,28.23,1.29,222.31,0.0,61.58,0.42,47.37,1.41,3.43,1.69,11.95,7.69,15.22,19.09,7.93,31-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Aug-2019 - 00:00,16.2,344.2,94.03,26.77,1.25,229.8,0.0,31.46,0.41,47.76,1.21,4.03,1.77,11.71,7.8,15.06,18.96,6.81,01-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Sep-2019 - 00:00,11.4,318.14,89.33,27.76,1.45,230.55,0.0,23.31,0.41,49.12,1.09,3.53,1.66,12.05,7.88,15.0,19.28,7.66,02-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Sep-2019 - 00:00,9.68,316.52,91.13,27.11,1.89,241.48,0.0,36.7,0.41,42.88,1.13,3.51,1.54,11.31,7.82,14.87,18.64,7.74,03-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Sep-2019 - 00:00,17.7,343.64,94.24,26.29,1.35,240.51,0.0,38.6,0.42,43.03,1.32,3.65,1.66,11.7,7.76,15.02,18.93,7.5,04-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Sep-2019 - 00:00,17.91,360.99,98.62,26.07,1.58,234.64,0.0,31.17,0.42,38.65,1.32,4.08,1.96,11.66,7.67,14.9,18.85,7.81,05-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Sep-2019 - 00:00,9.76,327.67,89.69,27.81,1.51,227.53,0.0,35.46,0.42,45.86,1.22,3.75,1.73,12.01,7.66,15.03,19.12,7.09,06-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Sep-2019 - 00:00,15.98,332.38,94.89,26.56,1.84,231.41,0.0,28.17,0.41,41.64,1.12,3.5,1.54,11.53,7.7,14.96,18.72,8.02,07-Sep-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
