from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
25-Mar-2019 - 00:00,23.59,988.84,137.81,55.2,55.16,101.48,209.4,1.37,4.5,12.98,25.25,48.4,31.24,6.77,18.41,0.89,33.97,26-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Mar-2019 - 00:00,23.66,990.12,148.85,61.92,52.56,119.06,267.95,1.47,5.87,21.91,24.71,60.93,48.45,19.63,16.4,0.98,37.95,27-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Mar-2019 - 00:00,24.54,990.79,133.43,59.6,49.72,106.5,248.82,1.04,7.36,23.45,24.41,76.09,105.08,79.24,17.29,1.46,42.07,28-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Mar-2019 - 00:00,26.51,988.73,192.02,90.7,51.6,98.5,236.09,0.63,10.74,50.83,27.11,86.37,146.05,114.37,22.79,2.01,46.71,29-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Mar-2019 - 00:00,28.5,985.7,203.55,80.48,56.02,98.82,198.31,0.76,10.02,48.06,31.87,84.31,145.1,122.76,16.69,2.16,35.66,30-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Mar-2019 - 00:00,29.87,984.68,213.74,84.04,53.15,99.08,174.63,0.84,9.03,32.66,38.2,80.55,116.91,90.77,20.08,1.86,45.68,31-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Mar-2019 - 00:00,28.85,985.41,160.55,49.42,37.92,115.18,260.9,1.72,4.46,15.91,31.19,57.3,48.77,21.94,17.77,0.87,48.67,01-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Apr-2019 - 00:00,27.5,985.68,160.46,58.97,35.14,114.62,269.3,1.63,4.28,12.35,24.53,52.45,32.33,4.54,21.31,0.74,60.87,02-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Apr-2019 - 00:00,27.27,986.51,190.01,73.38,38.96,112.96,226.41,0.81,6.71,26.3,23.95,78.98,80.93,47.77,22.23,1.1,56.27,03-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Apr-2019 - 00:00,28.1,985.46,165.44,63.39,38.81,116.5,221.62,0.92,6.54,25.35,25.04,75.57,81.9,51.18,18.16,1.37,52.29,04-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Apr-2019 - 00:00,29.54,986.01,247.28,96.79,46.24,107.75,189.94,0.81,12.5,56.03,31.51,91.15,173.51,153.46,21.29,2.43,58.35,05-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Apr-2019 - 00:00,30.49,984.96,244.55,96.59,46.02,96.41,180.63,0.87,11.13,52.36,34.87,90.7,176.35,157.11,27.0,2.39,38.67,06-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Apr-2019 - 00:00,30.75,985.13,321.1,99.74,40.61,133.94,183.15,0.85,7.46,25.39,33.64,58.72,76.72,55.86,25.23,1.21,57.87,07-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Apr-2019 - 00:00,30.65,983.7,242.3,120.2,54.9,116.04,123.98,1.43,4.82,10.16,60.36,36.18,20.9,2.04,15.17,1.01,44.17,08-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Apr-2019 - 00:00,27.9,984.09,285.21,73.05,52.64,111.67,117.43,0.98,4.0,14.12,41.49,61.54,51.06,22.44,14.53,1.02,40.88,09-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Apr-2019 - 00:00,28.94,983.8,234.07,73.18,49.48,121.93,99.92,0.81,7.66,29.57,38.25,75.54,110.73,81.66,18.6,1.95,46.8,10-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Apr-2019 - 00:00,31.34,984.93,207.25,72.68,43.95,123.82,188.89,0.78,10.91,40.64,38.39,73.34,126.26,107.03,15.99,1.96,50.42,11-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Apr-2019 - 00:00,32.4,984.63,172.96,58.31,34.64,119.84,151.55,0.79,6.5,24.04,31.06,59.04,46.57,18.57,18.79,1.01,47.04,12-Apr-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
