from date,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,PM2.5,PM10,RH,WD,WS,SR,RF,to date,station
01-Apr-2019 - 00:00,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,02-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Apr-2019 - 00:00,38.86,29.11,6.78,49.49,11.7,0.72,65.29,2.47,0.3,0.73,0.73,0.44,48.31,195.01,33.23,9.38,1.31,11.15,0.0,03-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Apr-2019 - 00:00,14.9,15.22,5.07,36.81,13.58,0.47,98.83,2.61,0.32,1.38,4.06,1.32,51.75,163.48,40.57,13.37,1.93,525.11,0.0,04-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Apr-2019 - 00:00,13.36,14.16,4.75,32.47,19.43,0.37,95.25,2.29,0.27,0.8,2.67,0.98,59.03,181.85,47.2,14.35,2.09,542.98,0.0,05-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Apr-2019 - 00:00,15.45,15.54,5.1,29.91,16.17,0.38,92.37,2.41,0.34,0.81,2.31,1.41,50.18,190.26,46.39,13.04,1.84,505.08,0.0,06-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Apr-2019 - 00:00,11.3,13.13,4.8,22.21,8.75,0.32,63.53,1.79,0.71,0.77,3.41,2.01,60.45,309.06,49.59,14.74,2.09,434.52,0.0,07-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Apr-2019 - 00:00,18.44,18.43,7.17,50.77,14.65,0.32,87.4,2.15,1.14,1.25,2.69,1.66,181.66,218.4,42.11,17.4,2.46,430.33,0.0,08-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Apr-2019 - 00:00,5.93,13.74,9.12,42.59,32.82,0.39,69.13,1.61,0.09,0.38,0.53,0.29,208.26,303.68,36.96,18.7,2.68,591.53,0.0,09-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Apr-2019 - 00:00,2.21,3.6,4.13,27.59,14.74,0.42,98.47,1.96,0.3,0.57,1.86,0.94,45.43,209.68,32.4,15.6,2.22,637.67,0.0,10-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Apr-2019 - 00:00,0.66,1.3,3.84,14.46,9.73,0.39,80.41,2.12,0.3,1.55,32.1,0.91,64.42,228.14,45.69,17.36,2.51,478.75,0.0,11-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
