from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
25-Apr-2019 - 00:00,,,,,27.68,37.42,54.03,,,,13.76,4.66,27.65,4.0,26-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Apr-2019 - 00:00,,,,,27.9,47.17,40.5,,,,17.29,6.11,37.8,5.28,27-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Apr-2019 - 00:00,,,,,25.74,42.53,37.43,,,,7.32,3.84,26.2,4.98,28-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Apr-2019 - 00:00,,,,,26.07,42.14,36.3,,,,9.16,3.6,29.43,5.3,29-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Apr-2019 - 00:00,,,,,27.39,53.63,38.47,,,,13.56,4.88,34.74,4.15,30-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-Apr-2019 - 00:00,,,,,28.29,49.98,49.86,,,,15.15,4.21,30.1,4.51,01-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-May-2019 - 00:00,,,,,29.53,51.04,59.03,,,,19.78,5.41,29.39,4.76,02-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-May-2019 - 00:00,,,,,28.51,32.99,52.93,,,,9.76,3.47,22.08,3.5,03-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-May-2019 - 00:00,,,,,29.72,43.93,48.88,,,,11.27,4.49,26.91,4.76,04-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-May-2019 - 00:00,,,,,28.11,59.57,45.94,,,,5.79,4.24,37.68,6.85,05-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-May-2019 - 00:00,,,,,33.68,69.76,47.89,,,,8.16,5.26,54.7,7.9,06-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-May-2019 - 00:00,,,,,34.74,74.65,43.68,,,,8.24,6.54,65.41,9.05,07-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-May-2019 - 00:00,,,,,38.76,75.05,36.82,,,,12.42,7.14,72.14,9.57,08-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-May-2019 - 00:00,,,,,42.44,68.17,38.2,,,,7.79,7.73,79.87,10.51,09-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-May-2019 - 00:00,,,,,32.14,66.74,38.25,,,,7.47,6.11,70.78,8.01,10-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-May-2019 - 00:00,,,,,27.87,39.27,42.28,,,,4.95,4.23,56.35,6.91,11-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-May-2019 - 00:00,,,,,29.29,42.26,49.49,,,,9.48,4.23,56.8,5.35,12-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-May-2019 - 00:00,,,,,29.55,43.26,45.16,,,,6.88,3.99,47.56,5.35,13-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-May-2019 - 00:00,,,,,31.25,51.97,52.36,,,,18.78,4.5,63.09,5.3,14-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-May-2019 - 00:00,,,,,29.63,36.94,52.37,,,,6.25,3.8,29.33,3.16,15-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-May-2019 - 00:00,,,,,32.31,63.68,96.54,,,,17.83,4.93,38.36,6.13,16-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-May-2019 - 00:00,,,,,28.08,58.81,110.56,,,,13.78,5.61,37.16,4.76,17-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-May-2019 - 00:00,,,,,26.85,53.08,41.7,,,,5.67,3.91,31.74,5.12,18-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-May-2019 - 00:00,,,,,21.75,42.18,47.32,,,,2.41,3.84,22.51,5.92,19-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-May-2019 - 00:00,,,,,21.89,60.46,49.59,,,,7.42,4.65,25.72,7.02,20-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-May-2019 - 00:00,,,,,24.15,70.13,42.36,,,,7.99,5.74,35.71,7.04,21-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-May-2019 - 00:00,,,,,20.57,57.19,41.9,,,,7.68,4.89,25.18,5.99,22-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-May-2019 - 00:00,,,,,26.23,73.0,29.0,,,,5.73,6.46,35.93,8.35,23-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-May-2019 - 00:00,,,,,27.91,63.35,44.49,,,,9.28,6.06,35.62,7.26,24-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-May-2019 - 00:00,,,,,22.07,46.2,35.92,,,,5.93,4.32,32.74,5.86,25-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-May-2019 - 00:00,,,,,19.1,41.66,42.78,,,,3.92,3.96,24.55,6.04,26-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-May-2019 - 00:00,,,,,20.18,37.56,46.82,,,,6.38,3.78,27.86,6.03,27-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-May-2019 - 00:00,,,,,21.31,52.85,42.72,,,,7.4,4.64,29.08,7.55,28-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-May-2019 - 00:00,,,,,23.22,73.01,35.09,,,,6.78,5.53,35.71,9.4,29-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-May-2019 - 00:00,,,,,24.68,66.83,40.19,,,,8.88,6.68,44.94,9.14,30-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-May-2019 - 00:00,,,,,35.76,78.08,34.91,,,,8.84,8.89,60.08,12.59,31-May-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
31-May-2019 - 00:00,,,,,28.28,62.71,40.02,,,,7.8,5.23,36.56,9.51,01-Jun-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Jun-2019 - 00:00,,,,,29.68,55.59,52.16,,,,14.72,6.05,43.89,7.81,02-Jun-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Jun-2019 - 00:00,,,,,22.05,31.55,56.09,,,,9.11,3.75,23.04,6.19,03-Jun-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Jun-2019 - 00:00,,,,,22.38,28.39,49.89,,,,3.55,3.08,21.14,5.52,04-Jun-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Jun-2019 - 00:00,,,,,22.84,37.61,53.69,,,,6.54,3.47,25.68,5.61,05-Jun-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Jun-2019 - 00:00,,,,,24.57,46.14,52.48,,,,5.71,4.35,29.39,7.42,06-Jun-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
