from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
31-Mar-2019 - 00:00,29.49,986.52,127.15,46.12,30.64,192.8,312.52,1.15,1.1,2.5,51.62,2.3,15.69,13.27,0.73,33.58,6.43,01-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
01-Apr-2019 - 00:00,27.86,986.75,131.77,49.82,30.58,191.79,301.25,1.32,0.95,1.83,49.08,2.61,17.75,15.14,0.66,34.72,5.82,02-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
02-Apr-2019 - 00:00,28.25,987.5,180.04,77.34,31.58,171.04,261.46,0.86,1.51,6.41,54.83,12.74,35.0,22.27,1.0,35.81,7.34,03-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
03-Apr-2019 - 00:00,29.01,986.44,153.67,67.59,30.83,183.31,242.05,1.06,1.49,4.73,55.26,7.35,27.15,19.81,1.1,34.79,6.98,04-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
04-Apr-2019 - 00:00,30.6,986.98,210.6,119.44,34.9,164.08,171.42,0.81,2.49,6.31,68.03,15.29,36.92,21.66,1.44,48.01,14.63,05-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
05-Apr-2019 - 00:00,31.48,985.92,207.9,105.59,36.17,153.03,207.41,0.85,2.37,7.38,72.54,41.81,65.19,23.38,1.73,47.71,10.63,06-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
06-Apr-2019 - 00:00,32.58,984.85,231.65,85.34,30.65,148.81,175.39,1.06,1.7,5.35,65.99,8.03,24.59,16.73,1.15,36.06,9.56,07-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
07-Apr-2019 - 00:00,30.14,984.22,252.34,119.23,51.36,131.62,148.28,1.75,1.63,3.97,93.06,5.65,18.54,12.99,1.14,28.89,6.05,08-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
08-Apr-2019 - 00:00,28.65,985.08,204.91,67.09,43.61,168.14,138.4,1.26,0.89,3.62,76.42,5.71,20.06,14.36,0.93,34.1,5.94,09-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
09-Apr-2019 - 00:00,29.99,984.79,183.98,73.78,38.05,177.87,118.12,1.08,1.75,5.75,66.92,4.62,20.85,16.26,1.13,46.15,9.82,10-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
10-Apr-2019 - 00:00,32.05,985.93,207.72,86.67,35.22,185.32,227.85,0.84,2.36,6.83,69.46,24.0,41.69,17.71,1.47,47.28,8.99,11-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
11-Apr-2019 - 00:00,33.11,985.64,179.4,56.14,28.55,178.79,207.78,1.04,1.34,3.74,60.66,4.94,18.76,13.82,0.89,34.67,6.82,12-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
