from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
20-Mar-2019 - 00:00,0.84,37.51,10.77,2.63,13.39,4.59,96.65,0.26,2.34,219.77,24.28,247.86,0.0,,2.31,0.0,0.0,21-Mar-2019 - 00:00,981.52,"Velachery Res. Area, Chennai - CPCB"
21-Mar-2019 - 00:00,0.85,34.72,10.26,2.51,12.75,4.33,82.12,0.24,2.0,210.42,28.88,267.14,0.0,,0.12,0.0,0.0,22-Mar-2019 - 00:00,977.92,"Velachery Res. Area, Chennai - CPCB"
22-Mar-2019 - 00:00,0.88,37.71,9.64,2.57,12.21,4.5,43.67,0.24,2.02,206.09,30.13,247.36,0.0,,0.0,0.0,0.0,23-Mar-2019 - 00:00,978.01,"Velachery Res. Area, Chennai - CPCB"
23-Mar-2019 - 00:00,0.87,27.03,8.79,2.51,11.28,4.54,41.6,0.25,2.24,212.28,32.65,288.67,0.0,,1.19,0.0,0.0,24-Mar-2019 - 00:00,980.06,"Velachery Res. Area, Chennai - CPCB"
24-Mar-2019 - 00:00,0.84,5.12,7.94,2.23,10.17,4.58,41.74,0.27,2.42,216.27,20.41,285.93,0.0,,0.0,0.0,0.0,25-Mar-2019 - 00:00,982.36,"Velachery Res. Area, Chennai - CPCB"
25-Mar-2019 - 00:00,0.87,37.4,8.21,2.61,10.81,4.94,42.28,0.2,1.51,189.96,33.04,274.5,0.0,,0.64,0.24,0.1,26-Mar-2019 - 00:00,972.21,"Velachery Res. Area, Chennai - CPCB"
26-Mar-2019 - 00:00,0.84,59.41,9.03,2.46,11.49,4.07,37.59,0.23,1.96,205.68,28.91,275.18,0.0,,0.0,0.0,0.0,27-Mar-2019 - 00:00,977.05,"Velachery Res. Area, Chennai - CPCB"
27-Mar-2019 - 00:00,0.89,58.78,9.24,2.56,11.8,3.8,38.19,0.23,1.87,215.47,29.44,286.4,0.0,,0.0,0.0,0.0,28-Mar-2019 - 00:00,976.5,"Velachery Res. Area, Chennai - CPCB"
28-Mar-2019 - 00:00,0.85,59.12,10.73,2.57,13.3,4.44,38.67,0.23,1.91,217.32,28.56,273.63,0.0,,0.22,0.0,1.38,29-Mar-2019 - 00:00,977.0,"Velachery Res. Area, Chennai - CPCB"
29-Mar-2019 - 00:00,0.85,59.44,10.33,2.66,12.98,4.6,42.12,0.25,2.21,214.98,38.4,278.52,0.0,,0.0,0.24,0.0,30-Mar-2019 - 00:00,979.66,"Velachery Res. Area, Chennai - CPCB"
30-Mar-2019 - 00:00,0.84,45.32,9.93,2.63,12.56,3.76,39.53,0.27,2.46,216.68,24.95,269.28,0.0,,0.0,0.0,0.0,31-Mar-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
31-Mar-2019 - 00:00,0.84,17.97,8.33,2.19,10.47,4.35,43.06,0.27,2.52,224.64,51.47,310.66,0.0,,0.0,0.0,0.0,01-Apr-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-Apr-2019 - 00:00,0.87,16.6,9.8,2.42,12.11,4.6,44.19,0.28,2.56,211.24,69.88,314.08,0.0,,0.0,0.0,0.0,02-Apr-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Apr-2019 - 00:00,0.87,16.21,8.4,2.15,10.55,5.08,43.47,0.28,2.57,213.94,62.87,248.06,0.0,,0.0,0.24,0.0,03-Apr-2019 - 00:00,984.1,"Velachery Res. Area, Chennai - CPCB"
03-Apr-2019 - 00:00,0.86,14.94,10.69,2.21,12.9,5.39,41.72,0.25,2.27,209.52,70.59,263.75,0.0,,0.0,0.0,0.0,04-Apr-2019 - 00:00,980.46,"Velachery Res. Area, Chennai - CPCB"
04-Apr-2019 - 00:00,0.83,14.67,10.82,2.53,13.35,5.89,41.84,0.26,2.27,219.71,65.62,291.94,0.0,,0.0,2.09,0.0,05-Apr-2019 - 00:00,980.97,"Velachery Res. Area, Chennai - CPCB"
05-Apr-2019 - 00:00,0.85,13.99,9.14,2.38,11.52,5.11,45.36,0.25,2.13,217.6,70.22,270.14,0.0,,0.0,0.21,0.0,06-Apr-2019 - 00:00,979.24,"Velachery Res. Area, Chennai - CPCB"
06-Apr-2019 - 00:00,0.87,14.23,10.81,2.36,13.17,5.01,41.2,0.25,2.22,217.82,69.91,270.93,0.0,,0.0,0.78,0.0,07-Apr-2019 - 00:00,979.89,"Velachery Res. Area, Chennai - CPCB"
07-Apr-2019 - 00:00,0.9,14.88,9.48,2.25,11.74,4.5,38.97,0.27,2.4,214.71,72.89,270.61,0.0,,0.0,0.52,0.0,08-Apr-2019 - 00:00,982.64,"Velachery Res. Area, Chennai - CPCB"
08-Apr-2019 - 00:00,0.81,14.96,8.68,2.32,10.99,5.18,42.94,0.28,2.62,216.53,73.71,263.15,0.0,,0.0,0.11,0.0,09-Apr-2019 - 00:00,984.8,"Velachery Res. Area, Chennai - CPCB"
09-Apr-2019 - 00:00,0.91,15.49,10.43,2.26,12.68,5.31,44.98,0.28,2.55,208.43,62.56,250.15,0.0,,0.0,0.0,0.0,10-Apr-2019 - 00:00,983.89,"Velachery Res. Area, Chennai - CPCB"
10-Apr-2019 - 00:00,0.94,15.38,13.4,2.19,15.58,4.77,45.05,0.26,2.38,209.44,41.91,254.07,0.0,,6.68,0.0,0.54,11-Apr-2019 - 00:00,981.79,"Velachery Res. Area, Chennai - CPCB"
11-Apr-2019 - 00:00,0.84,15.55,7.94,2.26,10.19,4.49,44.34,0.26,2.31,218.34,39.65,259.64,0.0,,6.67,0.0,1.48,12-Apr-2019 - 00:00,980.93,"Velachery Res. Area, Chennai - CPCB"
12-Apr-2019 - 00:00,0.83,15.14,7.67,2.16,9.82,4.28,44.97,0.26,2.39,216.39,40.75,282.51,0.0,,7.43,0.0,0.55,13-Apr-2019 - 00:00,981.73,"Velachery Res. Area, Chennai - CPCB"
13-Apr-2019 - 00:00,0.81,14.85,7.45,2.15,9.59,4.2,42.61,0.24,2.12,199.75,40.71,286.53,0.0,,7.32,0.0,0.1,14-Apr-2019 - 00:00,979.17,"Velachery Res. Area, Chennai - CPCB"
14-Apr-2019 - 00:00,0.87,14.87,7.4,2.12,9.53,6.02,44.04,0.26,2.3,218.53,40.44,294.77,0.0,,7.98,0.0,0.0,15-Apr-2019 - 00:00,980.85,"Velachery Res. Area, Chennai - CPCB"
15-Apr-2019 - 00:00,0.88,14.95,7.15,2.08,9.22,6.7,42.89,0.27,2.44,216.66,29.65,296.73,0.0,,8.03,0.0,1.0,16-Apr-2019 - 00:00,982.41,"Velachery Res. Area, Chennai - CPCB"
16-Apr-2019 - 00:00,0.87,15.06,7.44,2.12,9.56,4.66,43.02,0.25,2.2,214.63,20.35,307.83,0.0,,9.52,0.0,0.0,17-Apr-2019 - 00:00,980.12,"Velachery Res. Area, Chennai - CPCB"
17-Apr-2019 - 00:00,0.8,14.71,7.72,2.26,9.98,5.12,41.3,0.27,2.55,210.74,18.63,287.23,0.0,,10.2,0.0,0.5,18-Apr-2019 - 00:00,983.26,"Velachery Res. Area, Chennai - CPCB"
18-Apr-2019 - 00:00,0.85,13.61,7.27,2.07,9.34,4.86,62.68,0.25,2.25,203.15,16.42,243.11,0.0,,6.7,0.0,0.0,19-Apr-2019 - 00:00,980.38,"Velachery Res. Area, Chennai - CPCB"
19-Apr-2019 - 00:00,0.83,13.8,7.35,2.1,9.45,4.74,59.53,0.27,2.4,209.75,50.56,301.18,0.0,,5.59,0.0,0.0,20-Apr-2019 - 00:00,982.4,"Velachery Res. Area, Chennai - CPCB"
