from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
06-Apr-2019 - 00:00,417.55,129.92,40.12,32.43,72.54,3.28,,46.33,5.6,0.61,1.17,3.76,07-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
07-Apr-2019 - 00:00,454.47,174.03,44.02,29.55,73.57,3.26,,55.36,6.42,0.59,1.22,2.37,08-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
08-Apr-2019 - 00:00,385.33,85.07,28.78,24.07,52.85,2.59,,40.11,4.25,0.33,1.0,1.48,09-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
09-Apr-2019 - 00:00,293.36,123.24,50.57,30.09,80.67,3.55,,52.44,6.77,0.54,0.95,2.02,10-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
10-Apr-2019 - 00:00,291.37,113.98,37.18,28.55,65.74,3.91,,33.54,4.91,0.63,1.33,3.25,11-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
11-Apr-2019 - 00:00,226.54,75.14,33.28,26.35,59.63,2.84,,34.51,3.71,0.35,0.85,2.86,12-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
12-Apr-2019 - 00:00,257.41,62.3,24.26,22.84,47.11,2.31,,33.26,3.19,0.28,0.81,3.17,13-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
13-Apr-2019 - 00:00,190.53,52.7,21.46,22.03,43.48,2.16,,34.39,3.24,0.15,0.71,1.37,14-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
14-Apr-2019 - 00:00,229.22,59.41,21.99,22.88,44.88,2.29,,30.43,3.79,0.17,0.68,3.12,15-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
15-Apr-2019 - 00:00,221.79,55.45,26.82,20.13,46.94,2.82,,34.2,3.4,0.33,1.02,2.34,16-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
16-Apr-2019 - 00:00,302.35,54.42,20.53,16.45,36.98,2.72,,31.51,2.69,0.4,1.17,1.52,17-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
17-Apr-2019 - 00:00,68.14,29.64,21.96,17.35,39.3,2.29,,36.4,1.48,0.11,0.72,2.76,18-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
18-Apr-2019 - 00:00,120.95,45.26,19.47,19.03,38.51,2.8,,39.88,2.72,0.15,0.6,3.21,19-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
19-Apr-2019 - 00:00,199.83,77.07,27.06,24.1,51.16,3.16,,37.04,3.01,0.32,0.94,6.01,20-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
