from date,CO,PM10,SO2,to date,station
09-May-2019 - 00:00,1.0,168.61,17.4,10-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-May-2019 - 00:00,0.63,188.28,15.55,11-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-May-2019 - 00:00,,,,12-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-May-2019 - 00:00,,,,13-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-May-2019 - 00:00,,,,14-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-May-2019 - 00:00,0.52,106.35,8.13,15-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-May-2019 - 00:00,0.63,127.78,24.74,16-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-May-2019 - 00:00,0.99,,33.18,17-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-May-2019 - 00:00,0.53,,7.68,18-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-May-2019 - 00:00,0.44,109.48,24.34,19-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-May-2019 - 00:00,0.16,,12.14,20-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-May-2019 - 00:00,1.16,87.36,23.67,21-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-May-2019 - 00:00,0.81,67.11,31.42,22-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-May-2019 - 00:00,1.02,256.17,23.15,23-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-May-2019 - 00:00,1.44,235.5,19.36,24-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-May-2019 - 00:00,0.97,101.39,24.75,25-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-May-2019 - 00:00,0.87,81.47,15.34,26-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-May-2019 - 00:00,,,,27-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-May-2019 - 00:00,1.85,82.94,27.17,28-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-May-2019 - 00:00,0.55,65.6,9.4,29-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-May-2019 - 00:00,0.69,105.61,12.23,30-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-May-2019 - 00:00,0.75,87.17,12.38,31-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-May-2019 - 00:00,0.61,64.78,10.04,01-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Jun-2019 - 00:00,0.71,51.97,16.67,02-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Jun-2019 - 00:00,0.75,47.89,14.86,03-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Jun-2019 - 00:00,0.8,34.2,10.34,04-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Jun-2019 - 00:00,0.44,59.35,19.54,05-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Jun-2019 - 00:00,0.7,32.49,16.8,06-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Jun-2019 - 00:00,0.47,33.76,14.81,07-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Jun-2019 - 00:00,0.67,66.81,14.37,08-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Jun-2019 - 00:00,1.69,80.75,17.06,09-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Jun-2019 - 00:00,0.72,108.31,13.56,10-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Jun-2019 - 00:00,0.62,115.78,17.4,11-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Jun-2019 - 00:00,0.63,145.17,22.27,12-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Jun-2019 - 00:00,0.61,78.41,18.12,13-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Jun-2019 - 00:00,1.49,58.49,10.31,14-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Jun-2019 - 00:00,0.76,72.9,26.33,15-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Jun-2019 - 00:00,0.86,185.69,16.49,16-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Jun-2019 - 00:00,0.98,100.69,15.34,17-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Jun-2019 - 00:00,1.12,70.24,13.13,18-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Jun-2019 - 00:00,0.68,77.03,11.65,19-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Jun-2019 - 00:00,0.93,104.31,17.24,20-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Jun-2019 - 00:00,1.5,82.08,17.52,21-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Jun-2019 - 00:00,0.89,42.79,10.89,22-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Jun-2019 - 00:00,0.67,33.01,19.27,23-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Jun-2019 - 00:00,0.8,72.57,18.05,24-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Jun-2019 - 00:00,0.97,35.94,14.16,25-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Jun-2019 - 00:00,0.92,62.77,14.89,26-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Jun-2019 - 00:00,0.95,,13.26,27-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Jun-2019 - 00:00,0.74,,12.72,28-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Jun-2019 - 00:00,1.46,68.52,13.22,29-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Jun-2019 - 00:00,1.25,56.3,11.52,30-Jun-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Jun-2019 - 00:00,1.15,59.29,14.68,01-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Jul-2019 - 00:00,0.73,22.66,9.58,02-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Jul-2019 - 00:00,0.82,28.83,16.16,03-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Jul-2019 - 00:00,0.82,41.39,21.76,04-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Jul-2019 - 00:00,1.08,107.01,18.48,05-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Jul-2019 - 00:00,0.59,53.37,22.04,06-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Jul-2019 - 00:00,0.76,33.7,21.81,07-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Jul-2019 - 00:00,1.48,101.5,14.47,08-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Jul-2019 - 00:00,0.87,118.27,15.31,09-Jul-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
