from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
05-Apr-2019 - 00:00,100.69,277.89,68.4,89.26,105.04,178.55,46.43,2.11,38.74,12.83,,,38.58,06-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Apr-2019 - 00:00,68.91,250.31,59.12,31.32,53.63,103.7,41.84,1.23,31.19,5.92,,,40.6,07-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Apr-2019 - 00:00,134.92,341.94,40.1,22.02,36.2,106.26,44.26,1.62,33.3,6.32,,,16.13,08-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Apr-2019 - 00:00,75.37,245.82,41.62,9.92,27.29,79.53,39.11,1.03,34.92,5.48,,,9.23,09-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Apr-2019 - 00:00,60.29,175.33,56.56,23.65,46.11,93.93,45.95,1.34,39.93,5.75,,,10.01,10-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Apr-2019 - 00:00,82.96,231.64,62.3,60.69,78.82,146.88,51.47,1.65,38.48,5.86,,,17.79,11-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Apr-2019 - 00:00,62.34,177.72,54.89,18.4,41.03,86.94,53.87,0.97,29.82,5.35,,,17.07,12-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Apr-2019 - 00:00,72.33,229.05,40.92,8.64,25.9,66.48,53.16,0.79,35.67,4.41,,,10.23,13-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Apr-2019 - 00:00,58.39,172.74,42.58,15.94,32.62,77.29,52.92,0.82,29.91,5.13,,,14.05,14-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Apr-2019 - 00:00,50.62,177.15,28.08,5.59,16.75,53.61,64.68,0.66,31.26,4.96,,,8.11,15-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Apr-2019 - 00:00,56.81,197.27,46.15,27.77,43.98,81.68,56.44,1.1,28.27,5.39,,,14.88,16-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Apr-2019 - 00:00,78.15,149.56,25.12,6.81,16.18,46.61,46.77,0.43,29.63,4.34,,,14.32,17-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Apr-2019 - 00:00,19.45,38.67,24.91,5.94,15.37,26.71,45.71,0.41,27.86,3.91,,,17.42,18-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Apr-2019 - 00:00,33.69,76.49,50.33,14.06,35.12,29.24,54.17,0.74,28.65,5.3,,,18.33,19-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Apr-2019 - 00:00,57.02,129.19,47.75,7.35,28.44,27.91,69.92,0.88,33.6,6.2,,,43.2,20-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Apr-2019 - 00:00,55.04,141.49,61.32,21.42,46.81,27.98,56.06,0.93,36.05,6.29,,,43.16,21-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Apr-2019 - 00:00,73.53,168.29,59.7,19.74,44.62,34.24,60.58,0.81,37.78,6.23,,,23.8,22-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Apr-2019 - 00:00,77.43,200.53,73.7,33.47,62.94,39.53,71.24,0.99,37.11,6.61,,,32.73,23-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Apr-2019 - 00:00,75.4,242.74,62.95,41.05,63.11,34.43,75.78,1.11,29.74,6.05,,,31.43,24-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Apr-2019 - 00:00,82.19,251.97,63.9,44.39,67.61,40.7,65.19,1.35,34.63,5.2,,,32.47,25-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Apr-2019 - 00:00,87.26,262.65,46.93,3.49,27.32,44.31,65.01,0.91,29.71,4.83,,,36.57,26-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Apr-2019 - 00:00,74.9,204.09,57.25,13.24,40.53,34.11,90.15,1.03,23.64,4.91,,,20.77,27-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Apr-2019 - 00:00,202.12,234.5,39.28,3.16,23.06,21.77,72.57,0.61,29.09,4.86,,,16.05,28-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Apr-2019 - 00:00,120.77,241.23,42.87,4.75,26.21,21.4,76.44,0.7,26.99,4.72,,,12.86,29-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Apr-2019 - 00:00,123.3,281.47,61.51,42.53,66.24,25.2,73.82,1.48,24.88,5.36,,,18.19,30-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Apr-2019 - 00:00,128.78,271.55,76.05,43.51,74.62,40.48,76.31,1.62,19.59,4.87,,,18.48,01-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-May-2019 - 00:00,129.24,267.29,72.96,29.68,61.92,42.95,80.01,1.5,22.94,3.8,,,21.42,02-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-May-2019 - 00:00,110.04,235.31,58.19,12.8,40.66,36.68,73.59,1.26,26.01,4.31,,,11.5,03-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-May-2019 - 00:00,80.84,130.47,64.86,31.71,59.32,40.19,69.64,1.08,54.68,5.51,,,15.29,04-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-May-2019 - 00:00,105.4,154.58,58.44,5.8,35.18,45.68,75.79,1.12,58.13,5.33,,,30.13,05-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-May-2019 - 00:00,122.37,242.89,61.52,27.55,54.23,27.68,81.52,1.69,51.71,5.0,,,16.06,06-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-May-2019 - 00:00,112.99,246.23,77.81,50.55,81.19,39.39,79.47,1.71,41.89,5.55,,,29.36,07-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-May-2019 - 00:00,122.2,300.26,74.71,52.06,80.78,43.55,80.67,1.59,26.43,6.22,,,81.55,08-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-May-2019 - 00:00,138.02,302.67,65.51,26.2,55.24,40.53,81.31,1.49,17.76,7.27,,,86.28,09-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-May-2019 - 00:00,157.55,327.05,52.68,6.91,33.07,33.64,68.59,1.37,25.16,8.61,,,67.49,10-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-May-2019 - 00:00,104.72,201.07,32.77,4.36,20.61,29.49,44.1,0.82,30.01,8.39,,,18.93,11-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-May-2019 - 00:00,143.45,228.9,44.53,5.7,27.84,33.16,15.64,0.91,34.94,9.29,,,2.42,12-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-May-2019 - 00:00,287.66,323.84,34.5,3.24,20.63,30.35,24.0,0.97,35.88,8.85,,,2.31,13-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-May-2019 - 00:00,134.21,220.98,46.28,5.41,28.52,31.12,22.76,0.92,38.87,9.45,,,2.55,14-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-May-2019 - 00:00,79.72,104.3,49.13,7.52,31.7,34.7,11.0,0.76,35.9,9.49,,,2.37,15-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-May-2019 - 00:00,86.67,179.13,50.4,8.23,32.88,37.42,13.19,0.79,32.04,8.77,,,2.22,16-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-May-2019 - 00:00,91.81,189.13,43.48,7.04,28.36,32.73,9.76,0.6,34.25,8.85,,,2.19,17-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-May-2019 - 00:00,112.31,238.44,44.13,9.53,30.7,37.19,8.05,0.57,29.56,9.56,,,2.21,18-May-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
