from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
19-Mar-2019 - 00:00,70.13,147.36,30.57,16.72,37.44,38.1,3.72,0.46,44.6,5.44,0.51,4.01,4.17,6.95,42.97,318.32,2.19,173.9,0.0,20-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Mar-2019 - 00:00,55.05,136.84,14.45,4.03,26.07,35.74,5.01,0.45,48.0,5.94,0.39,3.53,2.66,4.45,38.39,334.29,3.43,222.99,0.0,21-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Mar-2019 - 00:00,75.66,105.43,9.66,3.81,17.25,37.05,5.45,0.48,52.05,6.64,0.54,4.0,4.36,7.21,61.01,293.3,3.72,242.92,0.0,22-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Mar-2019 - 00:00,44.58,82.91,11.46,5.01,18.85,34.65,4.79,0.38,55.07,4.99,0.42,3.46,3.57,6.02,42.42,329.57,4.13,312.34,0.0,23-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Mar-2019 - 00:00,41.21,91.9,12.69,4.22,22.43,32.19,4.5,0.32,58.41,4.5,0.43,3.68,3.88,6.47,38.65,299.17,2.82,256.43,0.0,24-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Mar-2019 - 00:00,53.72,109.79,16.1,4.39,28.67,33.69,4.79,0.43,45.9,7.34,0.51,4.41,2.61,4.41,47.81,290.2,2.47,185.8,0.0,25-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Mar-2019 - 00:00,42.55,84.55,9.7,3.93,17.14,33.82,4.49,0.35,44.76,3.92,0.38,3.12,1.87,2.99,53.35,238.31,2.76,284.69,0.0,26-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Mar-2019 - 00:00,47.77,98.17,21.44,6.33,25.1,38.3,4.67,0.4,44.66,5.32,0.47,3.97,4.17,6.97,42.92,306.5,2.35,249.23,0.0,27-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Mar-2019 - 00:00,59.63,137.89,39.66,22.66,36.48,41.64,4.58,0.47,41.68,6.56,0.6,5.05,5.44,9.65,38.61,301.42,2.2,178.16,0.0,28-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Mar-2019 - 00:00,67.18,180.55,41.24,20.67,35.72,44.97,5.36,0.5,41.08,6.18,0.56,4.66,5.32,8.59,37.23,270.36,2.19,176.5,0.0,29-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Mar-2019 - 00:00,90.33,152.37,33.34,6.77,20.44,49.48,9.15,0.64,52.18,8.04,0.76,5.21,5.86,9.8,44.33,296.06,2.11,125.53,0.0,30-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-Mar-2019 - 00:00,65.42,152.58,32.66,13.73,25.83,59.88,6.2,0.57,46.7,6.79,0.72,4.73,5.47,8.82,45.35,286.36,1.99,156.22,0.0,31-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
31-Mar-2019 - 00:00,58.93,111.27,16.67,3.81,9.36,51.2,5.25,0.42,56.78,6.16,0.56,3.56,3.85,6.2,36.51,296.9,3.32,319.56,0.0,01-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Apr-2019 - 00:00,38.96,106.92,31.99,6.03,19.14,42.06,5.36,0.37,50.05,5.0,0.49,3.99,4.17,7.12,24.56,303.38,2.6,268.81,0.0,02-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Apr-2019 - 00:00,68.6,213.59,46.95,19.66,37.94,50.33,4.56,0.47,46.9,6.82,0.45,6.91,7.88,9.97,30.43,301.18,2.2,182.36,0.0,03-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Apr-2019 - 00:00,62.88,158.6,47.02,11.11,31.07,50.78,5.53,0.55,50.36,6.52,0.48,2.22,2.97,3.01,31.19,304.22,1.88,143.08,0.0,04-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Apr-2019 - 00:00,73.33,172.69,49.84,17.89,37.98,49.52,6.62,0.57,51.22,7.42,0.45,2.09,3.2,4.31,28.39,289.31,1.85,132.38,0.0,05-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
