from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
02-Jul-2019 - 00:00,722.41,123.1,40.35,149.82,1.97,0.37,0.12,0.51,0.25,0.81,13.63,2.18,27.77,29.94,54.5,9.18,03-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jul-2019 - 00:00,722.34,74.07,38.72,110.7,1.8,0.34,0.04,0.17,0.07,0.9,16.19,0.95,18.59,19.47,62.38,9.04,04-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jul-2019 - 00:00,721.95,65.63,39.48,210.79,1.49,0.41,0.1,0.43,0.18,1.09,17.37,2.27,26.99,29.24,40.03,11.41,05-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jul-2019 - 00:00,720.76,82.05,35.1,250.64,1.65,0.38,0.12,0.48,0.21,1.1,21.23,3.72,27.71,31.42,19.85,8.36,06-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jul-2019 - 00:00,719.92,48.77,31.5,192.02,1.69,0.51,0.22,0.81,0.33,0.96,20.7,4.37,28.13,32.49,15.29,9.16,07-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jul-2019 - 00:00,720.83,62.23,32.55,253.58,1.43,0.41,0.14,0.58,0.25,1.0,20.97,4.24,41.97,46.2,23.85,8.77,08-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jul-2019 - 00:00,720.9,104.33,44.38,223.72,1.78,0.34,0.09,0.4,0.17,0.94,18.53,3.07,27.51,30.56,25.45,9.31,09-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jul-2019 - 00:00,720.7,93.77,49.93,170.45,1.6,0.23,0.04,0.13,0.06,0.83,15.93,1.6,14.25,15.84,18.19,9.89,10-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jul-2019 - 00:00,720.52,127.54,40.77,215.16,2.55,0.21,0.05,0.22,0.12,0.69,14.76,3.39,25.9,29.29,27.54,9.67,11-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jul-2019 - 00:00,721.23,110.26,41.16,218.63,2.97,0.17,0.05,0.2,0.1,0.85,11.91,4.16,21.47,25.64,30.81,8.7,12-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
