from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
15-Dec-2019 - 00:00,28.7,1.47,30.76,,,,42.59,2.17,265.89,,83.8,739.22,80.64,0.0,-0.19,1.81,9.93,3.3,87.76,13.05,16-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Dec-2019 - 00:00,29.37,1.17,26.5,,,,35.09,2.85,267.36,,97.83,739.73,29.41,0.0,-0.23,1.54,5.55,2.43,86.9,10.88,17-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Dec-2019 - 00:00,28.96,1.2,26.7,,,,35.44,2.3,259.16,,96.57,741.0,43.56,0.0,-0.22,1.18,4.21,1.2,92.93,10.68,18-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Dec-2019 - 00:00,28.53,2.09,31.61,,,,37.9,1.76,213.16,,90.47,739.89,66.07,0.0,-0.18,2.81,21.94,5.58,154.17,10.78,19-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Dec-2019 - 00:00,28.65,2.2,32.45,,,,22.92,1.22,161.24,,99.5,738.32,45.99,0.0,-0.12,3.31,18.79,9.22,247.29,9.41,20-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Dec-2019 - 00:00,28.97,3.09,36.3,,,,30.53,1.08,217.04,,91.69,735.82,61.51,0.0,-0.12,4.27,28.11,12.18,327.69,10.74,21-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Dec-2019 - 00:00,28.65,2.6,28.06,,,,28.94,1.66,257.7,,85.53,736.62,70.0,0.0,-0.17,3.72,23.12,9.17,262.97,12.2,22-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Dec-2019 - 00:00,27.79,1.77,23.28,,,,32.12,2.69,266.81,,90.0,737.77,87.66,0.0,-0.27,2.45,9.95,3.43,152.17,11.1,23-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Dec-2019 - 00:00,28.12,1.91,27.2,,,,31.87,2.14,242.62,,92.55,737.2,41.89,0.0,-0.22,2.86,15.05,4.19,188.17,9.73,24-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Dec-2019 - 00:00,28.97,2.0,32.42,,,,34.55,1.47,175.18,,85.68,738.84,76.45,0.0,-0.12,3.09,18.13,5.43,246.22,10.52,25-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Dec-2019 - 00:00,28.01,1.46,32.47,,,,30.81,2.43,264.51,,86.13,737.94,83.63,0.0,-0.24,2.6,14.33,3.87,179.61,9.28,26-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Dec-2019 - 00:00,28.52,1.41,30.33,,,,34.43,1.84,241.51,,85.09,737.43,76.69,0.0,-0.19,2.43,10.77,3.64,218.35,9.38,27-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Dec-2019 - 00:00,29.2,2.0,38.08,,,,31.14,1.17,190.23,,89.86,738.47,69.22,0.0,-0.11,3.56,17.74,6.03,292.37,9.15,28-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Dec-2019 - 00:00,29.08,2.53,34.36,,,,24.87,1.22,172.41,,91.95,739.17,60.29,0.0,-0.12,4.19,25.03,7.78,332.94,8.79,29-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Dec-2019 - 00:00,27.88,2.3,29.83,,,,44.16,1.26,174.35,,84.64,739.46,75.8,0.0,-0.1,3.5,15.92,4.37,344.47,9.34,30-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Dec-2019 - 00:00,29.1,2.73,34.36,,,,21.15,0.89,164.32,,,738.91,22.54,0.0,-0.09,4.51,18.41,5.86,290.06,6.96,31-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Dec-2019 - 00:00,28.7,1.44,33.14,,,,28.62,0.3,110.5,,,739.5,11.0,0.0,-0.15,2.72,4.71,1.52,156.0,6.55,01-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
