from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
19-Mar-2019 - 00:00,120.79,256.3,42.49,-0.47,739.4,140.1,31.03,1.39,148.12,0.91,11.44,79.32,90.84,18.61,38.0,5.92,0.01,9.16,20-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Mar-2019 - 00:00,119.44,264.47,37.48,-0.45,739.57,143.48,29.36,1.19,154.78,1.32,14.61,68.31,89.12,33.63,47.41,3.63,3.34,8.13,21-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Mar-2019 - 00:00,273.4,388.77,40.32,-0.44,739.19,120.33,26.64,1.37,155.92,1.6,23.77,89.37,87.64,23.95,40.64,8.71,6.07,15.89,22-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Mar-2019 - 00:00,94.08,204.56,41.04,-0.49,738.28,132.06,26.78,2.21,139.45,0.52,14.87,88.24,51.26,5.31,18.02,2.08,9.15,4.39,23-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Mar-2019 - 00:00,77.29,187.62,36.22,-0.61,738.19,153.54,22.07,1.86,162.62,0.47,10.44,93.91,45.1,5.14,16.15,1.22,2.05,1.64,24-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Mar-2019 - 00:00,111.51,228.02,37.34,-0.55,738.76,131.55,23.91,1.61,166.57,0.56,12.71,77.63,49.39,5.3,17.48,1.92,6.72,6.73,25-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Mar-2019 - 00:00,103.21,222.09,35.7,-0.46,738.65,139.38,28.48,1.06,167.68,0.66,14.17,81.74,58.49,5.79,20.33,2.02,2.28,4.03,26-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Mar-2019 - 00:00,65.88,159.28,48.5,-0.44,738.24,98.59,23.33,2.89,166.08,0.5,13.44,101.66,61.29,18.99,30.72,1.82,3.35,2.77,27-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Mar-2019 - 00:00,106.75,199.54,42.71,-0.49,736.23,132.97,23.55,1.42,163.61,0.78,25.15,65.04,64.46,20.37,38.19,1.3,5.33,1.36,28-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Mar-2019 - 00:00,135.49,247.62,40.46,-0.46,737.41,131.54,25.56,0.97,142.67,1.09,41.61,52.28,77.61,26.52,50.73,1.97,3.42,1.46,29-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Mar-2019 - 00:00,146.66,300.93,44.48,-0.43,740.41,90.55,27.82,1.13,165.99,0.99,40.26,41.29,104.44,25.09,46.07,,,,30-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Mar-2019 - 00:00,124.03,346.23,41.21,-0.41,741.47,108.39,32.18,1.13,158.21,1.49,39.62,38.32,128.06,26.74,53.84,,,,31-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-Mar-2019 - 00:00,128.44,298.3,37.74,-0.42,742.83,111.64,34.16,2.33,157.11,0.74,40.19,75.16,84.16,5.69,27.42,,,,01-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Apr-2019 - 00:00,74.01,272.57,31.56,-0.45,740.57,117.76,30.49,2.62,147.43,0.73,34.28,101.97,69.4,4.42,22.5,,,,02-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Apr-2019 - 00:00,95.76,247.9,32.45,-0.5,740.53,146.11,28.98,2.14,155.51,0.71,42.96,79.94,84.19,6.54,28.03,,,,03-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Apr-2019 - 00:00,96.36,257.06,28.77,-0.54,740.14,124.92,30.75,1.39,158.95,0.73,43.94,83.2,84.99,6.01,27.94,,,,04-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Apr-2019 - 00:00,88.07,209.11,39.92,-0.63,740.19,127.05,30.83,2.14,211.15,0.56,36.88,132.99,49.24,3.1,15.91,,,,05-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Apr-2019 - 00:00,91.67,246.95,50.42,-0.5,740.89,130.19,31.35,2.79,221.75,0.64,39.9,122.09,48.74,2.46,15.27,0.68,0.0,3.55,06-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Apr-2019 - 00:00,82.52,272.07,61.82,-0.42,741.6,82.9,28.7,4.06,237.45,0.58,27.1,120.71,46.55,3.25,15.24,1.32,5.38,1.05,07-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Apr-2019 - 00:00,54.17,255.87,48.28,-0.43,741.97,61.46,25.7,3.71,223.67,0.45,25.87,144.77,45.39,3.28,14.99,0.14,0.0,5.12,08-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Apr-2019 - 00:00,66.16,240.19,52.78,-0.62,742.69,123.89,28.13,2.7,208.44,0.62,28.57,137.04,51.79,3.29,16.77,0.0,0.0,0.0,09-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Apr-2019 - 00:00,75.33,221.18,43.26,-0.83,742.9,131.14,33.69,2.61,185.41,0.46,36.72,122.42,58.24,5.04,32.6,,,,10-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Apr-2019 - 00:00,58.87,171.04,47.65,-0.82,741.33,133.63,29.33,2.99,218.84,0.61,30.37,122.23,47.04,4.03,15.76,,,,11-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Apr-2019 - 00:00,81.5,228.88,52.26,-0.77,742.0,57.62,29.06,2.41,225.75,0.62,36.64,143.01,64.05,6.04,21.81,,,,12-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Apr-2019 - 00:00,113.62,275.51,41.24,-1.82,741.43,129.48,31.61,1.93,213.34,0.77,35.08,112.28,67.08,4.41,21.56,,,,13-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Apr-2019 - 00:00,132.88,348.46,36.23,-2.27,741.11,116.13,27.82,1.45,177.55,1.03,32.48,64.61,93.2,9.19,32.01,,,,14-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Apr-2019 - 00:00,131.16,384.1,29.96,-0.65,741.16,111.28,28.96,1.25,145.08,0.91,40.89,74.14,102.12,16.47,39.78,,,,15-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Apr-2019 - 00:00,119.72,345.71,28.33,-0.94,741.81,99.49,28.96,1.72,156.08,0.83,37.08,82.93,93.07,15.58,42.81,,,,16-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Apr-2019 - 00:00,128.54,434.49,35.01,-0.63,740.31,67.41,22.4,3.38,149.33,0.51,32.93,110.35,69.18,10.93,26.56,,,,17-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Apr-2019 - 00:00,83.56,199.07,65.69,-0.67,737.49,27.67,18.9,2.21,189.59,0.54,25.35,74.53,74.04,11.33,28.35,,,,18-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Apr-2019 - 00:00,73.28,153.83,53.48,-0.73,738.99,78.05,31.43,1.75,156.92,0.5,35.94,85.88,72.56,11.32,28.01,,,,19-Apr-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
