from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
23-Aug-2018 - 00:00,21.07,13.25,21.8,12.16,1.44,16.83,33.93,70.6,0.3,-0.3,133.74,742.4,63.26,0.01,0.23,4.99,7.92,24-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Aug-2018 - 00:00,23.74,9.92,20.56,12.8,1.3,15.25,33.67,72.54,0.3,-0.3,134.73,742.38,59.32,0.0,0.23,1.08,8.55,25-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Aug-2018 - 00:00,17.04,7.88,15.36,7.72,0.93,10.62,33.64,70.78,0.3,-0.3,153.0,742.05,69.42,0.0,5.26,0.56,9.71,26-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Aug-2018 - 00:00,21.25,13.65,22.36,7.24,1.31,22.92,33.69,70.64,0.3,-0.3,153.0,741.58,37.45,0.0,0.2,0.46,9.31,27-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Aug-2018 - 00:00,25.29,20.32,28.54,6.86,1.91,36.71,34.47,68.06,0.3,-0.3,153.56,742.39,101.95,0.0,0.21,0.74,46.7,28-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Aug-2018 - 00:00,23.33,5.9,16.75,5.86,1.13,28.03,34.61,66.53,0.27,-0.3,147.19,743.0,123.26,0.0,0.2,0.79,62.11,29-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Aug-2018 - 00:00,24.21,7.52,18.57,6.16,1.44,30.29,34.45,66.5,0.28,-0.3,121.24,743.48,76.68,0.0,0.21,0.87,61.73,30-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Aug-2018 - 00:00,28.76,14.76,26.77,8.51,2.06,77.38,33.97,70.36,0.3,-0.3,139.32,742.36,31.66,0.0,0.23,1.31,9.72,31-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
31-Aug-2018 - 00:00,23.89,6.83,18.03,8.99,1.91,15.72,34.21,72.71,0.3,-0.3,167.48,743.21,49.28,0.01,0.25,0.89,7.02,01-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Sep-2018 - 00:00,24.81,5.4,17.59,9.06,1.89,23.2,34.95,68.75,0.3,-0.3,204.0,743.29,31.71,0.0,0.29,0.97,7.98,02-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Sep-2018 - 00:00,23.67,4.58,15.85,8.0,1.62,22.61,34.44,70.29,0.28,-0.3,274.21,743.49,66.28,0.0,0.26,0.62,8.4,03-Sep-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
