from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
27-Feb-2018 - 00:00,,0.24,275.42,57.49,,70.82,17.54,27.87,28.86,22.2,84.23,27.95,,0.65,1.0,11.65,4.74,1.11,1.47,0.68,1.92,28-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Feb-2018 - 00:00,,0.06,165.29,61.6,,80.55,17.77,33.08,31.82,15.9,133.43,28.24,,0.66,0.84,17.29,7.35,1.17,1.75,0.87,2.78,01-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Mar-2018 - 00:00,,0.04,172.33,56.29,,71.41,18.88,35.05,33.75,11.04,138.61,27.92,,0.7,0.78,15.43,7.28,0.96,1.77,0.73,3.9,02-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Mar-2018 - 00:00,,0.1,205.52,51.68,,72.21,21.88,33.89,35.53,11.96,124.79,28.45,,0.68,0.81,15.19,7.05,1.32,2.57,1.07,3.37,03-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Mar-2018 - 00:00,,0.08,169.66,47.15,,64.82,13.72,30.25,27.07,10.11,92.21,28.97,,0.55,0.8,13.08,3.62,0.75,0.97,0.39,2.33,04-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Mar-2018 - 00:00,,0.08,183.38,48.87,,60.62,11.12,30.79,25.27,10.05,84.45,28.25,,0.53,1.17,10.57,2.59,0.78,0.44,0.16,1.49,05-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Mar-2018 - 00:00,,0.1,255.87,50.25,,86.28,13.77,32.79,28.45,21.33,74.29,27.77,,0.56,1.03,9.84,1.96,0.74,0.11,0.04,1.94,06-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Mar-2018 - 00:00,,0.14,277.63,49.09,,80.94,11.01,30.46,25.01,25.8,74.55,26.87,,0.51,1.32,9.78,3.51,0.79,0.74,0.3,1.36,07-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Mar-2018 - 00:00,,0.08,246.81,47.77,,83.61,20.42,33.98,34.41,26.52,85.05,26.62,,0.62,1.08,12.01,4.49,0.8,1.12,0.54,2.51,08-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Mar-2018 - 00:00,,-0.01,173.94,45.53,,84.41,30.08,42.43,46.63,34.11,122.96,27.52,,0.78,0.67,15.82,12.99,1.55,3.03,1.19,4.62,09-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
