from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
28-Sep-2018 - 00:00,0.51,14.5,4.96,36.27,23.33,7.94,38.97,26.2,28.51,1.06,20.09,0.5,72.72,1.08,103.9,142.46,712.41,0.74,29-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Sep-2018 - 00:00,0.61,17.25,13.65,44.84,34.95,10.64,53.33,26.74,28.6,1.36,21.93,1.19,70.73,0.9,112.73,130.74,713.19,0.73,30-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Sep-2018 - 00:00,0.51,31.17,11.09,35.15,27.67,10.7,62.04,27.3,28.53,1.51,24.03,0.68,68.4,1.43,111.46,133.98,712.72,0.74,01-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
01-Oct-2018 - 00:00,0.45,23.21,2.64,34.44,20.46,10.08,52.73,27.1,28.38,0.94,15.15,0.44,68.18,0.98,103.1,147.64,713.05,0.73,02-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Oct-2018 - 00:00,0.31,27.97,1.92,22.39,13.48,6.13,29.0,27.59,30.64,0.66,7.04,0.09,65.51,0.93,120.35,179.19,714.42,0.68,03-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Oct-2018 - 00:00,0.37,28.17,2.33,25.27,15.33,5.4,28.3,27.98,31.28,0.83,6.46,0.13,65.49,0.91,135.61,179.18,714.12,0.67,04-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Oct-2018 - 00:00,0.37,27.48,2.58,27.14,16.53,5.48,33.33,27.43,29.64,0.68,7.67,0.21,65.64,1.02,118.81,172.83,714.38,0.7,05-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Oct-2018 - 00:00,0.37,34.57,2.02,27.0,16.01,6.83,31.76,26.59,28.71,0.68,8.49,0.21,61.32,1.12,112.9,179.33,715.15,0.73,06-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Oct-2018 - 00:00,0.43,37.32,3.02,34.74,20.94,9.01,45.63,26.68,28.83,0.86,12.42,0.35,59.5,1.03,115.46,157.38,715.27,0.73,07-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Oct-2018 - 00:00,0.48,39.5,1.2,27.53,15.62,10.85,57.97,26.92,28.89,0.98,17.56,0.34,61.6,1.03,109.38,138.2,713.8,0.72,08-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
