from date,Temp,RH,SR,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,BP,station
19-Sep-2018 - 00:00,31.88,61.04,198.36,0.57,143.18,,,,31.6,0.96,25.84,90.15,,,,,,-2.62,20-Sep-2018 - 00:00,980.63,"MD University, Rohtak - HSPCB"
20-Sep-2018 - 00:00,31.98,57.4,196.99,0.73,94.79,,,,25.45,0.98,25.35,66.03,,,,,,-2.62,21-Sep-2018 - 00:00,980.88,"MD University, Rohtak - HSPCB"
21-Sep-2018 - 00:00,31.16,55.54,202.17,1.49,81.35,,,,29.39,0.9,25.03,66.49,,,,,,-2.62,22-Sep-2018 - 00:00,983.2,"MD University, Rohtak - HSPCB"
22-Sep-2018 - 00:00,27.89,68.65,68.9,1.48,58.62,,,,16.52,0.9,24.74,17.29,,,,,,-2.62,23-Sep-2018 - 00:00,984.2,"MD University, Rohtak - HSPCB"
23-Sep-2018 - 00:00,30.85,67.68,74.76,1.76,72.22,,,,14.98,0.9,25.5,37.94,,,,,,-2.62,24-Sep-2018 - 00:00,983.37,"MD University, Rohtak - HSPCB"
24-Sep-2018 - 00:00,33.35,68.56,35.55,1.36,135.6,,,,11.49,0.84,25.2,15.12,,,,,,-2.62,25-Sep-2018 - 00:00,981.95,"MD University, Rohtak - HSPCB"
25-Sep-2018 - 00:00,31.28,67.3,89.58,0.7,196.41,,,,6.93,0.95,25.33,24.99,,,,,,-2.62,26-Sep-2018 - 00:00,983.68,"MD University, Rohtak - HSPCB"
26-Sep-2018 - 00:00,34.1,65.12,257.84,0.58,162.3,,,,25.9,0.8,25.24,39.56,,,,,,-2.62,27-Sep-2018 - 00:00,982.94,"MD University, Rohtak - HSPCB"
27-Sep-2018 - 00:00,35.06,65.77,203.41,0.49,95.73,,,,35.38,1.03,25.87,68.49,,,,,,-2.62,28-Sep-2018 - 00:00,983.5,"MD University, Rohtak - HSPCB"
28-Sep-2018 - 00:00,38.34,64.3,222.63,0.71,100.77,,,0.0,24.62,0.83,24.04,69.71,0.0,0.0,0.0,0.0,0.0,-2.57,29-Sep-2018 - 00:00,984.07,"MD University, Rohtak - HSPCB"
29-Sep-2018 - 00:00,38.29,66.07,211.82,0.48,139.61,,,0.0,24.52,0.86,23.97,69.43,0.0,0.0,0.0,0.0,0.0,-2.59,30-Sep-2018 - 00:00,984.95,"MD University, Rohtak - HSPCB"
30-Sep-2018 - 00:00,38.24,62.97,207.64,0.58,175.08,,,0.0,34.58,0.83,24.5,37.63,0.0,0.0,0.0,0.0,0.0,-2.46,01-Oct-2018 - 00:00,984.14,"MD University, Rohtak - HSPCB"
01-Oct-2018 - 00:00,36.69,63.94,221.57,0.45,166.05,,,,22.52,0.85,24.11,50.48,,,,,,-2.63,02-Oct-2018 - 00:00,984.09,"MD University, Rohtak - HSPCB"
02-Oct-2018 - 00:00,37.21,63.66,210.77,0.58,129.49,,,0.0,24.31,0.94,23.94,51.03,0.0,0.0,0.0,0.0,0.0,-2.59,03-Oct-2018 - 00:00,984.78,"MD University, Rohtak - HSPCB"
03-Oct-2018 - 00:00,37.71,62.69,175.22,0.65,112.91,,,,24.7,0.97,24.17,40.43,,,,,,-2.63,04-Oct-2018 - 00:00,983.96,"MD University, Rohtak - HSPCB"
04-Oct-2018 - 00:00,40.49,62.96,234.32,0.83,96.84,,,,27.62,0.75,24.67,46.89,,,,,,-2.63,05-Oct-2018 - 00:00,985.51,"MD University, Rohtak - HSPCB"
05-Oct-2018 - 00:00,35.49,63.3,169.73,0.64,80.28,,,,13.93,0.98,25.48,68.91,,,,,,-2.62,06-Oct-2018 - 00:00,986.81,"MD University, Rohtak - HSPCB"
06-Oct-2018 - 00:00,36.03,62.89,147.09,0.38,139.36,12.64,24.27,36.8,26.61,0.75,25.1,57.71,0.0,0.0,0.3,0.0,0.3,-2.63,07-Oct-2018 - 00:00,986.42,"MD University, Rohtak - HSPCB"
07-Oct-2018 - 00:00,27.2,61.3,146.11,0.37,112.37,11.51,28.56,22.42,20.94,0.18,17.54,69.31,1.06,6.13,4.2,1.08,4.39,-2.33,08-Oct-2018 - 00:00,985.8,"MD University, Rohtak - HSPCB"
08-Oct-2018 - 00:00,28.18,61.04,149.98,0.53,72.12,2.54,24.1,14.17,9.88,0.33,12.67,44.66,2.1,5.22,0.88,0.03,0.98,0.03,09-Oct-2018 - 00:00,984.07,"MD University, Rohtak - HSPCB"
09-Oct-2018 - 00:00,29.1,59.81,148.87,0.62,86.59,10.09,52.84,34.18,7.93,1.0,20.61,48.62,4.25,9.29,3.66,0.0,4.88,0.1,10-Oct-2018 - 00:00,982.79,"MD University, Rohtak - HSPCB"
10-Oct-2018 - 00:00,27.34,62.82,136.75,1.25,56.99,31.3,60.84,59.8,12.82,0.76,18.52,56.77,3.45,7.47,1.14,0.0,0.97,0.1,11-Oct-2018 - 00:00,983.46,"MD University, Rohtak - HSPCB"
11-Oct-2018 - 00:00,24.34,62.89,138.79,0.96,86.72,12.4,44.24,28.96,9.91,0.43,18.31,47.0,2.39,5.31,0.65,0.0,0.79,0.1,12-Oct-2018 - 00:00,985.74,"MD University, Rohtak - HSPCB"
12-Oct-2018 - 00:00,24.48,60.78,144.91,0.5,136.43,2.8,26.66,15.2,24.13,0.38,18.81,27.25,1.19,0.0,0.02,0.0,0.18,0.1,13-Oct-2018 - 00:00,988.0,"MD University, Rohtak - HSPCB"
13-Oct-2018 - 00:00,24.32,61.45,146.21,0.53,175.48,,,,9.37,1.23,19.7,38.96,,,,,,0.1,14-Oct-2018 - 00:00,988.29,"MD University, Rohtak - HSPCB"
14-Oct-2018 - 00:00,23.98,61.34,145.77,0.78,161.6,,,,24.02,0.98,18.36,67.6,,,,,,0.1,15-Oct-2018 - 00:00,987.39,"MD University, Rohtak - HSPCB"
15-Oct-2018 - 00:00,24.45,60.88,137.3,0.62,178.15,,,,10.44,0.57,17.56,41.8,,,,,,0.1,16-Oct-2018 - 00:00,987.54,"MD University, Rohtak - HSPCB"
16-Oct-2018 - 00:00,25.44,61.05,130.36,0.88,100.88,,,,15.06,0.55,18.03,63.55,,,,,,0.1,17-Oct-2018 - 00:00,986.96,"MD University, Rohtak - HSPCB"
17-Oct-2018 - 00:00,25.52,60.67,141.33,0.68,106.43,,,,7.8,0.88,18.14,47.82,,,,,,0.1,18-Oct-2018 - 00:00,985.59,"MD University, Rohtak - HSPCB"
18-Oct-2018 - 00:00,25.02,60.17,132.04,0.74,90.22,,,,7.2,0.46,18.34,48.59,,,,,,0.1,19-Oct-2018 - 00:00,985.01,"MD University, Rohtak - HSPCB"
19-Oct-2018 - 00:00,24.8,62.03,123.12,0.46,168.3,,,,5.43,0.66,17.35,34.45,,,,,,0.1,20-Oct-2018 - 00:00,986.86,"MD University, Rohtak - HSPCB"
20-Oct-2018 - 00:00,24.36,59.01,129.73,0.41,169.4,,,,9.75,0.99,17.62,63.42,,,,,,0.1,21-Oct-2018 - 00:00,989.27,"MD University, Rohtak - HSPCB"
21-Oct-2018 - 00:00,24.0,58.57,123.72,0.42,185.53,,,,8.92,0.49,18.25,26.19,,,,,,0.1,22-Oct-2018 - 00:00,989.98,"MD University, Rohtak - HSPCB"
22-Oct-2018 - 00:00,22.12,58.86,129.0,0.81,157.47,,,0.0,5.97,0.87,18.38,52.79,0.0,0.0,0.0,0.0,0.0,0.1,23-Oct-2018 - 00:00,989.08,"MD University, Rohtak - HSPCB"
23-Oct-2018 - 00:00,22.01,59.5,122.61,0.64,151.37,,,,6.92,1.01,18.75,62.21,,,,,,0.1,24-Oct-2018 - 00:00,988.56,"MD University, Rohtak - HSPCB"
24-Oct-2018 - 00:00,22.03,59.18,120.04,0.44,167.41,,,,9.07,0.86,18.37,59.04,,,,,,0.1,25-Oct-2018 - 00:00,988.49,"MD University, Rohtak - HSPCB"
25-Oct-2018 - 00:00,21.46,58.27,115.38,0.4,158.48,,,,8.05,0.8,18.02,52.56,,,,,,0.1,26-Oct-2018 - 00:00,989.91,"MD University, Rohtak - HSPCB"
26-Oct-2018 - 00:00,20.53,60.33,98.68,0.4,161.17,,,,7.92,1.01,18.67,80.89,,,,,,0.1,27-Oct-2018 - 00:00,992.0,"MD University, Rohtak - HSPCB"
27-Oct-2018 - 00:00,20.87,61.63,108.55,0.47,150.91,,,,7.74,0.72,18.65,74.45,,,,,,0.1,28-Oct-2018 - 00:00,992.08,"MD University, Rohtak - HSPCB"
28-Oct-2018 - 00:00,20.84,61.59,113.98,0.58,171.71,,,,6.75,1.09,18.54,88.88,,,,,,0.1,29-Oct-2018 - 00:00,991.72,"MD University, Rohtak - HSPCB"
29-Oct-2018 - 00:00,20.4,59.63,103.81,0.65,154.39,,,,7.15,1.25,19.34,103.83,,,,,,0.1,30-Oct-2018 - 00:00,990.95,"MD University, Rohtak - HSPCB"
30-Oct-2018 - 00:00,20.24,58.35,100.51,0.57,109.22,,,,7.07,0.82,20.63,79.13,,,,,,0.1,31-Oct-2018 - 00:00,990.73,"MD University, Rohtak - HSPCB"
31-Oct-2018 - 00:00,19.97,58.28,102.78,0.5,142.53,,,,6.53,1.03,20.99,59.73,,,,,,0.1,01-Nov-2018 - 00:00,991.19,"MD University, Rohtak - HSPCB"
01-Nov-2018 - 00:00,20.38,58.78,104.53,0.73,83.2,,,,7.09,1.76,21.25,,,,,,,0.1,02-Nov-2018 - 00:00,989.94,"MD University, Rohtak - HSPCB"
02-Nov-2018 - 00:00,19.95,58.4,100.55,1.47,53.29,,,,6.61,0.99,21.63,89.35,,,,,,0.1,03-Nov-2018 - 00:00,988.06,"MD University, Rohtak - HSPCB"
03-Nov-2018 - 00:00,18.19,58.74,91.23,2.31,56.54,,,,9.83,0.93,22.22,153.38,,,,,,0.1,04-Nov-2018 - 00:00,986.97,"MD University, Rohtak - HSPCB"
04-Nov-2018 - 00:00,18.14,61.37,98.38,3.01,132.12,,,,8.68,0.93,22.07,93.7,,,,,,0.1,05-Nov-2018 - 00:00,989.43,"MD University, Rohtak - HSPCB"
05-Nov-2018 - 00:00,14.63,62.35,14.84,2.6,167.35,6.85,13.27,11.67,13.43,0.66,22.31,128.84,3.55,5.11,3.26,3.78,3.6,0.11,06-Nov-2018 - 00:00,988.74,"MD University, Rohtak - HSPCB"
06-Nov-2018 - 00:00,16.49,56.48,119.1,0.88,186.17,10.0,18.94,15.99,22.59,0.48,22.1,85.77,1.96,3.61,1.85,2.41,2.22,0.13,07-Nov-2018 - 00:00,990.34,"MD University, Rohtak - HSPCB"
07-Nov-2018 - 00:00,16.15,56.82,113.65,0.82,171.91,9.61,20.24,15.72,25.05,1.07,24.82,107.66,2.04,3.69,1.93,2.49,2.3,0.13,08-Nov-2018 - 00:00,990.83,"MD University, Rohtak - HSPCB"
08-Nov-2018 - 00:00,15.29,59.66,86.89,0.95,191.09,11.18,27.47,15.81,29.88,0.86,29.23,192.49,2.08,3.73,1.97,2.53,2.34,0.09,09-Nov-2018 - 00:00,991.08,"MD University, Rohtak - HSPCB"
09-Nov-2018 - 00:00,14.5,62.6,123.98,0.57,161.87,10.41,27.13,16.31,12.36,1.54,27.19,168.02,1.93,3.58,1.82,2.38,2.19,0.1,10-Nov-2018 - 00:00,990.17,"MD University, Rohtak - HSPCB"
10-Nov-2018 - 00:00,19.1,59.77,112.16,0.78,184.85,8.28,25.66,15.24,15.48,0.64,25.42,77.92,1.66,3.16,1.31,2.07,1.89,-0.7,11-Nov-2018 - 00:00,989.53,"MD University, Rohtak - HSPCB"
11-Nov-2018 - 00:00,17.88,61.33,100.57,0.84,188.41,7.77,25.35,15.24,13.76,0.79,25.59,66.61,1.92,3.57,1.81,2.37,2.18,0.06,12-Nov-2018 - 00:00,990.09,"MD University, Rohtak - HSPCB"
12-Nov-2018 - 00:00,18.22,62.43,93.1,0.88,216.62,9.2,24.33,16.45,17.05,0.87,24.63,66.81,1.59,3.22,1.48,2.04,1.85,0.05,13-Nov-2018 - 00:00,988.23,"MD University, Rohtak - HSPCB"
13-Nov-2018 - 00:00,18.89,62.79,83.69,0.52,205.43,6.43,18.63,19.08,17.26,0.96,17.87,55.81,1.23,2.88,1.12,1.68,1.49,0.03,14-Nov-2018 - 00:00,985.98,"MD University, Rohtak - HSPCB"
14-Nov-2018 - 00:00,19.18,60.07,104.36,0.47,193.03,5.89,18.33,9.35,17.96,1.19,2.74,39.37,1.33,2.98,1.22,1.78,1.59,0.03,15-Nov-2018 - 00:00,986.56,"MD University, Rohtak - HSPCB"
15-Nov-2018 - 00:00,18.09,61.94,95.66,0.84,196.74,6.47,18.89,7.76,17.34,1.73,7.69,35.42,1.98,3.61,1.87,2.43,2.24,0.1,16-Nov-2018 - 00:00,990.61,"MD University, Rohtak - HSPCB"
16-Nov-2018 - 00:00,16.57,59.42,119.14,0.8,179.42,6.02,18.43,19.16,15.79,1.2,16.41,31.4,1.9,3.55,1.79,2.35,2.16,0.13,17-Nov-2018 - 00:00,990.0,"MD University, Rohtak - HSPCB"
17-Nov-2018 - 00:00,16.2,61.86,100.14,0.53,174.01,6.15,20.62,17.58,21.49,2.32,17.02,27.24,1.45,2.94,1.35,1.85,1.68,0.09,18-Nov-2018 - 00:00,988.2,"MD University, Rohtak - HSPCB"
18-Nov-2018 - 00:00,17.47,60.89,108.08,0.58,177.12,6.26,22.6,18.83,16.27,1.14,19.67,66.22,1.67,3.28,1.56,2.11,1.92,0.02,19-Nov-2018 - 00:00,988.81,"MD University, Rohtak - HSPCB"
19-Nov-2018 - 00:00,18.54,60.7,85.63,0.4,143.16,6.13,22.56,19.41,17.37,0.88,21.6,71.26,2.03,3.68,1.92,2.48,2.29,0.05,20-Nov-2018 - 00:00,990.77,"MD University, Rohtak - HSPCB"
20-Nov-2018 - 00:00,18.51,61.92,100.04,0.84,179.43,5.79,22.32,19.38,18.08,1.14,19.56,37.01,2.19,3.84,2.08,2.64,2.45,0.12,21-Nov-2018 - 00:00,991.76,"MD University, Rohtak - HSPCB"
21-Nov-2018 - 00:00,17.56,60.08,109.66,1.01,171.19,7.21,23.34,19.61,14.77,1.55,18.76,53.74,2.27,3.92,2.16,2.72,2.53,0.15,22-Nov-2018 - 00:00,992.23,"MD University, Rohtak - HSPCB"
22-Nov-2018 - 00:00,17.48,60.22,98.68,0.93,166.43,11.25,26.17,20.2,13.84,1.39,16.76,62.58,2.32,3.93,2.21,2.76,2.57,0.09,23-Nov-2018 - 00:00,992.76,"MD University, Rohtak - HSPCB"
23-Nov-2018 - 00:00,17.97,60.26,90.88,1.27,184.67,6.46,22.82,14.04,18.54,1.09,13.68,86.01,2.62,4.27,2.51,3.07,2.88,0.17,24-Nov-2018 - 00:00,994.3,"MD University, Rohtak - HSPCB"
24-Nov-2018 - 00:00,17.46,60.3,111.0,1.09,172.09,11.3,22.72,3.14,15.95,1.26,10.59,62.6,2.36,4.01,2.25,2.81,2.62,0.16,25-Nov-2018 - 00:00,992.73,"MD University, Rohtak - HSPCB"
25-Nov-2018 - 00:00,16.89,60.59,106.52,1.05,172.33,,,0.0,10.99,1.02,4.8,105.75,2.31,3.96,2.2,2.76,2.57,0.15,26-Nov-2018 - 00:00,992.48,"MD University, Rohtak - HSPCB"
26-Nov-2018 - 00:00,17.11,61.6,101.02,1.03,183.52,17.7,22.15,1.7,11.87,1.45,8.69,134.6,2.11,3.73,2.01,2.55,2.37,0.13,27-Nov-2018 - 00:00,991.56,"MD University, Rohtak - HSPCB"
27-Nov-2018 - 00:00,17.49,62.06,95.5,0.62,134.33,25.15,40.78,12.33,15.63,1.03,13.16,50.51,2.38,4.03,2.27,2.83,2.64,0.11,28-Nov-2018 - 00:00,992.88,"MD University, Rohtak - HSPCB"
28-Nov-2018 - 00:00,18.0,63.06,90.99,0.74,139.64,7.46,28.77,16.79,23.12,1.24,43.54,56.55,2.5,4.14,2.39,2.95,2.76,0.1,29-Nov-2018 - 00:00,993.79,"MD University, Rohtak - HSPCB"
29-Nov-2018 - 00:00,16.79,64.25,82.37,1.21,162.79,,,0.0,19.97,1.08,29.69,76.74,2.44,3.97,2.34,2.86,2.68,0.15,30-Nov-2018 - 00:00,994.39,"MD University, Rohtak - HSPCB"
30-Nov-2018 - 00:00,16.33,63.32,94.23,1.1,158.16,,,0.0,22.25,1.13,19.45,68.74,2.57,4.22,2.46,3.02,2.83,0.16,01-Dec-2018 - 00:00,994.01,"MD University, Rohtak - HSPCB"
01-Dec-2018 - 00:00,15.52,62.01,99.82,0.87,169.14,,,0.0,19.26,1.05,21.08,67.99,2.11,3.74,2.0,2.55,2.37,0.13,02-Dec-2018 - 00:00,991.39,"MD University, Rohtak - HSPCB"
02-Dec-2018 - 00:00,14.65,61.76,103.75,0.69,169.49,,,0.0,19.68,1.18,19.64,61.22,1.91,3.47,1.8,2.33,2.15,0.1,03-Dec-2018 - 00:00,990.62,"MD University, Rohtak - HSPCB"
03-Dec-2018 - 00:00,14.96,61.08,96.85,1.02,181.4,,,0.0,18.75,0.81,25.54,101.59,2.13,3.74,2.02,2.57,2.38,0.09,04-Dec-2018 - 00:00,991.56,"MD University, Rohtak - HSPCB"
04-Dec-2018 - 00:00,14.37,62.21,95.54,1.05,169.79,,,0.0,13.61,1.21,18.6,110.83,2.44,4.09,2.33,2.89,2.7,0.15,05-Dec-2018 - 00:00,993.23,"MD University, Rohtak - HSPCB"
05-Dec-2018 - 00:00,11.2,66.18,85.65,0.91,154.69,0.21,0.13,0.35,14.0,1.61,14.15,34.94,2.28,3.9,2.17,2.72,2.53,0.14,06-Dec-2018 - 00:00,992.53,"MD University, Rohtak - HSPCB"
06-Dec-2018 - 00:00,20.1,58.41,318.14,0.66,177.49,2.02,1.62,1.92,9.9,0.78,97.86,49.99,0.04,0.08,0.04,0.05,0.05,-1.64,07-Dec-2018 - 00:00,989.7,"MD University, Rohtak - HSPCB"
07-Dec-2018 - 00:00,14.79,62.11,60.0,0.86,179.87,,,0.0,12.53,1.79,23.4,86.57,1.74,3.18,1.77,2.13,1.97,0.06,08-Dec-2018 - 00:00,990.53,"MD University, Rohtak - HSPCB"
08-Dec-2018 - 00:00,12.87,63.39,84.96,1.16,190.65,,,0.0,16.61,1.43,20.53,64.9,2.24,3.89,2.13,2.69,2.5,0.13,09-Dec-2018 - 00:00,992.01,"MD University, Rohtak - HSPCB"
09-Dec-2018 - 00:00,13.16,60.59,87.21,1.02,192.32,,,0.0,17.5,1.13,19.95,73.95,2.06,3.71,1.95,2.51,2.32,0.1,10-Dec-2018 - 00:00,990.94,"MD University, Rohtak - HSPCB"
10-Dec-2018 - 00:00,13.26,62.98,73.78,0.65,179.67,,,0.0,16.17,0.76,23.4,107.18,1.94,3.59,1.83,2.39,2.2,0.02,11-Dec-2018 - 00:00,990.21,"MD University, Rohtak - HSPCB"
11-Dec-2018 - 00:00,13.15,63.54,68.48,0.53,179.29,,,0.0,15.88,1.18,21.94,116.93,2.1,3.75,1.99,2.55,2.36,0.05,12-Dec-2018 - 00:00,991.2,"MD University, Rohtak - HSPCB"
12-Dec-2018 - 00:00,12.21,65.66,56.87,0.89,197.95,,,0.0,15.62,1.04,17.22,72.07,2.38,4.03,2.27,2.83,2.64,0.1,13-Dec-2018 - 00:00,992.85,"MD University, Rohtak - HSPCB"
13-Dec-2018 - 00:00,11.93,65.48,87.06,1.28,192.64,,,0.0,16.83,1.29,21.34,34.07,2.92,4.57,2.81,3.37,3.18,0.18,14-Dec-2018 - 00:00,996.1,"MD University, Rohtak - HSPCB"
14-Dec-2018 - 00:00,11.46,65.51,98.95,1.62,173.14,,,0.0,17.56,0.89,20.54,53.09,3.29,4.94,3.18,3.74,3.55,0.21,15-Dec-2018 - 00:00,998.32,"MD University, Rohtak - HSPCB"
15-Dec-2018 - 00:00,12.41,62.55,98.7,1.55,183.05,,,0.0,9.68,1.03,23.84,60.46,3.2,4.85,3.09,3.65,3.46,0.21,16-Dec-2018 - 00:00,997.78,"MD University, Rohtak - HSPCB"
16-Dec-2018 - 00:00,11.66,62.56,101.72,1.52,176.77,,,0.0,11.17,0.87,20.96,68.82,3.25,4.9,3.14,3.7,3.51,0.21,17-Dec-2018 - 00:00,998.12,"MD University, Rohtak - HSPCB"
17-Dec-2018 - 00:00,11.46,61.6,101.3,1.32,186.39,,,0.0,12.91,1.1,24.17,68.91,3.03,4.68,2.92,3.48,3.29,0.19,18-Dec-2018 - 00:00,996.79,"MD University, Rohtak - HSPCB"
18-Dec-2018 - 00:00,10.97,62.45,98.35,1.32,172.13,,,0.0,11.09,0.77,23.45,76.32,2.78,4.43,2.67,3.23,3.04,0.18,19-Dec-2018 - 00:00,995.28,"MD University, Rohtak - HSPCB"
19-Dec-2018 - 00:00,10.02,62.19,96.23,1.18,173.36,,,0.0,10.22,0.87,20.11,95.3,2.59,4.24,2.48,3.04,2.85,0.16,20-Dec-2018 - 00:00,994.12,"MD University, Rohtak - HSPCB"
20-Dec-2018 - 00:00,9.47,66.6,98.31,1.05,172.12,,,0.0,9.44,1.05,14.16,65.41,2.62,4.26,2.51,3.07,2.88,0.15,21-Dec-2018 - 00:00,994.51,"MD University, Rohtak - HSPCB"
21-Dec-2018 - 00:00,,72.2,95.79,0.97,169.26,,,0.0,9.81,1.31,14.58,82.77,2.48,4.13,2.37,2.93,2.74,0.14,22-Dec-2018 - 00:00,993.49,"MD University, Rohtak - HSPCB"
22-Dec-2018 - 00:00,,72.68,91.34,0.88,171.17,,,0.0,9.61,1.21,13.57,106.04,2.52,4.17,2.41,2.97,2.78,0.1,23-Dec-2018 - 00:00,993.74,"MD University, Rohtak - HSPCB"
23-Dec-2018 - 00:00,,73.01,86.24,0.57,157.11,,,0.0,10.29,1.05,14.49,121.97,2.62,4.27,2.51,3.07,2.88,0.09,24-Dec-2018 - 00:00,994.31,"MD University, Rohtak - HSPCB"
24-Dec-2018 - 00:00,,73.21,86.96,1.12,206.18,,,0.0,9.82,1.13,10.96,113.08,2.52,4.17,2.41,2.97,2.78,0.14,25-Dec-2018 - 00:00,993.74,"MD University, Rohtak - HSPCB"
25-Dec-2018 - 00:00,,73.74,87.7,0.89,166.7,,,0.0,10.13,1.09,13.64,88.34,2.49,4.14,2.38,2.94,2.75,0.14,26-Dec-2018 - 00:00,993.53,"MD University, Rohtak - HSPCB"
26-Dec-2018 - 00:00,,72.87,94.94,0.69,165.72,,,0.0,9.98,1.34,12.24,85.76,2.2,3.85,2.09,2.65,2.46,0.1,27-Dec-2018 - 00:00,991.78,"MD University, Rohtak - HSPCB"
27-Dec-2018 - 00:00,,73.08,87.46,0.82,188.37,,,0.0,10.08,,10.35,97.32,2.38,4.03,2.27,2.83,2.64,0.1,28-Dec-2018 - 00:00,992.89,"MD University, Rohtak - HSPCB"
28-Dec-2018 - 00:00,,72.78,91.87,1.05,177.67,,,0.0,9.88,,11.01,78.54,2.48,4.13,2.37,2.93,2.74,0.15,29-Dec-2018 - 00:00,993.5,"MD University, Rohtak - HSPCB"
29-Dec-2018 - 00:00,,69.02,98.63,1.14,178.01,,,0.0,9.02,0.0,11.38,92.81,2.83,4.48,2.72,3.28,3.09,0.15,30-Dec-2018 - 00:00,995.57,"MD University, Rohtak - HSPCB"
30-Dec-2018 - 00:00,,52.6,96.5,0.94,170.84,,,0.0,9.74,0.0,11.57,99.62,3.12,4.77,3.01,3.57,3.38,0.15,31-Dec-2018 - 00:00,997.33,"MD University, Rohtak - HSPCB"
31-Dec-2018 - 00:00,,54.5,14.39,0.65,287.0,,,0.0,10.8,0.99,13.63,115.96,3.36,5.02,3.25,3.81,3.62,0.14,01-Jan-2019 - 00:00,998.8,"MD University, Rohtak - HSPCB"
