from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,AT,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
07-Dec-2018 - 00:00,13.43,0.24,21.79,50.62,0.0,0.0,0.0,0.0,,45.5,-0.24,758.25,36.13,0.0,0.0,0.16,196.86,56.93,14.69,22.22,08-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Dec-2018 - 00:00,21.77,0.85,34.38,41.18,0.0,0.0,0.0,0.0,,45.54,-0.08,758.31,74.46,0.0,0.0,0.16,176.89,92.44,23.18,44.8,09-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Dec-2018 - 00:00,12.65,0.59,27.7,79.39,0.0,0.0,0.0,0.0,,45.14,-0.18,757.71,68.36,0.0,0.0,0.15,177.63,114.61,23.95,97.32,10-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Dec-2018 - 00:00,9.26,0.5,26.69,93.93,0.0,0.0,0.0,0.0,,44.81,-0.11,757.21,98.74,0.0,0.0,0.16,141.26,49.54,20.47,44.34,11-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Dec-2018 - 00:00,11.9,0.32,60.68,9.4,0.0,0.0,0.0,0.0,,44.46,0.04,756.7,169.36,0.0,0.0,0.42,125.79,8.64,9.49,4.88,12-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Dec-2018 - 00:00,9.18,0.6,36.5,72.99,0.0,0.0,0.0,0.0,,46.22,0.13,759.34,115.66,0.0,0.0,0.52,118.65,10.6,8.49,7.21,13-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Dec-2018 - 00:00,9.14,0.74,26.57,62.42,0.0,0.0,0.0,0.0,,48.52,-0.01,762.78,84.66,0.0,0.0,0.28,217.78,9.57,4.6,4.47,14-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Dec-2018 - 00:00,5.05,0.51,30.22,53.27,0.0,0.0,0.0,0.0,,50.15,-0.02,765.22,85.79,0.0,0.0,0.28,284.64,9.67,21.48,16.25,15-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Dec-2018 - 00:00,0.76,0.48,32.47,63.07,0.0,0.0,0.0,0.0,,49.96,-0.06,764.94,84.45,0.0,0.0,0.24,259.52,18.94,44.58,38.41,16-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Dec-2018 - 00:00,6.13,0.57,33.62,60.69,0.0,0.0,0.0,0.0,,50.15,-0.1,765.22,84.91,0.0,0.0,0.21,244.93,28.43,47.83,47.79,17-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Dec-2018 - 00:00,8.33,0.51,27.01,89.18,0.0,0.0,0.0,0.0,,49.33,-0.12,763.99,83.76,0.0,0.0,0.2,226.95,92.41,77.47,113.68,18-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Dec-2018 - 00:00,8.31,0.51,34.91,50.06,0.0,0.0,0.0,0.0,,48.29,-0.08,762.43,83.97,0.0,0.0,0.23,241.54,38.18,59.3,61.27,19-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Dec-2018 - 00:00,14.85,0.49,34.31,77.61,0.0,0.0,0.0,0.0,,47.62,-0.13,761.43,85.19,0.0,0.0,0.19,220.56,85.17,80.15,110.11,20-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Dec-2018 - 00:00,11.96,0.5,31.9,112.3,0.0,0.0,0.0,0.0,,47.86,-0.15,761.79,81.0,0.0,0.0,0.18,181.77,193.45,147.73,198.38,21-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Dec-2018 - 00:00,11.49,0.45,31.86,83.89,0.0,0.0,0.0,0.0,,47.25,-0.13,760.87,83.54,0.0,0.0,0.2,218.24,159.35,106.6,181.76,22-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Dec-2018 - 00:00,9.61,0.52,27.81,102.63,0.0,0.0,0.0,0.0,,47.37,-0.17,761.07,84.91,0.0,0.0,0.16,144.14,171.5,122.21,201.38,23-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Dec-2018 - 00:00,9.59,0.52,34.86,127.66,0.0,0.0,0.0,0.0,,47.71,-0.12,761.58,83.62,0.0,0.0,0.19,138.56,117.18,87.5,139.53,24-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Dec-2018 - 00:00,13.89,0.57,28.42,111.36,0.0,0.0,0.0,0.0,,47.19,-0.14,760.78,80.85,0.0,0.0,0.2,184.93,210.49,118.87,223.98,25-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Dec-2018 - 00:00,7.9,0.32,28.93,147.49,0.0,0.0,0.0,0.0,,47.18,-0.05,760.77,79.78,0.0,0.0,0.28,235.61,37.31,46.86,54.32,26-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Dec-2018 - 00:00,9.56,0.3,28.19,148.91,0.0,0.0,0.0,0.0,,46.18,-0.14,759.28,87.69,0.0,0.0,0.18,206.16,118.19,78.59,135.73,27-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Dec-2018 - 00:00,16.25,0.3,27.17,177.71,0.0,0.0,0.0,0.0,,46.77,-0.12,760.16,83.24,0.0,0.0,0.21,215.92,109.6,74.22,126.65,28-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Dec-2018 - 00:00,5.15,1.68,35.15,184.73,0.0,0.01,0.0,0.0,,47.33,-0.0,760.98,85.87,0.0,0.0,0.33,252.05,44.63,42.87,58.17,29-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Dec-2018 - 00:00,10.11,5.3,30.33,208.6,0.0,0.0,0.0,0.0,,48.74,-0.09,763.11,87.99,0.0,0.0,0.23,229.09,105.96,81.97,111.6,30-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Dec-2018 - 00:00,36.58,2.65,26.6,464.54,0.0,0.0,0.0,0.0,,49.9,-0.17,764.84,79.35,0.0,0.0,0.15,168.54,219.98,147.1,231.36,31-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Dec-2018 - 00:00,45.12,6.41,11.0,,0.0,0.0,0.0,0.0,,50.92,-0.24,766.4,10.4,0.0,0.0,0.13,172.78,,296.26,,01-Jan-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
