from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
08-Mar-2018 - 00:00,0.0,16.55,85.97,60.26,102.7,40.21,0.42,183.01,28.83,52.72,734.55,148.2,0.0,-0.14,7.57,24.53,1.82,113.25,24.37,09-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Mar-2018 - 00:00,0.0,20.8,96.55,55.44,107.85,41.56,0.88,249.12,28.86,50.18,734.5,150.6,0.0,-0.21,8.4,26.93,1.63,120.62,25.15,10-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Mar-2018 - 00:00,0.0,15.05,42.54,51.38,64.14,53.31,1.72,263.39,28.91,47.11,733.39,166.87,0.0,-0.29,4.9,17.39,1.16,63.39,25.33,11-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Mar-2018 - 00:00,0.0,15.34,28.48,44.34,46.74,43.43,0.98,262.65,27.17,49.74,732.42,159.72,0.0,-0.23,3.95,10.67,0.0,77.25,25.19,12-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Mar-2018 - 00:00,0.0,16.1,46.22,56.08,67.24,35.94,1.21,260.14,28.93,48.16,732.45,161.87,0.0,-0.24,4.95,14.55,0.67,91.0,26.25,13-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Mar-2018 - 00:00,0.0,20.5,56.75,54.91,76.27,33.55,0.82,221.02,28.59,46.17,730.83,159.06,0.0,-0.18,6.32,20.49,1.05,117.12,27.58,14-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Mar-2018 - 00:00,0.0,25.08,76.66,48.5,87.91,29.0,0.59,179.68,28.27,44.37,728.95,138.55,0.0,-0.14,8.9,26.2,2.56,146.92,26.89,15-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Mar-2018 - 00:00,0.0,15.4,40.55,47.91,58.24,23.84,1.55,216.39,28.85,47.06,729.03,141.03,0.0,-0.24,7.1,17.36,1.65,105.54,26.0,16-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Mar-2018 - 00:00,0.0,18.52,53.1,52.21,71.79,33.99,1.15,247.28,28.46,48.09,730.29,140.77,0.0,-0.23,6.13,18.16,1.21,94.79,25.25,17-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Mar-2018 - 00:00,0.0,15.04,33.81,55.86,57.18,44.24,2.36,268.68,27.99,44.79,731.59,177.71,0.0,-0.33,4.48,12.66,0.71,66.74,24.53,18-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
