from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
16-Mar-2018 - 00:00,21.84,6.25,742.99,1.28,32.41,59.15,74.5,143.14,47.61,234.17,96.75,4.41,45.35,30.82,111.58,227.73,0.73,-0.14,16.88,17-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Mar-2018 - 00:00,18.74,7.59,742.97,1.0,31.9,22.4,60.55,80.02,35.77,235.24,132.04,2.02,48.44,32.9,124.34,223.68,0.79,-0.17,7.12,18-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Mar-2018 - 00:00,25.97,2.78,742.97,1.04,24.63,14.39,59.37,74.65,82.11,137.43,52.23,2.28,26.61,27.71,179.19,228.72,1.08,-0.18,13.44,19-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Mar-2018 - 00:00,23.03,5.35,742.96,1.32,28.03,60.21,81.13,151.94,50.49,204.33,92.87,7.14,38.48,35.75,121.03,230.25,0.73,-0.14,16.69,20-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Mar-2018 - 00:00,24.34,31.03,742.99,1.95,30.81,129.01,92.45,220.32,59.39,251.92,107.48,37.52,39.85,37.14,121.22,208.69,0.59,-0.12,40.16,21-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Mar-2018 - 00:00,23.96,41.19,742.99,1.22,34.49,43.05,70.67,119.13,51.51,258.92,122.17,16.84,43.41,49.64,114.55,207.26,0.79,-0.13,25.12,22-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Mar-2018 - 00:00,22.31,19.82,742.99,0.86,31.97,9.07,52.95,61.37,62.62,152.62,71.71,5.02,47.53,44.25,100.97,221.59,0.6,-0.12,26.45,23-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Mar-2018 - 00:00,21.77,17.53,742.96,0.9,29.65,10.62,49.2,59.08,66.09,143.42,70.0,3.98,46.52,31.8,131.28,236.22,0.69,-0.16,28.86,24-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Mar-2018 - 00:00,23.55,27.99,742.94,0.88,31.64,13.54,53.54,63.45,71.25,182.21,87.65,4.7,43.41,39.59,129.82,229.84,0.66,-0.14,23.84,25-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Mar-2018 - 00:00,23.78,17.45,742.98,0.89,30.33,4.82,51.96,53.46,77.79,183.42,95.13,4.25,43.06,35.76,130.82,232.31,0.79,-0.17,19.41,26-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Mar-2018 - 00:00,24.18,32.28,742.98,1.54,29.23,50.75,72.93,116.62,64.61,220.25,113.13,3.54,40.94,46.03,133.16,222.67,0.68,-0.16,21.67,27-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Mar-2018 - 00:00,25.49,41.47,742.97,1.95,26.86,77.47,89.78,136.62,51.32,256.46,118.18,3.15,33.07,52.08,135.15,207.03,0.68,-0.15,28.87,28-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Mar-2018 - 00:00,27.0,50.0,742.98,1.37,28.98,89.84,68.84,140.18,50.02,230.42,97.95,4.48,32.96,34.87,134.35,223.16,0.74,-0.13,35.86,29-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Mar-2018 - 00:00,26.45,25.55,742.97,1.2,28.35,28.36,65.27,97.94,65.53,210.12,91.39,4.01,32.69,36.24,136.35,226.55,0.93,-0.16,23.4,30-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Mar-2018 - 00:00,26.66,35.71,742.92,1.51,29.24,44.49,83.23,133.57,65.88,248.54,112.22,7.26,31.97,32.25,139.52,225.27,1.17,-0.2,38.86,31-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
