from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
22-Feb-2018 - 00:00,18.55,17.0,3.33,1.4,2.42,75.26,100.91,87.21,127.57,29.36,,,256.11,27.91,201.0,0.77,43.54,23-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Feb-2018 - 00:00,16.0,14.03,0.52,0.79,2.31,62.63,59.13,60.96,101.27,56.86,239.89,63.05,235.18,27.67,222.52,0.79,25.4,24-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Feb-2018 - 00:00,15.01,21.56,4.33,1.3,2.77,47.09,145.16,91.94,134.4,27.5,295.81,76.7,225.28,28.07,204.88,0.77,35.19,25-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Feb-2018 - 00:00,12.25,21.15,3.75,1.18,2.27,71.14,70.05,70.85,111.74,31.44,256.77,68.08,246.15,29.52,166.61,0.69,61.21,26-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Feb-2018 - 00:00,13.45,19.08,6.18,1.5,2.43,68.1,85.08,76.43,120.91,41.53,253.83,68.14,247.26,29.07,194.04,0.74,63.67,27-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Feb-2018 - 00:00,13.21,19.7,3.98,1.56,2.52,78.68,112.74,94.08,140.19,43.8,251.59,67.1,242.27,28.9,205.46,0.78,63.34,28-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Feb-2018 - 00:00,14.23,20.4,6.9,1.75,2.93,77.03,125.25,99.62,151.17,37.48,294.63,76.75,226.03,29.09,182.63,0.74,69.57,01-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Mar-2018 - 00:00,18.07,20.35,7.66,1.78,3.15,75.46,150.21,110.21,166.06,37.94,381.26,94.75,237.63,28.21,199.63,0.81,54.49,02-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Mar-2018 - 00:00,17.34,14.58,4.15,0.92,2.91,60.99,43.8,52.42,116.31,27.31,314.72,79.87,218.8,28.66,214.85,0.81,28.65,03-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Mar-2018 - 00:00,13.28,13.53,4.49,0.68,2.32,67.24,41.78,54.91,113.66,35.1,219.36,82.06,230.36,28.93,204.18,0.94,26.35,04-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Mar-2018 - 00:00,10.02,9.48,13.88,0.6,1.81,81.5,35.52,59.56,118.48,31.21,178.34,42.51,244.78,28.53,196.96,1.14,36.96,05-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Mar-2018 - 00:00,9.61,14.17,21.33,0.62,1.82,91.78,74.71,82.99,145.49,35.07,210.3,46.22,250.58,28.53,226.95,1.19,39.14,06-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
