from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
04-Mar-2018 - 00:00,43.67,102.62,37.75,157.39,28.61,716.84,219.36,-0.09,1.64,0.0,0.85,80.31,47.56,1.34,26.89,16.03,7.11,6.33,15.87,7.19,05-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
05-Mar-2018 - 00:00,38.07,103.91,38.08,162.23,29.8,716.81,184.35,-0.09,1.91,0.0,1.24,74.45,44.96,1.33,25.51,16.19,7.46,6.25,13.19,7.57,06-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
06-Mar-2018 - 00:00,39.72,97.51,37.76,159.09,28.55,716.94,216.34,-0.08,2.0,0.0,0.81,84.63,38.14,1.31,21.78,15.95,8.77,5.18,16.74,5.56,07-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
07-Mar-2018 - 00:00,36.04,94.17,38.59,164.01,29.3,717.04,198.45,-0.08,2.38,0.0,1.02,80.43,41.21,1.57,23.69,16.48,5.59,4.78,13.86,6.19,08-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
08-Mar-2018 - 00:00,39.73,97.24,38.99,163.48,29.47,716.95,176.01,-0.08,1.96,0.0,1.04,71.21,46.67,1.38,26.44,17.52,6.56,5.69,16.72,6.71,09-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
09-Mar-2018 - 00:00,47.5,123.31,42.96,159.35,28.8,717.1,173.22,-0.08,1.66,0.0,1.05,62.61,65.94,2.39,37.79,20.05,2.86,6.63,13.79,8.61,10-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
10-Mar-2018 - 00:00,57.46,126.22,46.91,136.64,29.28,717.19,192.57,-0.06,1.76,0.0,1.06,79.82,46.62,1.46,26.53,24.04,6.24,7.54,18.38,7.54,11-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
11-Mar-2018 - 00:00,44.02,99.07,44.62,147.28,28.67,716.81,209.71,-0.08,2.22,0.0,0.86,84.18,34.72,1.27,19.89,19.57,4.57,4.99,12.55,5.19,12-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
12-Mar-2018 - 00:00,32.08,123.69,44.07,138.28,29.37,717.04,195.16,-0.08,1.93,0.0,0.53,62.5,50.92,1.63,29.01,17.34,2.44,5.59,12.56,7.21,13-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
13-Mar-2018 - 00:00,31.83,84.83,43.45,165.1,30.23,717.05,214.76,-0.06,1.85,0.0,0.96,62.63,50.16,1.54,28.48,18.47,3.79,5.91,12.83,7.33,14-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
14-Mar-2018 - 00:00,37.58,95.89,43.51,168.69,31.32,716.52,228.32,-0.06,1.82,0.0,0.92,74.51,50.12,1.91,28.74,19.65,4.19,6.43,18.7,7.47,15-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
15-Mar-2018 - 00:00,43.25,104.67,44.11,84.51,29.92,716.97,252.24,-0.1,1.64,0.0,1.01,69.79,49.54,6.48,32.27,20.67,6.75,5.95,13.27,6.94,16-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
16-Mar-2018 - 00:00,52.32,137.66,56.54,76.75,29.29,718.73,136.36,0.14,2.56,0.0,1.06,64.16,45.82,1.9,26.41,26.83,15.21,8.04,25.19,6.5,17-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
17-Mar-2018 - 00:00,43.88,78.0,63.53,150.95,29.56,718.5,181.44,-0.01,2.03,0.0,1.0,68.61,38.98,1.65,22.49,26.11,1.96,5.46,10.62,11.09,18-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
18-Mar-2018 - 00:00,32.96,66.94,59.45,179.8,28.32,717.73,218.5,-0.06,1.74,0.0,0.79,53.73,42.86,1.72,24.71,22.78,1.41,4.45,9.03,5.06,19-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
19-Mar-2018 - 00:00,35.92,82.93,47.16,173.22,30.24,717.1,219.59,-0.05,1.47,0.0,1.14,68.08,55.63,2.14,31.94,22.46,2.43,14.95,13.43,7.37,20-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
20-Mar-2018 - 00:00,45.23,95.33,37.43,99.9,27.09,682.05,178.5,0.04,1.35,0.01,1.14,69.76,63.29,6.64,39.37,40.02,1.95,3.93,6.67,6.79,21-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
21-Mar-2018 - 00:00,50.11,113.29,43.55,135.79,27.41,715.61,179.24,0.02,1.24,0.0,0.89,70.83,58.45,4.48,35.41,18.1,9.41,6.87,20.69,9.43,22-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
22-Mar-2018 - 00:00,58.45,151.58,43.53,176.64,27.64,715.96,136.01,0.09,1.57,0.0,0.72,47.99,72.39,9.22,46.96,20.69,16.29,10.03,28.35,12.37,23-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
23-Mar-2018 - 00:00,49.29,152.04,37.83,183.23,28.61,715.69,132.85,0.08,1.28,0.0,0.84,50.12,82.75,9.25,52.63,20.53,16.19,14.56,46.07,17.29,24-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
24-Mar-2018 - 00:00,54.96,155.09,37.97,178.0,28.46,715.58,121.16,0.08,1.23,0.0,0.9,60.67,85.02,5.4,50.66,21.47,15.85,12.56,40.8,17.51,25-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
25-Mar-2018 - 00:00,64.41,146.39,53.02,161.29,27.77,715.82,167.4,0.06,1.46,0.0,0.68,70.17,55.32,1.73,31.47,28.52,8.54,8.9,22.77,13.27,26-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
26-Mar-2018 - 00:00,51.35,123.4,52.89,158.83,27.6,715.79,213.62,0.07,1.33,0.0,0.61,73.35,43.54,1.49,24.86,22.26,4.39,8.43,17.21,9.55,27-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
27-Mar-2018 - 00:00,48.43,116.96,42.61,173.94,27.55,715.29,214.93,0.04,1.47,0.0,0.48,84.01,43.58,1.08,24.56,16.59,7.23,6.46,14.15,7.95,28-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
28-Mar-2018 - 00:00,41.85,109.16,41.26,174.57,27.8,714.98,259.34,0.0,1.6,0.0,0.56,81.96,45.04,2.51,26.53,15.07,11.55,6.34,14.79,8.14,29-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
29-Mar-2018 - 00:00,47.57,124.47,45.69,170.25,28.19,714.79,182.9,0.04,1.2,0.0,0.62,78.03,50.26,2.45,29.32,17.34,7.32,8.24,22.23,9.76,30-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
30-Mar-2018 - 00:00,43.6,109.33,47.77,165.85,28.34,714.76,207.73,0.05,1.54,0.0,0.58,74.8,40.35,1.28,22.98,18.0,4.76,6.15,13.88,7.62,31-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
31-Mar-2018 - 00:00,42.01,110.1,47.66,139.05,28.11,715.35,242.31,0.02,1.63,0.0,0.59,82.08,40.78,1.49,23.38,16.17,6.2,6.16,13.14,6.8,01-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
01-Apr-2018 - 00:00,34.36,84.15,58.14,145.17,27.64,716.06,210.72,0.02,2.62,0.0,0.36,74.98,30.15,1.37,17.46,20.45,2.68,3.67,7.19,4.85,02-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
02-Apr-2018 - 00:00,32.06,79.72,61.2,162.07,28.08,716.9,235.08,0.04,1.78,0.21,0.6,59.03,51.86,9.41,35.97,17.27,1.11,5.48,11.97,13.95,03-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
03-Apr-2018 - 00:00,43.0,100.19,57.09,189.26,28.37,715.6,228.48,0.03,1.56,0.0,0.5,60.86,44.9,3.45,27.26,23.33,2.85,4.83,10.23,18.33,04-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
04-Apr-2018 - 00:00,38.43,98.94,51.32,165.36,27.65,715.46,234.53,0.01,1.46,0.0,0.67,65.52,47.79,3.03,28.47,19.05,4.1,4.61,8.33,7.11,05-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
05-Apr-2018 - 00:00,35.41,94.6,57.54,131.64,27.87,716.25,234.15,0.0,2.09,0.0,0.46,58.11,42.82,1.7,24.67,18.64,1.86,5.19,11.06,5.73,06-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
06-Apr-2018 - 00:00,40.91,110.35,53.23,159.2,27.33,715.81,226.56,0.09,2.17,0.29,0.54,68.46,48.62,4.34,30.02,16.3,2.82,6.67,16.94,8.47,07-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
07-Apr-2018 - 00:00,22.57,69.42,45.58,146.35,26.9,715.54,152.78,0.05,1.65,0.0,0.56,74.54,50.69,1.77,29.01,14.16,4.18,6.5,18.79,21.88,08-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
08-Apr-2018 - 00:00,23.56,56.42,62.3,149.28,27.18,717.3,201.86,0.04,1.95,0.33,0.52,63.03,38.82,1.98,22.69,19.34,0.52,4.39,12.12,15.68,09-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
09-Apr-2018 - 00:00,28.26,82.64,57.69,179.57,27.44,716.62,232.51,0.04,1.17,0.0,0.62,70.94,48.0,2.3,27.97,18.69,1.33,5.76,13.88,6.92,10-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
10-Apr-2018 - 00:00,28.5,90.73,54.41,184.32,27.84,716.15,220.4,0.03,1.54,0.0,0.57,50.81,54.46,4.57,33.37,18.35,1.42,6.51,17.91,7.21,11-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
11-Apr-2018 - 00:00,20.32,61.65,54.48,167.43,27.52,716.11,201.03,0.03,1.62,0.0,0.38,48.7,32.88,2.63,20.03,17.69,1.54,4.61,12.56,3.84,12-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
12-Apr-2018 - 00:00,23.47,74.96,49.29,158.85,28.14,715.62,172.31,0.03,1.24,0.0,0.54,58.48,49.78,3.61,30.03,14.81,5.08,6.57,19.22,6.08,13-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
13-Apr-2018 - 00:00,18.24,63.81,49.62,196.18,27.86,714.98,230.11,0.03,1.94,0.0,0.55,59.87,35.75,1.98,21.03,13.97,1.5,4.45,10.67,5.08,14-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
14-Apr-2018 - 00:00,15.1,53.3,49.61,193.64,28.39,714.55,252.97,0.03,1.64,0.0,0.46,60.02,31.19,1.4,18.1,13.6,1.62,3.19,7.8,2.82,15-Apr-2018 - 00:00,"Central University, Hyderabad - TSPCB"
