from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
08-Feb-2018 - 00:00,360.57,273.98,737.37,89.08,395.05,63.54,58.11,30.38,0.67,0.03,129.18,40.92,0.72,20.04,236.31,,79.4,15.71,09-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Feb-2018 - 00:00,0.0,266.07,754.96,91.31,334.24,62.24,45.99,16.1,1.0,-0.03,185.61,41.46,0.74,20.96,211.07,,79.06,10.43,10-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Feb-2018 - 00:00,0.0,218.07,756.02,85.58,625.62,73.59,99.31,63.94,1.8,-0.06,196.51,43.91,0.67,20.57,176.58,,108.48,19.21,11-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Feb-2018 - 00:00,0.0,115.17,718.82,89.62,157.9,53.26,43.68,19.18,0.98,-0.23,151.14,30.61,0.75,21.7,403.95,,73.97,20.98,12-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Feb-2018 - 00:00,0.0,94.23,756.83,51.86,193.45,25.85,22.81,11.59,0.62,2.41,64.75,65.19,0.87,19.94,586.16,,62.91,5.0,13-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Feb-2018 - 00:00,0.0,205.45,758.65,89.17,281.96,40.51,40.11,23.2,2.13,8.5,106.03,72.55,0.73,20.25,180.01,,78.12,9.32,14-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Feb-2018 - 00:00,166.91,278.07,758.42,113.22,109.09,26.48,22.21,10.16,2.89,8.68,51.23,49.41,0.86,21.22,288.58,,59.2,6.74,15-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Feb-2018 - 00:00,0.0,272.53,757.51,101.75,232.91,30.81,29.96,10.14,0.83,0.45,73.96,52.54,1.16,21.92,297.1,,51.92,10.17,16-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Feb-2018 - 00:00,0.0,278.52,756.83,102.51,250.76,44.6,34.55,13.53,1.08,0.46,97.63,52.99,1.25,23.33,173.36,,63.18,13.36,17-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Feb-2018 - 00:00,0.0,262.32,753.35,103.12,281.61,49.82,38.01,14.38,0.89,0.4,81.32,50.71,1.37,24.25,205.14,,68.04,13.25,18-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Feb-2018 - 00:00,0.0,264.41,752.41,120.21,214.66,47.67,43.39,22.54,0.94,0.43,81.22,48.68,1.03,23.97,234.18,,66.51,12.3,19-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Feb-2018 - 00:00,0.0,254.86,753.03,109.15,172.23,70.6,82.69,56.29,1.41,0.44,135.84,41.57,0.83,24.17,159.92,,79.25,18.34,20-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Feb-2018 - 00:00,0.0,266.76,752.81,107.34,85.59,59.97,56.21,30.39,1.35,0.73,113.8,44.33,0.9,25.75,166.34,,71.9,4.34,21-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
