from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
21-Feb-2018 - 00:00,0.0,230.26,751.85,94.41,148.42,81.91,94.82,66.58,2.2,1.54,76.54,46.21,0.78,26.25,454.18,,109.0,15.86,22-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Feb-2018 - 00:00,137.43,197.64,751.42,108.69,139.16,62.36,59.82,33.32,1.18,2.1,84.08,48.0,0.73,26.5,504.09,,93.68,8.54,23-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Feb-2018 - 00:00,38.3,245.8,751.6,96.47,125.3,55.67,50.0,25.06,1.88,1.34,217.83,49.89,0.64,26.92,458.77,,92.76,10.19,24-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Feb-2018 - 00:00,89.98,93.77,752.39,80.63,39.32,58.71,45.98,19.32,0.98,0.68,157.27,45.56,0.79,28.11,201.22,,75.97,6.17,25-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Feb-2018 - 00:00,0.0,290.55,753.8,102.13,28.04,30.45,28.43,15.29,0.74,1.19,105.25,48.21,1.33,26.49,100.12,,53.32,8.13,26-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Feb-2018 - 00:00,0.0,270.0,752.9,128.13,192.8,21.88,21.57,12.41,0.85,0.72,53.09,51.38,1.78,25.24,649.67,,40.14,9.34,27-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Feb-2018 - 00:00,0.0,270.41,752.61,109.8,192.76,35.46,31.87,16.26,0.85,0.36,66.05,48.05,1.26,27.05,680.98,,47.82,10.82,28-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Feb-2018 - 00:00,0.0,292.28,752.7,96.67,192.38,38.47,36.63,20.21,1.23,0.35,123.92,51.72,1.0,27.66,719.2,,53.68,18.49,01-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Mar-2018 - 00:00,0.0,229.94,752.03,86.47,192.3,41.55,38.43,20.42,1.17,-0.23,99.7,46.37,0.62,25.55,460.58,,54.66,13.15,02-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Mar-2018 - 00:00,0.0,278.49,751.31,110.89,,46.07,56.56,40.07,1.76,0.49,142.7,48.18,0.69,24.62,0.0,,70.12,22.04,03-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
