from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
16-Mar-2018 - 00:00,,,,,,,,,,229.98,71.26,75.17,23.35,97.88,2.98,0.0,20.05,0.0,0.0,0.0,,0.0,17-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
17-Mar-2018 - 00:00,,,,,,,,,,139.85,78.61,132.64,21.34,153.11,3.03,0.0,34.24,0.0,0.0,0.0,,0.0,18-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
18-Mar-2018 - 00:00,,,,,,,,,,153.41,62.36,147.4,21.15,168.13,3.89,,27.09,0.0,0.0,0.0,,0.0,19-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
20-Mar-2018 - 00:00,,,,,,,,,,281.53,86.1,142.46,57.75,182.9,4.48,,20.54,,0.0,0.0,,0.0,21-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
21-Mar-2018 - 00:00,,,,,,,,,,236.45,92.88,67.75,26.17,93.37,4.29,0.0,30.02,,0.0,0.0,,0.0,22-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
22-Mar-2018 - 00:00,,,,,,,,,,145.48,57.87,40.04,21.09,61.12,2.88,0.0,32.48,,0.0,0.0,,0.0,23-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
23-Mar-2018 - 00:00,,,,,,,,,,125.51,44.83,46.43,19.97,66.4,1.2,0.0,31.49,,0.0,0.0,,0.0,24-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
24-Mar-2018 - 00:00,,,,,,,,,,137.57,49.46,44.54,21.21,65.75,2.1,0.0,30.03,,0.0,0.0,,0.0,25-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
25-Mar-2018 - 00:00,,,,,,,,,,144.39,53.79,39.5,20.23,59.74,3.05,,32.16,,0.0,0.0,,0.0,26-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
26-Mar-2018 - 00:00,,,,,,,,,,143.97,53.89,54.51,22.42,76.92,2.91,,29.75,,0.0,0.0,,0.0,27-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
27-Mar-2018 - 00:00,,,,,,,,,,184.82,64.43,113.02,29.38,142.38,3.33,,25.38,,0.0,0.0,,0.0,28-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
28-Mar-2018 - 00:00,,,,,,,,,,218.61,74.98,144.11,27.96,172.02,3.54,0.0,30.58,,0.0,0.0,,0.0,29-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
29-Mar-2018 - 00:00,,,,,,,,,,158.41,50.39,49.18,22.06,71.24,2.85,,32.77,,0.0,0.0,,0.0,30-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
30-Mar-2018 - 00:00,,,,,,,,,,184.02,60.09,57.04,25.54,82.58,2.53,,32.73,,0.0,0.0,,0.0,31-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
31-Mar-2018 - 00:00,,,,,,,,,,247.53,67.96,55.68,23.21,78.9,2.55,,36.61,,0.0,0.0,,0.0,01-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
01-Apr-2018 - 00:00,,,,,,,,,,164.29,56.19,38.92,18.19,57.1,2.19,,41.91,,0.0,0.0,,0.0,02-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
02-Apr-2018 - 00:00,,,,,,,,,,202.62,79.48,57.45,24.95,82.29,2.68,0.0,35.97,,0.0,0.0,,0.0,03-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
03-Apr-2018 - 00:00,,,,,,,,,,210.6,79.53,58.14,26.66,84.75,3.79,,35.66,,0.0,0.0,,0.0,04-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
04-Apr-2018 - 00:00,,,,,,,,,,213.53,82.74,83.66,31.65,115.28,3.68,,38.26,,0.0,0.0,,0.0,05-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
05-Apr-2018 - 00:00,,,,,,,,,,260.01,111.26,110.37,32.06,142.1,3.97,0.0,34.61,,0.0,0.0,,0.0,06-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
06-Apr-2018 - 00:00,,,,,,,,,,197.06,73.44,54.63,22.94,77.32,4.03,,32.19,,0.0,0.0,,0.0,07-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
07-Apr-2018 - 00:00,,,,,,,,,,109.4,36.4,43.77,17.89,61.32,2.61,,34.79,,0.0,0.0,,0.0,08-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
08-Apr-2018 - 00:00,,,,,,,,,,111.34,40.51,36.75,14.57,51.32,2.36,,41.35,,0.0,0.0,,0.0,09-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
09-Apr-2018 - 00:00,,,,,,,,,,105.99,39.79,93.48,19.24,112.56,2.36,0.0,28.26,,0.0,0.0,,0.0,10-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
10-Apr-2018 - 00:00,,,,,,,,,,184.73,68.17,167.29,18.73,172.5,2.76,0.0,23.91,,0.0,0.0,,0.0,11-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
11-Apr-2018 - 00:00,,,,,,,,,,95.6,37.05,133.12,38.72,127.57,1.52,0.0,29.97,,0.0,0.0,,0.0,12-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
