from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
13-Mar-2018 - 00:00,45.99,227.52,29.18,32.95,0.78,122.15,0.0,185.86,0.9,92.22,,,,8.48,12.98,0.23,13.57,11.17,14-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Mar-2018 - 00:00,38.19,199.73,38.11,30.13,0.92,157.09,0.0,139.37,0.91,74.98,3.61,11.03,2.92,8.79,8.91,0.22,11.68,2.25,15-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Mar-2018 - 00:00,57.83,115.29,30.75,31.83,1.2,208.67,0.0,124.55,0.8,104.87,2.21,5.47,0.95,6.28,3.12,5.86,6.26,2.71,16-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Mar-2018 - 00:00,29.02,33.16,76.34,23.66,1.17,139.37,0.06,74.87,0.65,46.65,1.74,5.79,0.93,9.55,4.15,7.9,9.36,0.63,17-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Mar-2018 - 00:00,17.22,213.95,59.19,25.15,0.75,175.43,0.0,65.94,0.85,52.47,2.23,7.14,1.55,11.65,7.42,7.48,12.15,1.11,18-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Mar-2018 - 00:00,40.62,267.36,50.14,29.55,0.83,145.99,0.0,,0.79,63.78,2.32,9.26,2.53,11.54,4.49,7.72,11.22,2.34,19-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Mar-2018 - 00:00,40.66,185.42,51.22,27.82,0.76,129.72,0.0,202.71,1.03,54.42,3.0,13.25,2.88,11.01,4.9,7.66,10.99,0.95,20-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Mar-2018 - 00:00,42.79,233.24,36.71,31.87,0.95,141.98,0.0,150.29,0.91,108.04,2.83,11.35,2.48,5.11,6.99,6.71,7.66,1.82,21-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Mar-2018 - 00:00,41.72,221.69,41.65,30.71,0.68,189.42,0.0,135.5,0.85,80.27,2.89,11.86,2.27,5.43,7.16,6.7,7.99,1.82,22-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Mar-2018 - 00:00,33.88,268.07,30.5,30.29,1.2,256.56,0.0,144.11,0.77,64.21,2.29,13.06,1.56,5.34,6.52,6.4,7.54,0.95,23-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Mar-2018 - 00:00,36.33,252.15,29.75,29.57,1.08,186.29,0.0,141.16,0.75,69.79,1.97,9.2,1.42,5.6,6.99,6.61,8.02,2.32,24-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Mar-2018 - 00:00,40.85,260.58,25.2,30.98,0.95,199.8,0.0,152.15,0.79,90.01,2.46,8.1,1.3,5.22,6.25,6.24,7.26,4.63,25-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Mar-2018 - 00:00,47.32,257.14,28.71,30.09,0.85,177.88,0.0,165.93,0.88,79.93,2.63,7.19,1.6,5.2,5.85,6.12,7.01,2.95,26-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Mar-2018 - 00:00,33.67,265.05,27.24,30.03,1.01,163.9,0.0,158.57,1.09,76.54,3.17,9.92,2.26,5.16,5.34,6.17,6.71,2.21,27-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Mar-2018 - 00:00,109.39,254.23,27.31,30.16,0.76,157.96,0.0,191.05,1.3,70.89,6.06,12.93,2.89,5.55,5.61,6.07,7.07,3.84,28-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Mar-2018 - 00:00,110.25,224.36,31.22,30.85,0.71,161.54,0.0,179.18,1.35,67.52,5.7,14.14,3.03,5.66,6.97,5.63,8.01,2.98,29-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
