from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
05-Mar-2018 - 00:00,22.22,984.64,54.81,175.95,292.48,1.76,164.77,30.3,0.0,0.37,0.49,0.78,30.77,29.14,86.14,65.72,25.86,48.99,1.22,06-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Mar-2018 - 00:00,22.27,985.22,52.06,188.8,304.63,2.72,157.92,34.65,0.0,0.24,0.27,0.46,29.48,10.96,59.26,50.89,29.55,66.27,1.02,07-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Mar-2018 - 00:00,22.4,984.33,51.31,192.49,294.93,2.08,187.72,36.6,0.0,0.49,0.39,0.78,29.86,18.44,73.15,69.22,29.45,58.92,1.24,08-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Mar-2018 - 00:00,23.34,985.42,54.73,172.1,175.66,0.93,206.47,58.0,0.0,1.25,1.66,1.06,36.6,46.21,113.6,99.24,34.17,59.86,1.76,09-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Mar-2018 - 00:00,24.26,985.34,51.22,166.26,281.32,1.36,258.6,41.23,0.0,4.37,1.68,1.21,41.35,74.92,96.18,175.77,40.97,85.0,2.25,10-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Mar-2018 - 00:00,24.97,984.17,45.51,189.01,310.3,2.35,184.27,38.86,0.0,0.72,0.77,0.57,29.96,19.03,71.94,66.37,29.98,54.24,1.08,11-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Mar-2018 - 00:00,24.89,983.22,48.76,180.0,305.86,1.99,228.15,42.9,0.0,0.94,0.5,0.95,31.41,27.88,85.33,75.58,33.33,64.08,1.41,12-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Mar-2018 - 00:00,25.96,983.21,46.15,183.91,304.83,2.0,266.07,41.67,0.0,1.53,0.81,0.78,33.07,42.31,88.66,113.66,34.22,60.62,1.72,13-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Mar-2018 - 00:00,27.65,981.64,41.06,183.53,254.0,1.74,243.37,34.56,0.0,1.04,1.04,0.85,32.9,33.84,99.87,89.95,34.22,59.7,1.46,14-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Mar-2018 - 00:00,26.8,979.83,32.7,161.4,188.66,1.3,322.33,39.4,0.0,0.74,0.89,0.8,30.8,14.97,69.93,61.24,46.23,57.91,1.34,15-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
