from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
12-Mar-2018 - 00:00,180.17,,-0.04,255.23,47.11,742.94,116.68,17.98,50.58,56.29,22.53,88.92,1.04,23.47,1.27,21.06,2.51,6.28,20.03,13-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Mar-2018 - 00:00,182.38,,-0.03,252.57,42.86,742.94,117.32,57.91,60.94,91.06,12.13,87.12,1.42,24.33,1.07,21.31,2.86,8.11,17.77,14-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Mar-2018 - 00:00,272.09,,-0.01,241.62,40.06,742.68,111.37,81.39,66.42,155.5,18.55,79.58,1.91,23.27,0.86,24.41,3.08,10.02,15.87,15-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Mar-2018 - 00:00,266.67,,-0.03,250.03,45.8,743.0,108.12,29.91,51.18,78.55,21.91,76.5,1.12,22.91,1.42,19.47,2.23,7.45,17.84,16-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Mar-2018 - 00:00,213.29,,-0.04,262.3,46.72,743.02,109.56,19.61,48.02,66.08,34.85,89.21,1.03,22.09,1.51,20.86,2.42,7.6,17.35,17-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
17-Mar-2018 - 00:00,191.6,,-0.04,247.6,49.67,743.0,124.95,7.47,38.99,43.35,32.57,97.84,0.83,19.59,1.44,20.63,1.67,5.43,17.91,18-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
18-Mar-2018 - 00:00,130.36,,-0.05,264.69,28.39,742.55,160.57,6.02,40.62,45.39,43.18,57.69,0.92,26.43,1.85,16.2,1.15,5.75,14.16,19-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
19-Mar-2018 - 00:00,139.57,,-0.03,255.06,38.42,742.69,119.36,15.72,53.6,65.86,28.08,61.38,1.01,23.2,1.26,19.88,1.49,7.31,13.88,20-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
20-Mar-2018 - 00:00,209.29,,-0.01,240.84,40.51,742.78,116.08,35.83,72.18,103.73,30.83,91.0,1.58,24.45,0.92,23.99,6.16,18.91,15.72,21-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
21-Mar-2018 - 00:00,266.83,,-0.04,225.81,44.95,742.92,109.03,23.79,60.03,78.63,25.4,118.96,1.17,24.55,1.56,29.74,6.74,23.56,19.12,22-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
22-Mar-2018 - 00:00,171.83,,-0.03,241.42,50.24,743.15,102.44,6.97,46.21,49.38,24.41,71.79,0.96,23.1,1.6,16.65,3.44,14.63,19.01,23-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
23-Mar-2018 - 00:00,126.12,,-0.03,267.89,48.1,743.0,123.9,4.37,34.97,36.31,28.5,53.62,0.82,22.63,1.62,12.13,2.91,14.28,18.01,24-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
24-Mar-2018 - 00:00,156.62,,-0.04,269.86,44.55,742.93,123.44,4.65,36.12,37.75,33.09,62.96,0.8,24.47,1.85,12.86,2.8,12.79,18.64,25-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
25-Mar-2018 - 00:00,187.21,,-0.04,256.41,44.61,742.9,123.14,5.15,36.19,38.65,33.29,84.08,0.96,24.76,1.84,13.81,2.69,9.79,19.85,26-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
26-Mar-2018 - 00:00,171.04,,-0.04,261.83,39.67,742.74,123.9,5.88,42.65,45.74,30.27,71.21,0.95,25.34,1.72,13.31,3.37,14.67,17.77,27-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
27-Mar-2018 - 00:00,215.08,,-0.02,256.16,34.77,742.64,123.25,33.18,63.93,92.17,24.74,86.96,1.55,25.55,1.19,18.26,6.49,21.31,14.33,28-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
28-Mar-2018 - 00:00,227.46,,-0.02,249.86,32.34,742.62,121.54,85.98,75.66,149.41,32.57,85.58,1.31,27.35,1.54,23.52,8.65,23.71,16.62,29-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
29-Mar-2018 - 00:00,190.96,,-0.04,246.95,33.36,742.65,122.26,5.11,42.39,43.03,31.91,77.88,0.93,27.37,1.81,16.37,5.2,11.98,16.8,30-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
30-Mar-2018 - 00:00,201.88,,-0.05,252.0,34.87,742.66,125.07,9.07,56.07,61.55,29.31,79.25,1.15,26.66,1.68,17.04,4.87,18.81,16.5,31-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
31-Mar-2018 - 00:00,266.25,,0.07,158.96,42.33,742.96,123.96,15.69,63.71,72.7,25.77,85.42,1.19,24.78,1.76,18.63,5.83,21.22,17.38,01-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
01-Apr-2018 - 00:00,161.39,,0.07,151.3,37.76,743.0,164.24,8.11,53.27,58.87,35.04,60.17,1.1,28.18,1.61,13.78,2.45,9.95,18.01,02-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
02-Apr-2018 - 00:00,217.5,,0.04,187.57,42.03,742.97,121.1,27.3,70.21,94.36,26.56,83.83,1.46,27.06,1.18,19.43,4.62,18.2,18.49,03-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Apr-2018 - 00:00,230.71,,0.04,190.58,39.57,742.76,116.2,20.79,75.68,90.34,24.29,88.38,1.34,28.66,1.12,21.35,4.8,17.62,18.9,04-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Apr-2018 - 00:00,253.08,,0.01,224.75,39.01,742.74,119.08,20.95,68.5,90.93,28.59,84.83,1.63,29.15,0.9,20.34,4.75,19.87,19.28,05-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Apr-2018 - 00:00,383.38,,-0.03,256.86,40.05,742.69,116.72,40.87,65.94,103.54,24.58,177.88,1.6,29.36,1.06,36.09,10.14,30.8,24.71,06-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Apr-2018 - 00:00,215.88,,-0.02,215.55,41.11,742.76,94.9,15.24,57.55,66.16,23.84,76.79,0.94,26.97,1.42,24.89,4.3,13.75,17.76,07-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Apr-2018 - 00:00,121.88,,0.06,164.69,47.64,743.09,136.24,16.04,54.64,68.08,21.14,42.46,0.81,26.03,1.49,14.86,2.73,10.76,18.83,08-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Apr-2018 - 00:00,124.96,,0.07,131.14,42.9,743.0,134.13,5.45,45.8,47.91,25.64,44.17,0.75,28.03,2.06,13.96,2.14,8.8,20.62,09-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Apr-2018 - 00:00,98.08,,0.0,186.49,55.72,743.11,89.81,28.2,49.24,83.18,17.99,40.96,0.99,23.89,1.71,13.8,2.56,11.44,19.89,10-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Apr-2018 - 00:00,229.62,,0.02,185.43,49.64,743.24,127.61,40.51,58.07,93.9,30.05,74.04,1.11,26.66,1.31,20.93,4.96,17.38,21.22,11-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Apr-2018 - 00:00,131.54,,-0.02,142.89,50.82,743.0,113.62,6.28,44.49,46.99,18.38,42.17,0.69,25.05,1.87,13.87,2.67,11.38,18.96,12-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
12-Apr-2018 - 00:00,110.57,,-0.01,240.33,44.69,743.0,20.26,24.96,54.94,80.45,17.62,48.96,1.31,25.03,1.05,13.19,4.4,35.69,18.27,13-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
13-Apr-2018 - 00:00,153.25,,-0.03,270.0,32.71,742.61,139.68,46.53,55.75,106.98,21.23,68.54,1.36,25.6,1.2,17.34,5.57,22.73,14.75,14-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
14-Apr-2018 - 00:00,179.88,,-0.03,260.42,28.6,742.58,138.55,33.45,64.41,89.04,24.48,92.25,1.09,26.91,1.29,25.67,8.13,32.78,15.23,15-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
15-Apr-2018 - 00:00,198.96,,-0.01,254.4,30.42,742.6,135.4,40.51,66.05,110.11,27.51,99.67,1.33,28.58,0.95,24.91,5.84,25.14,16.3,16-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
16-Apr-2018 - 00:00,299.67,,-0.0,202.74,32.58,742.72,110.67,59.58,88.49,151.49,18.25,113.58,1.74,29.34,0.97,35.74,9.1,29.27,16.9,17-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
17-Apr-2018 - 00:00,239.29,,-0.03,242.14,28.2,742.43,131.16,23.85,61.85,80.04,14.98,69.58,0.87,30.53,1.35,17.05,6.06,17.25,17.46,18-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
18-Apr-2018 - 00:00,276.62,,-0.05,256.32,21.98,742.39,140.23,5.41,46.44,47.72,26.24,68.92,0.5,31.49,2.19,16.87,2.59,13.61,19.83,19-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
19-Apr-2018 - 00:00,265.58,,-0.02,259.33,23.81,742.5,136.79,13.82,60.95,73.34,26.49,88.29,0.7,31.18,1.22,19.48,3.65,21.0,20.75,20-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
20-Apr-2018 - 00:00,345.59,,-0.01,204.88,22.46,742.49,122.68,12.64,56.54,65.13,20.94,102.46,0.51,31.66,2.13,18.04,3.74,12.09,17.83,21-Apr-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
