from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WS,WD,RH,BP,Toluene,Temp,to date,station
11-Nov-2018 - 00:00,53.98,9.01,39.06,12.73,2.15,1.82,30.88,75.57,122.44,1.18,,106.69,56.29,714.83,6.24,25.37,12-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Nov-2018 - 00:00,66.35,10.0,54.58,23.73,1.8,2.58,28.42,67.95,131.33,1.4,,142.73,51.24,713.96,7.87,25.29,13-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Nov-2018 - 00:00,63.06,10.78,47.89,17.65,1.78,2.05,32.02,79.26,142.19,1.66,,203.53,45.45,712.55,9.18,25.27,14-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Nov-2018 - 00:00,77.21,12.51,64.23,28.49,2.55,2.85,27.44,78.75,162.77,1.74,,152.12,42.22,712.49,10.08,25.13,15-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Nov-2018 - 00:00,64.32,11.82,49.12,18.33,2.4,2.23,17.79,50.39,102.4,1.43,,98.95,61.07,713.25,7.7,25.29,16-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Nov-2018 - 00:00,51.43,17.45,38.05,13.16,1.22,1.78,17.15,39.08,75.01,0.99,,98.79,76.19,713.61,5.95,25.37,17-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Nov-2018 - 00:00,53.15,17.67,34.35,7.48,1.29,1.45,31.95,79.85,117.62,1.02,,106.48,75.27,714.48,4.44,25.53,18-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,19-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Nov-2018 - 00:00,47.5,18.35,40.59,18.85,1.67,2.34,12.24,45.38,106.88,1.09,,101.46,60.15,715.17,6.32,25.25,20-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Nov-2018 - 00:00,50.64,17.9,42.9,19.64,2.3,2.16,14.35,43.26,89.08,1.02,,96.39,61.04,715.53,5.62,25.41,21-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Nov-2018 - 00:00,48.58,18.6,38.52,15.6,0.48,1.58,20.44,41.49,82.64,1.07,,112.5,67.51,715.15,5.64,25.21,22-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Nov-2018 - 00:00,44.18,18.82,39.94,20.22,0.39,2.01,11.14,17.75,45.0,1.1,,98.79,79.42,715.08,6.52,25.22,23-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Nov-2018 - 00:00,49.39,17.54,41.86,19.17,1.61,1.93,13.96,27.02,42.63,1.03,,92.74,86.05,716.9,6.64,24.98,24-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Nov-2018 - 00:00,49.14,17.95,34.51,10.29,2.38,1.51,27.29,61.48,86.52,0.97,,99.96,76.37,718.04,5.48,25.32,25-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,26-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Nov-2018 - 00:00,61.65,16.55,40.1,9.0,2.85,1.73,49.19,102.0,167.0,1.05,,103.0,55.0,716.5,5.55,28.9,27-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,28-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Nov-2018 - 00:00,49.15,19.9,36.56,12.8,4.27,1.85,23.91,49.37,104.38,1.07,,107.13,57.92,715.5,5.86,25.39,29-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Nov-2018 - 00:00,43.72,20.17,33.91,13.11,3.02,1.58,30.29,47.74,90.6,0.95,,103.3,71.87,716.87,5.16,25.5,30-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Nov-2018 - 00:00,44.48,20.24,32.46,10.83,2.47,1.46,37.71,50.38,91.49,0.91,,106.95,66.23,716.64,4.83,25.54,01-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Dec-2018 - 00:00,48.29,19.5,37.35,14.35,1.9,1.62,41.5,51.01,95.52,1.1,,105.36,64.19,714.78,5.58,25.56,02-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Dec-2018 - 00:00,31.6,23.04,19.55,3.38,1.28,0.4,53.43,33.25,54.05,1.2,,92.85,76.45,713.45,4.89,26.22,03-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Dec-2018 - 00:00,48.75,18.73,40.1,17.44,2.78,2.01,34.47,52.4,114.75,1.4,,105.85,55.55,714.1,6.56,27.52,04-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Dec-2018 - 00:00,50.06,19.7,44.67,22.12,1.58,1.61,27.38,37.56,77.15,0.83,,95.83,73.73,715.0,4.32,26.31,05-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Dec-2018 - 00:00,62.57,8.93,29.47,15.79,1.4,0.83,13.58,20.05,26.15,0.57,,92.45,89.1,714.6,4.98,28.79,06-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Dec-2018 - 00:00,89.4,14.4,65.61,34.95,3.37,1.98,36.32,49.07,89.73,0.87,,105.84,67.03,713.53,5.42,28.52,07-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Dec-2018 - 00:00,94.53,11.71,43.3,22.34,3.57,1.89,33.68,56.42,102.06,0.9,,100.64,66.2,714.33,5.67,28.36,08-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Dec-2018 - 00:00,68.41,15.92,21.5,4.06,2.69,0.63,50.91,59.44,84.78,0.75,,99.94,83.61,714.61,4.99,27.32,09-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Dec-2018 - 00:00,,,,,1.32,0.41,84.08,78.0,94.0,0.6,,91.5,84.25,714.0,5.65,30.12,10-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Dec-2018 - 00:00,,,,,3.01,1.87,71.33,90.7,152.49,0.91,,126.32,60.39,714.55,6.14,28.46,11-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Dec-2018 - 00:00,93.24,14.89,84.77,43.85,3.49,1.89,77.99,106.76,175.77,1.06,,149.21,63.95,714.62,7.8,28.06,12-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Dec-2018 - 00:00,64.0,14.83,51.86,21.92,3.4,1.71,63.87,98.01,163.48,0.96,,152.07,61.57,715.26,6.88,27.97,13-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Dec-2018 - 00:00,62.28,14.62,49.47,20.13,3.48,1.65,59.28,74.23,129.0,0.86,,137.58,62.92,715.41,5.68,27.85,14-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Dec-2018 - 00:00,66.84,13.65,58.13,27.78,2.96,1.63,32.29,61.08,114.67,0.79,,98.51,60.22,715.57,5.16,27.93,15-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Dec-2018 - 00:00,70.56,10.14,67.06,36.33,3.13,2.04,29.38,55.25,108.04,0.85,,93.31,61.58,715.52,5.43,27.82,16-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Dec-2018 - 00:00,70.05,8.76,52.9,19.24,4.07,1.68,49.72,85.33,139.58,0.87,,128.73,56.88,715.2,5.01,27.61,17-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Dec-2018 - 00:00,93.46,7.06,107.17,71.95,4.8,1.64,68.64,98.92,170.92,1.07,,243.61,55.4,714.46,6.26,27.43,18-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Dec-2018 - 00:00,94.31,10.56,89.59,48.49,2.48,2.62,47.54,99.79,261.88,1.61,,191.03,55.03,715.22,11.82,27.7,19-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Dec-2018 - 00:00,73.86,12.87,61.47,27.28,3.03,1.86,53.16,76.5,239.83,0.93,,111.53,64.36,715.33,7.99,27.48,20-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Dec-2018 - 00:00,60.59,10.89,50.84,22.9,3.2,1.51,45.28,54.83,213.83,0.77,,106.7,61.61,715.53,5.81,27.39,21-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Dec-2018 - 00:00,84.43,9.88,85.98,50.49,3.8,1.81,55.44,66.13,215.9,1.12,,135.12,60.41,714.9,9.1,27.61,22-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Dec-2018 - 00:00,53.87,11.16,44.46,19.44,4.23,1.42,32.77,48.76,163.79,0.83,,96.26,66.58,715.03,6.69,27.57,23-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Dec-2018 - 00:00,32.71,11.46,26.17,10.73,2.84,1.02,38.05,43.85,182.42,0.57,,100.74,68.43,715.49,4.68,27.49,24-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Dec-2018 - 00:00,52.76,10.29,47.33,23.71,3.99,2.0,25.12,60.15,172.91,0.93,,110.24,54.65,715.17,5.52,27.33,25-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Dec-2018 - 00:00,54.16,11.78,41.95,16.63,3.08,1.36,44.98,70.08,156.55,0.83,,97.68,61.96,715.73,5.0,27.62,26-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Dec-2018 - 00:00,32.31,11.2,24.73,9.28,3.27,1.5,42.97,61.28,156.3,0.77,,108.74,54.64,715.25,4.72,27.62,27-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Dec-2018 - 00:00,21.87,11.74,16.01,5.38,3.22,1.27,59.74,67.2,149.34,0.66,,196.51,60.53,714.51,4.62,27.63,28-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Dec-2018 - 00:00,26.02,12.06,19.11,6.48,3.95,1.46,45.29,76.52,164.11,0.76,,116.0,64.47,713.93,4.58,27.62,29-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Dec-2018 - 00:00,25.12,11.71,18.85,6.75,2.86,1.17,36.1,81.25,148.38,0.72,,100.89,69.61,715.73,4.18,27.48,30-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Dec-2018 - 00:00,24.32,10.44,17.66,5.82,3.35,1.22,51.92,69.61,153.7,0.55,,99.15,62.66,717.42,3.45,27.34,31-Dec-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Dec-2018 - 00:00,13.65,10.8,8.75,1.85,3.15,0.59,65.76,59.0,140.0,0.7,,91.0,73.0,718.0,4.25,27.95,01-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
