from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
11-Feb-2018 - 00:00,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
