from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
14-Mar-2018 - 00:00,215.05,29.96,0.45,11.72,32.38,24.45,1.43,1.15,205.56,72.99,256.93,89.03,0.0,0.0,0.0,0.0,0.0,759.13,40.46,6.5,15-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
15-Mar-2018 - 00:00,198.96,30.7,0.39,23.23,37.07,36.04,0.72,1.19,187.01,64.92,261.01,93.78,0.0,0.0,0.0,0.0,0.0,758.76,41.16,6.07,16-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
16-Mar-2018 - 00:00,216.48,31.66,0.39,25.54,49.06,44.23,0.68,1.29,210.74,61.88,262.98,105.19,0.0,0.0,0.0,0.0,0.0,758.54,34.94,5.93,17-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
17-Mar-2018 - 00:00,216.01,31.57,0.38,19.85,47.69,39.84,0.53,0.77,131.0,65.6,233.89,111.41,0.0,0.0,0.0,0.0,0.0,757.87,31.78,6.06,18-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
18-Mar-2018 - 00:00,98.22,31.73,0.37,16.06,54.27,39.68,0.71,0.66,141.34,64.47,214.62,108.32,0.0,0.0,0.0,0.0,0.0,757.33,30.82,6.72,19-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
19-Mar-2018 - 00:00,153.52,32.95,0.25,19.48,59.43,45.11,0.56,1.15,178.34,76.12,225.95,105.51,0.11,0.27,0.18,0.14,0.04,756.9,33.68,5.99,20-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
20-Mar-2018 - 00:00,223.43,31.46,0.2,18.02,50.04,39.01,1.06,0.89,207.44,60.87,255.14,120.92,0.0,0.0,0.0,0.0,0.0,757.51,35.6,6.62,21-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
21-Mar-2018 - 00:00,200.91,30.23,0.22,10.7,31.1,23.2,1.34,0.86,217.31,63.19,320.14,145.71,0.08,0.17,0.04,0.11,0.13,758.5,37.67,7.05,22-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
22-Mar-2018 - 00:00,231.04,29.46,0.31,8.33,24.41,22.17,1.08,0.69,261.61,53.2,150.85,65.2,0.0,0.0,0.0,0.0,0.0,757.33,40.05,7.2,23-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
23-Mar-2018 - 00:00,232.29,30.7,0.43,16.02,39.4,33.16,0.58,1.15,157.66,75.16,193.5,76.66,0.0,0.0,0.0,0.0,0.0,757.15,37.05,6.24,24-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
24-Mar-2018 - 00:00,230.95,32.05,0.28,76.13,62.28,94.08,0.41,1.52,149.57,48.89,258.02,111.02,0.0,0.0,0.0,0.0,0.0,755.78,34.59,9.63,25-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
25-Mar-2018 - 00:00,235.4,33.38,0.2,25.41,45.98,45.24,0.55,1.04,185.44,51.51,211.26,95.28,0.0,0.0,0.0,0.0,0.0,755.06,31.16,8.0,26-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
26-Mar-2018 - 00:00,240.43,33.45,0.17,74.39,73.14,98.42,0.41,1.75,193.62,46.81,267.73,129.47,0.0,0.0,0.0,0.0,0.0,756.06,31.52,9.59,27-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
27-Mar-2018 - 00:00,241.0,33.72,0.2,33.79,63.15,60.78,0.73,1.26,193.86,46.82,250.01,122.33,0.0,0.0,0.0,0.0,0.0,758.98,29.37,8.13,28-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
28-Mar-2018 - 00:00,239.45,34.22,0.18,32.14,55.4,55.29,0.5,1.31,211.51,46.58,240.41,115.41,0.0,0.0,0.0,0.0,0.0,759.77,29.81,11.71,29-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
29-Mar-2018 - 00:00,241.08,36.1,0.2,31.45,39.76,54.48,0.78,0.88,192.86,64.03,217.1,119.23,0.0,0.0,0.0,0.0,0.0,760.24,27.74,7.98,30-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
30-Mar-2018 - 00:00,241.67,35.35,0.16,34.35,52.08,55.91,0.63,1.13,207.44,53.33,238.07,123.42,0.0,0.0,0.0,0.0,0.0,761.34,28.63,9.15,31-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
31-Mar-2018 - 00:00,239.62,35.89,0.2,6.04,31.74,22.42,1.13,0.91,211.76,51.07,240.04,118.08,0.0,0.0,0.0,0.0,0.0,762.46,29.16,5.96,01-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
01-Apr-2018 - 00:00,244.14,35.56,0.2,9.43,33.9,26.35,0.84,0.92,199.58,44.31,277.28,138.9,0.0,0.0,0.0,0.0,0.0,761.27,29.68,5.01,02-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Apr-2018 - 00:00,233.61,36.08,0.24,14.14,34.88,30.63,0.87,0.85,187.0,58.53,218.93,104.95,0.0,0.0,0.0,0.0,0.0,760.71,28.9,5.8,03-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Apr-2018 - 00:00,240.37,35.54,0.23,9.45,42.56,30.88,0.96,0.89,207.04,44.72,230.23,116.83,0.0,0.0,0.0,0.0,0.0,760.58,29.73,7.76,04-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Apr-2018 - 00:00,236.5,35.65,0.23,6.96,40.77,27.96,0.98,0.92,209.32,45.28,244.54,124.86,0.0,0.0,0.0,0.0,0.0,762.07,31.9,5.58,05-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Apr-2018 - 00:00,208.34,35.61,0.25,5.18,39.95,26.06,0.92,0.9,190.48,53.12,341.84,173.24,0.0,0.0,0.0,0.0,0.0,763.36,33.04,4.99,06-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Apr-2018 - 00:00,224.96,35.5,0.26,7.51,42.57,29.41,0.76,1.05,199.11,46.11,281.65,139.38,0.0,0.0,0.0,0.0,0.0,762.67,32.77,7.32,07-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Apr-2018 - 00:00,219.95,34.99,0.22,7.54,38.62,26.81,0.64,0.55,205.18,60.23,334.86,153.32,0.0,0.0,0.0,0.0,0.0,761.06,35.24,3.86,08-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Apr-2018 - 00:00,295.98,36.02,0.19,6.38,34.48,24.3,0.67,0.48,203.04,57.37,245.71,112.05,0.0,0.0,0.0,0.0,0.0,761.73,34.58,4.62,09-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Apr-2018 - 00:00,298.32,30.82,0.17,3.83,34.63,22.12,0.91,0.7,197.18,50.3,234.2,108.19,0.0,0.0,0.0,0.0,0.0,620.75,27.13,5.0,10-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Apr-2018 - 00:00,266.23,32.31,0.31,4.85,22.43,22.29,0.76,0.77,163.53,50.64,156.46,62.23,0.0,0.0,0.0,0.0,0.0,685.39,31.62,4.11,11-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Apr-2018 - 00:00,213.04,35.73,0.24,10.72,28.51,20.59,0.81,0.68,215.6,56.11,267.55,289.85,0.0,0.0,0.0,0.0,0.0,761.82,33.92,5.08,12-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Apr-2018 - 00:00,242.55,35.95,0.2,9.19,23.19,17.89,1.0,0.84,250.5,67.18,241.31,108.63,0.0,0.0,0.0,0.0,0.0,762.22,32.45,9.02,13-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Apr-2018 - 00:00,162.87,34.72,0.21,11.66,39.7,28.55,0.73,0.82,89.67,49.78,227.88,95.54,0.0,0.0,0.0,0.0,0.0,760.7,35.49,8.29,14-Apr-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
