from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
21-Mar-2018 - 00:00,29.65,12.13,746.27,1.67,30.86,55.95,56.02,90.96,157.95,0.0,34.69,10.61,144.3,36.56,0.0,47.41,0.87,30.05,22-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
22-Mar-2018 - 00:00,30.08,11.65,746.03,1.64,29.05,54.26,53.59,76.3,174.29,0.0,36.45,12.8,141.46,36.18,0.0,203.58,0.98,29.77,23-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
23-Mar-2018 - 00:00,29.78,10.81,746.31,1.32,23.36,54.69,49.11,94.12,197.26,0.0,35.8,10.74,145.17,40.65,0.0,262.2,0.94,29.85,24-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
24-Mar-2018 - 00:00,29.95,10.79,747.0,1.26,18.85,50.06,42.87,82.87,169.82,0.0,35.18,10.58,154.4,36.48,0.0,256.88,1.02,28.78,25-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
25-Mar-2018 - 00:00,30.43,5.48,747.0,0.82,12.16,44.09,34.27,82.87,122.71,0.0,34.38,9.32,208.08,10.08,0.0,275.45,1.23,5.83,26-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
26-Mar-2018 - 00:00,30.79,11.39,746.66,1.46,23.08,62.32,51.9,43.22,294.02,0.0,30.95,9.6,131.05,49.42,0.01,51.86,2.14,49.03,27-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
27-Mar-2018 - 00:00,29.77,10.81,746.57,1.47,24.3,61.53,53.6,84.46,225.26,0.0,33.47,10.55,166.62,43.49,0.0,52.68,1.18,41.07,28-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
28-Mar-2018 - 00:00,30.39,12.0,746.22,1.64,36.29,57.51,61.38,104.11,163.71,0.0,31.82,11.21,167.35,38.63,0.0,131.33,1.34,33.3,29-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
29-Mar-2018 - 00:00,31.11,12.42,746.14,2.04,55.87,55.46,78.18,92.59,232.19,0.0,30.34,11.35,171.25,36.71,0.0,124.21,1.27,31.57,30-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
30-Mar-2018 - 00:00,31.17,7.77,746.07,1.1,11.89,48.22,36.06,110.04,237.26,0.0,33.79,9.03,162.22,29.47,0.01,81.52,1.84,22.15,31-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
31-Mar-2018 - 00:00,26.61,6.15,746.36,0.88,5.58,35.06,23.74,122.24,177.17,0.0,47.3,8.01,164.94,25.62,0.0,139.46,1.53,19.09,01-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
01-Apr-2018 - 00:00,33.93,,746.29,,,,,,0.0,0.0,38.54,,173.79,,-0.01,153.79,0.3,,02-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
02-Apr-2018 - 00:00,36.47,,746.25,,,,,,0.0,0.0,30.87,,343.75,,-0.02,123.56,0.3,,03-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
03-Apr-2018 - 00:00,35.95,,746.0,,,,,,0.0,0.0,31.03,,218.5,,0.1,122.75,0.3,,04-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
04-Apr-2018 - 00:00,40.93,9.18,745.6,1.34,6.77,23.39,17.52,90.57,387.85,0.0,28.28,2.72,237.2,78.6,0.02,88.5,0.3,46.26,05-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
10-Apr-2018 - 00:00,29.27,3.74,746.0,1.2,1.07,19.44,11.03,71.93,100.05,0.0,53.04,1.89,114.0,13.67,-0.0,37.21,0.3,8.24,11-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
11-Apr-2018 - 00:00,28.16,4.36,746.0,0.84,3.38,23.9,15.67,97.47,105.96,0.0,59.52,1.91,165.05,13.8,-0.0,65.35,0.3,8.7,12-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
12-Apr-2018 - 00:00,28.32,4.96,746.0,0.98,10.7,29.6,24.93,110.74,120.64,0.0,54.21,2.04,146.09,17.56,-0.0,94.32,0.3,13.27,13-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
13-Apr-2018 - 00:00,29.53,4.64,746.0,0.92,14.49,33.24,30.06,98.02,111.04,0.0,49.52,2.35,195.58,17.24,-0.03,127.79,0.3,12.92,14-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
14-Apr-2018 - 00:00,30.3,4.59,746.0,0.94,22.62,34.8,37.65,72.65,131.99,0.0,40.52,1.96,190.2,16.5,-0.03,137.66,0.3,11.99,15-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
15-Apr-2018 - 00:00,30.82,4.24,746.0,1.19,27.36,41.88,45.42,15.53,155.23,0.0,38.78,2.21,192.16,14.76,-0.01,143.17,0.3,11.03,16-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
16-Apr-2018 - 00:00,31.61,4.93,746.0,1.24,12.28,37.34,30.48,,124.52,0.0,40.5,2.79,187.5,16.94,-0.02,146.44,0.3,12.33,17-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
17-Apr-2018 - 00:00,32.21,4.83,745.94,1.23,6.62,19.26,15.79,,165.26,0.0,48.29,2.82,177.7,16.09,-0.0,141.64,0.3,12.05,18-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
18-Apr-2018 - 00:00,31.59,4.52,745.94,1.06,6.39,17.9,14.94,,191.45,0.0,45.76,3.55,167.45,15.97,-0.01,50.04,0.3,11.5,19-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
19-Apr-2018 - 00:00,31.61,4.29,745.78,0.98,11.9,20.07,20.78,,176.38,0.0,36.1,2.28,190.69,17.02,-0.03,88.19,0.3,11.53,20-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
20-Apr-2018 - 00:00,31.83,4.11,745.66,0.96,3.16,15.58,10.94,139.8,116.37,0.0,51.81,2.31,177.81,13.77,-0.01,61.12,0.3,9.1,21-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
21-Apr-2018 - 00:00,30.91,5.11,745.69,1.5,12.05,17.05,19.16,85.2,109.12,0.0,57.17,2.94,168.16,16.89,0.0,54.27,0.3,13.38,22-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
22-Apr-2018 - 00:00,32.02,3.92,746.0,0.85,4.88,17.17,13.3,80.43,143.91,0.0,37.89,2.02,192.85,15.75,-0.01,90.41,0.3,10.51,23-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
24-Apr-2018 - 00:00,32.44,5.8,746.0,1.5,13.37,42.56,33.43,60.27,280.05,0.0,30.62,4.39,137.27,22.14,-0.01,48.7,0.3,17.51,25-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
25-Apr-2018 - 00:00,31.29,26.47,745.82,1.42,10.66,38.91,29.84,65.14,171.1,0.0,36.03,3.65,165.58,34.93,-0.0,22.12,0.3,9.19,26-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
26-Apr-2018 - 00:00,29.99,,745.82,0.88,2.24,23.38,14.37,87.89,103.73,0.0,56.96,2.36,167.95,,0.02,46.12,0.3,,27-Apr-2018 - 00:00,"Collectorate, Gaya - BSPCB"
